Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2020,Quinta,Albay,612.0,11960.0,12572.0
2020,Quinta,Antique,5.0,54.0,59.0
2020,Quinta,Aurora,0.0,0.0,0.0
2020,Quinta,Batangas,221.0,2340.0,2561.0
2020,Quinta,Biliran,2.0,0.0,2.0
2020,Quinta,Camarines Norte,0.0,9.0,9.0
2020,Quinta,Camarines Sur,465.0,9155.0,9620.0
2020,Quinta,Catanduanes,244.0,1162.0,1406.0
2020,Quinta,Cavite,7.0,6.0,13.0
2020,Quinta,Laguna,0.0,17.0,17.0
2020,Quinta,Marinduque,0.0,0.0,0.0
2020,Quinta,Masbate,188.0,1513.0,1701.0
2020,Quinta,Negros Occidental,3.0,42.0,45.0
2020,Quinta,Negros Oriental,6.0,1.0,7.0
2020,Quinta,Occidental Mindoro,1690.0,5826.0,7516.0
2020,Quinta,Oriental Mindoro,4354.0,33299.0,37653.0
2020,Quinta,Quezon,565.0,5190.0,5755.0
2020,Quinta,Rizal,13.0,6.0,19.0
2020,Quinta,Romblon,17.0,424.0,441.0
2020,Quinta,Sorsogon,8.0,325.0,333.0
