Year,Storm,Province,Damage to Infrastructure (PhP)
2020,Quinta,Albay,0.0
2020,Quinta,Antique,0.0
2020,Quinta,Aurora,1.0
2020,Quinta,Batangas,0.0
2020,Quinta,Biliran,0.0
2020,Quinta,Camarines Norte,0.0
2020,Quinta,Camarines Sur,0.0
2020,Quinta,Catanduanes,0.0
2020,Quinta,Cavite,0.0
2020,Quinta,Laguna,0.0
2020,Quinta,Marinduque,94.0
2020,Quinta,Masbate,0.0
2020,Quinta,Negros Occidental,0.0
2020,Quinta,Negros Oriental,0.0
2020,Quinta,Occidental Mindoro,119.0
2020,Quinta,Oriental Mindoro,64.0
2020,Quinta,Quezon,0.0
2020,Quinta,Rizal,0.0
2020,Quinta,Romblon,7.0
2020,Quinta,Sorsogon,0.0
