Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2020,Rolly,Albay,0
2020,Rolly,Apayao,0
2020,Rolly,Batangas,0
2020,Rolly,Benguet,0
2020,Rolly,Camarines Norte,0
2020,Rolly,Camarines Sur,0
2020,Rolly,Catanduanes,0
2020,Rolly,Cavite,0
2020,Rolly,Isabela,0
2020,Rolly,Kalinga,0
2020,Rolly,Laguna,0
2020,Rolly,Marinduque,0
2020,Rolly,Masbate,0
2020,Rolly,Northern Samar,0
2020,Rolly,Nueva Ecija,0
2020,Rolly,Occidental Mindoro,0
2020,Rolly,Oriental Mindoro,0
2020,Rolly,Quezon,0
2020,Rolly,Sorsogon,0
