Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2021,Auring,Agusan del Norte,3.0,2.0,5.0
2021,Auring,Agusan del Sur,0.0,0.0,0.0
2021,Auring,Camarines Sur,0.0,0.0,0.0
2021,Auring,Davao Oriental,0.0,0.0,0.0
2021,Auring,Davao de Oro,0.0,1.0,1.0
2021,Auring,Davao del Norte,0.0,0.0,0.0
2021,Auring,Dinagat Islands,0.0,0.0,0.0
2021,Auring,Misamis Oriental,1.0,3.0,4.0
2021,Auring,Sorsogon,0.0,0.0,0.0
2021,Auring,Southern Leyte,1.0,0.0,1.0
2021,Auring,Surigao del Norte,2.0,42.0,44.0
2021,Auring,Surigao del Sur,425.0,1763.0,2188.0
