Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2021,Bising,Agusan del Norte,0.0,0.0,0.0
2021,Bising,Albay,0.0,0.0,0.0
2021,Bising,Biliran,1.0,50.0,51.0
2021,Bising,Camarines Norte,0.0,0.0,0.0
2021,Bising,Camarines Sur,0.0,0.0,0.0
2021,Bising,Catanduanes,3.0,2.0,5.0
2021,Bising,Dinagat Islands,7.0,8.0,15.0
2021,Bising,Eastern Samar,0.0,4.0,4.0
2021,Bising,Isabela,0.0,0.0,0.0
2021,Bising,Leyte,0.0,16.0,16.0
2021,Bising,Masbate,0.0,0.0,0.0
2021,Bising,Northern Samar,72.0,407.0,479.0
2021,Bising,Sorsogon,0.0,0.0,0.0
2021,Bising,Southern Leyte,0.0,1.0,1.0
2021,Bising,Surigao del Norte,1.0,5.0,6.0
