Year,Storm,Province,Affected
2021,Fabian,Abra,4046.0
2021,Fabian,Antique,0.0
2021,Fabian,Bataan,603.0
2021,Fabian,Batangas,5356.0
2021,Fabian,Benguet,685.0
2021,Fabian,Bulacan,52781.0
2021,Fabian,Camarines Sur,0.0
2021,Fabian,Cavite,4227.0
2021,Fabian,Guimaras,0.0
2021,Fabian,Ilocos Norte,0.0
2021,Fabian,Ilocos Sur,0.0
2021,Fabian,Iloilo,1202.0
2021,Fabian,Kalinga,51.0
2021,Fabian,La Union,12271.0
2021,Fabian,Laguna,659.0
2021,Fabian,Marinduque,0.0
2021,Fabian,Negros Occidental,0.0
2021,Fabian,Occidental Mindoro,78343.0
2021,Fabian,Oriental Mindoro,51589.0
2021,Fabian,Palawan,0.0
2021,Fabian,Pampanga,71079.0
2021,Fabian,Pangasinan,12922.0
2021,Fabian,Quezon,0.0
2021,Fabian,Rizal,16902.0
2021,Fabian,Romblon,0.0
2021,Fabian,Zambales,1327.0
