Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2021,Kiko,Abra,0.0,0.0,0.0
2021,Kiko,Apayao,0.0,0.0,0.0
2021,Kiko,Bataan,1.0,0.0,1.0
2021,Kiko,Batanes,265.0,2060.0,2325.0
2021,Kiko,Benguet,0.0,2.0,2.0
2021,Kiko,Bulacan,0.0,0.0,0.0
2021,Kiko,Cagayan,2.0,14.0,16.0
2021,Kiko,Ilocos Norte,0.0,0.0,0.0
2021,Kiko,Ilocos Sur,0.0,0.0,0.0
2021,Kiko,Isabela,0.0,0.0,0.0
2021,Kiko,La Union,0.0,0.0,0.0
2021,Kiko,Nueva Ecija,0.0,0.0,0.0
2021,Kiko,Nueva Vizcaya,0.0,0.0,0.0
2021,Kiko,Occidental Mindoro,0.0,0.0,0.0
2021,Kiko,Pampanga,0.0,0.0,0.0
2021,Kiko,Pangasinan,0.0,0.0,0.0
2021,Kiko,Quirino,0.0,0.0,0.0
2021,Kiko,Zambales,0.0,0.0,0.0
