Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2021,Maring,Abra,29.0,735.0,764.0
2021,Maring,Agusan del Norte,23.0,55.0,78.0
2021,Maring,Antique,7.0,13.0,20.0
2021,Maring,Apayao,0.0,1.0,1.0
2021,Maring,Aurora,0.0,0.0,0.0
2021,Maring,Bataan,28.0,0.0,28.0
2021,Maring,Batanes,0.0,0.0,0.0
2021,Maring,Benguet,75.0,391.0,466.0
2021,Maring,Bulacan,0.0,0.0,0.0
2021,Maring,Cagayan,6.0,31.0,37.0
2021,Maring,Cavite,2.0,0.0,2.0
2021,Maring,Ifugao,0.0,4.0,4.0
2021,Maring,Ilocos Norte,1.0,37.0,38.0
2021,Maring,Ilocos Sur,150.0,2960.0,3110.0
2021,Maring,Iloilo,0.0,4.0,4.0
2021,Maring,Isabela,0.0,0.0,0.0
2021,Maring,Kalinga,0.0,0.0,0.0
2021,Maring,La Union,303.0,7749.0,8052.0
2021,Maring,Negros Occidental,0.0,0.0,0.0
2021,Maring,Nueva Ecija,0.0,0.0,0.0
2021,Maring,Nueva Vizcaya,3.0,26.0,29.0
2021,Maring,Occidental Mindoro,1.0,0.0,1.0
2021,Maring,Palawan,61.0,257.0,318.0
2021,Maring,Pampanga,0.0,0.0,0.0
2021,Maring,Pangasinan,41.0,74.0,115.0
2021,Maring,Quezon,8.0,0.0,8.0
2021,Maring,Quirino,0.0,0.0,0.0
2021,Maring,Rizal,0.0,0.0,0.0
2021,Maring,Romblon,0.0,0.0,0.0
2021,Maring,Southern Leyte,0.0,0.0,0.0
2021,Maring,Surigao del Norte,0.0,0.0,0.0
2021,Maring,Surigao del Sur,4.0,37.0,41.0
2021,Maring,Zambales,0.0,1.0,1.0
