Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2021,Odette,Agusan del Norte,123734028.9
2021,Odette,Agusan del Sur,169796932.0
2021,Odette,Aklan,10256229.29
2021,Odette,Albay,640500.0
2021,Odette,Antique,172163358.8
2021,Odette,Bohol,1259539448.0
2021,Odette,Bukidnon,863663616.5
2021,Odette,Camarines Sur,21130.0
2021,Odette,Camiguin,7129790.22
2021,Odette,Capiz,217861673.0
2021,Odette,Cebu,1949130191.0
2021,Odette,Cotabato,10203400.0
2021,Odette,Davao Oriental,41957675.63
2021,Odette,Davao de Oro,9168355.47
2021,Odette,Davao del Norte,2136268.69
2021,Odette,Dinagat Islands,273745281.2
2021,Odette,Eastern Samar,176550.0
2021,Odette,Guimaras,557757431.3
2021,Odette,Iloilo,0.0
2021,Odette,Isabela,109566359.9
2021,Odette,Lanao del Norte,45471305.0
2021,Odette,Lanao del Sur,0.0
2021,Odette,Leyte,776238677.0
2021,Odette,Marinduque,0.0
2021,Odette,Masbate,20000.0
2021,Odette,Misamis Occidental,5379232.0
2021,Odette,Misamis Oriental,208535472.1
2021,Odette,Negros Occidental,0.0
2021,Odette,Negros Oriental,1388923748.0
2021,Odette,Northern Samar,1371264.0
2021,Odette,Occidental Mindoro,25967200.0
2021,Odette,Oriental Mindoro,2489997.98
2021,Odette,Palawan,4740359757.0
2021,Odette,Quezon,471791974.0
2021,Odette,Rizal,0.0
2021,Odette,Romblon,0.0
2021,Odette,Samar,726000.0
2021,Odette,Siquijor,22437264.41
2021,Odette,Sorsogon,145675.0
2021,Odette,Southern Leyte,1751281794.0
2021,Odette,Surigao del Norte,1179113783.0
2021,Odette,Surigao del Sur,39158110.0
2021,Odette,Zamboanga del Norte,0.0
2021,Odette,Zamboanga del Sur,0.0
