Year,Storm,Province,Damage to Infrastructure (PhP)
2021,Odette,Agusan del Norte,208237600.0
2021,Odette,Agusan del Sur,101300000.0
2021,Odette,Aklan,0.0
2021,Odette,Albay,0.0
2021,Odette,Antique,0.0
2021,Odette,Bohol,726264320.0
2021,Odette,Bukidnon,139172000.0
2021,Odette,Camarines Sur,0.0
2021,Odette,Camiguin,0.0
2021,Odette,Capiz,0.0
2021,Odette,Cebu,3479385238.0
2021,Odette,Cotabato,20000000.0
2021,Odette,Davao Oriental,0.0
2021,Odette,Davao de Oro,0.0
2021,Odette,Davao del Norte,0.0
2021,Odette,Dinagat Islands,4271328068.0
2021,Odette,Eastern Samar,0.0
2021,Odette,Guimaras,0.0
2021,Odette,Iloilo,0.0
2021,Odette,Isabela,0.0
2021,Odette,Lanao del Norte,0.0
2021,Odette,Lanao del Sur,0.0
2021,Odette,Leyte,173400000.0
2021,Odette,Marinduque,0.0
2021,Odette,Masbate,0.0
2021,Odette,Misamis Occidental,1700000.0
2021,Odette,Misamis Oriental,548029000.0
2021,Odette,Negros Occidental,0.0
2021,Odette,Negros Oriental,0.0
2021,Odette,Northern Samar,0.0
2021,Odette,Occidental Mindoro,0.0
2021,Odette,Oriental Mindoro,15000000.0
2021,Odette,Palawan,1422594142.0
2021,Odette,Quezon,0.0
2021,Odette,Rizal,20000000.0
2021,Odette,Romblon,0.0
2021,Odette,Samar,0.0
2021,Odette,Siquijor,0.0
2021,Odette,Sorsogon,0.0
2021,Odette,Southern Leyte,0.0
2021,Odette,Surigao del Norte,18019366988.0
2021,Odette,Surigao del Sur,142408000.0
2021,Odette,Zamboanga del Norte,0.0
2021,Odette,Zamboanga del Sur,0.0
