Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2022,Karding,Abra,147413.16
2022,Karding,Albay,1300000.0
2022,Karding,Apayao,439824.0
2022,Karding,Aurora,40843342.78
2022,Karding,Bataan,35812558.69
2022,Karding,Batangas,2593615.09
2022,Karding,Benguet,991027.47
2022,Karding,Bulacan,802315638.04
2022,Karding,Cagayan,0.0
2022,Karding,Camarines Norte,26350687.86
2022,Karding,Camarines Sur,25318821.9
2022,Karding,Cavite,18326580.43
2022,Karding,Ifugao,0.0
2022,Karding,Isabela,705558.0
2022,Karding,Kalinga,884858.0
2022,Karding,La Union,0.0
2022,Karding,Laguna,34666231.5
2022,Karding,Marinduque,0.0
2022,Karding,Nueva Ecija,1021605532.28
2022,Karding,Nueva Vizcaya,37256071.6
2022,Karding,Oriental Mindoro,0.0
2022,Karding,Palawan,0.0
2022,Karding,Pampanga,362253050.9
2022,Karding,Pangasinan,4742636.1
2022,Karding,Quezon,190864900.45
2022,Karding,Quirino,7764897.13
2022,Karding,Rizal,19723595.73
2022,Karding,Romblon,0.0
2022,Karding,Tarlac,326704286.7
2022,Karding,Zambales,30954413.625
