Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2022,Karding,Abra,0.0,1.0,1.0
2022,Karding,Albay,0.0,0.0,0.0
2022,Karding,Apayao,0.0,0.0,0.0
2022,Karding,Aurora,443.0,3861.0,4304.0
2022,Karding,Bataan,0.0,0.0,0.0
2022,Karding,Batangas,0.0,0.0,0.0
2022,Karding,Benguet,1.0,1.0,2.0
2022,Karding,Bulacan,688.0,4939.0,5627.0
2022,Karding,Cagayan,0.0,0.0,0.0
2022,Karding,Camarines Norte,0.0,0.0,0.0
2022,Karding,Camarines Sur,0.0,0.0,0.0
2022,Karding,Cavite,0.0,0.0,0.0
2022,Karding,Ifugao,0.0,0.0,0.0
2022,Karding,Isabela,0.0,0.0,0.0
2022,Karding,Kalinga,0.0,0.0,0.0
2022,Karding,La Union,0.0,0.0,0.0
2022,Karding,Laguna,5.0,61.0,66.0
2022,Karding,Marinduque,0.0,0.0,0.0
2022,Karding,Nueva Ecija,10390.0,66691.0,77081.0
2022,Karding,Nueva Vizcaya,0.0,4.0,4.0
2022,Karding,Oriental Mindoro,0.0,0.0,0.0
2022,Karding,Palawan,0.0,0.0,0.0
2022,Karding,Pampanga,62.0,1956.0,2018.0
2022,Karding,Pangasinan,14.0,248.0,262.0
2022,Karding,Quezon,3128.0,12215.0,15343.0
2022,Karding,Quirino,0.0,0.0,0.0
2022,Karding,Rizal,14.0,13.0,27.0
2022,Karding,Romblon,0.0,0.0,0.0
2022,Karding,Tarlac,332.0,3708.0,4040.0
2022,Karding,Zambales,7.0,145.0,152.0
