Year,Storm,Province,Damage to Infrastructure (PhP)
2022,Karding,Abra,204560.0
2022,Karding,Albay,0.0
2022,Karding,Apayao,2000000.0
2022,Karding,Aurora,0.0
2022,Karding,Bataan,0.0
2022,Karding,Batangas,0.0
2022,Karding,Benguet,0.0
2022,Karding,Bulacan,0.0
2022,Karding,Cagayan,0.0
2022,Karding,Camarines Norte,100000.0
2022,Karding,Camarines Sur,0.0
2022,Karding,Cavite,0.0
2022,Karding,Ifugao,7500000.0
2022,Karding,Isabela,115000.0
2022,Karding,Kalinga,5000000.0
2022,Karding,La Union,0.0
2022,Karding,Laguna,0.0
2022,Karding,Marinduque,0.0
2022,Karding,Nueva Ecija,0.0
2022,Karding,Nueva Vizcaya,206370000.0
2022,Karding,Oriental Mindoro,0.0
2022,Karding,Palawan,3000000.0
2022,Karding,Pampanga,0.0
2022,Karding,Pangasinan,950000.0
2022,Karding,Quezon,0.0
2022,Karding,Quirino,73812910.0
2022,Karding,Rizal,0.0
2022,Karding,Romblon,0.0
2022,Karding,Tarlac,0.0
2022,Karding,Zambales,0.0
