Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2023,Amang,Antique,0.0,36.0,36.0
2023,Amang,Aurora,0.0,0.0,0.0
2023,Amang,Bataan,0.0,0.0,0.0
2023,Amang,Batangas,0.0,0.0,0.0
2023,Amang,Bulacan,0.0,0.0,0.0
2023,Amang,Cavite,0.0,2.0,2.0
2023,Amang,Guimaras,0.0,15.0,15.0
2023,Amang,Iloilo,9.0,51.0,60.0
2023,Amang,La Union,0.0,0.0,0.0
2023,Amang,Negros Occidental,0.0,0.0,0.0
2023,Amang,Nueva Ecija,0.0,0.0,0.0
2023,Amang,Palawan,0.0,4.0,4.0
2023,Amang,Pampanga,0.0,0.0,0.0
2023,Amang,Pangasinan,0.0,0.0,0.0
2023,Amang,Rizal,0.0,0.0,0.0
2023,Amang,Tarlac,0.0,0.0,0.0
2023,Amang,Zambales,0.0,0.0,0.0
