Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2023,Dodong,Antique,206244.0
2023,Dodong,Aurora,283991.6
2023,Dodong,Bataan,34290.0
2023,Dodong,Batangas,0.0
2023,Dodong,Bulacan,7020187.63
2023,Dodong,Cavite,0.0
2023,Dodong,Guimaras,681951.24
2023,Dodong,Iloilo,1637033.74
2023,Dodong,La Union,0.0
2023,Dodong,Negros Occidental,2474596.0
2023,Dodong,Nueva Ecija,0.0
2023,Dodong,Palawan,0.0
2023,Dodong,Pampanga,171867938.34
2023,Dodong,Pangasinan,0.0
2023,Dodong,Rizal,0.0
2023,Dodong,Tarlac,0.0
2023,Dodong,Zambales,8089096.96
