Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2023,Falcon,Abra,195.0,4900.0,5095.0
2023,Falcon,Aklan,4.0,5.0,9.0
2023,Falcon,Albay,0.0,0.0,0.0
2023,Falcon,Antique,0.0,159.0,159.0
2023,Falcon,Apayao,11.0,73.0,84.0
2023,Falcon,Aurora,0.0,0.0,0.0
2023,Falcon,Basilan,0.0,0.0,0.0
2023,Falcon,Bataan,8.0,39.0,47.0
2023,Falcon,Batanes,0.0,0.0,0.0
2023,Falcon,Batangas,5.0,103.0,108.0
2023,Falcon,Benguet,2.0,292.0,294.0
2023,Falcon,Biliran,0.0,2.0,2.0
2023,Falcon,Bulacan,32.0,74.0,106.0
2023,Falcon,Cagayan,265.0,3948.0,4213.0
2023,Falcon,Camarines Norte,0.0,0.0,0.0
2023,Falcon,Camarines Sur,0.0,0.0,0.0
2023,Falcon,Capiz,0.0,0.0,0.0
2023,Falcon,Catanduanes,0.0,0.0,0.0
2023,Falcon,Cavite,0.0,1.0,1.0
2023,Falcon,Cotabato,0.0,0.0,0.0
2023,Falcon,Davao Occidental,0.0,0.0,0.0
2023,Falcon,Davao Oriental,0.0,0.0,0.0
2023,Falcon,Davao del Norte,34.0,462.0,496.0
2023,Falcon,Davao del Sur,0.0,0.0,0.0
2023,Falcon,Guimaras,0.0,27.0,27.0
2023,Falcon,Ifugao,1.0,43.0,44.0
2023,Falcon,Ilocos Norte,211.0,5194.0,5405.0
2023,Falcon,Ilocos Sur,2275.0,6619.0,8894.0
2023,Falcon,Iloilo,15.0,100.0,98.0
2023,Falcon,Isabela,0.0,1.0,0.0
2023,Falcon,Kalinga,4.0,55.0,59.0
2023,Falcon,La Union,6.0,340.0,346.0
2023,Falcon,Laguna,0.0,0.0,0.0
2023,Falcon,Masbate,0.0,0.0,0.0
2023,Falcon,Misamis Oriental,0.0,0.0,6.0
2023,Falcon,Negros Occidental,52.0,590.0,642.0
2023,Falcon,Nueva Ecija,25.0,4.0,29.0
2023,Falcon,Nueva Vizcaya,13.0,567.0,580.0
2023,Falcon,Occidental Mindoro,0.0,0.0,0.0
2023,Falcon,Oriental Mindoro,0.0,0.0,0.0
2023,Falcon,Palawan,3.0,0.0,3.0
2023,Falcon,Pampanga,0.0,15.0,15.0
2023,Falcon,Pangasinan,25.0,4586.0,4611.0
2023,Falcon,Quezon,1.0,1.0,2.0
2023,Falcon,Quirino,1.0,0.0,41.0
2023,Falcon,Rizal,0.0,5.0,5.0
2023,Falcon,Sorsogon,0.0,0.0,0.0
2023,Falcon,Sultan Kudarat,0.0,0.0,0.0
2023,Falcon,Tarlac,3.0,3.0,6.0
2023,Falcon,Zambales,14.0,14.0,28.0
