Year,Storm,Province,Damage to Infrastructure (PhP)
2023,Goring,Abra,0.0
2023,Goring,Aklan,0.0
2023,Goring,Antique,0.0
2023,Goring,Apayao,0.0
2023,Goring,Aurora,0.0
2023,Goring,Bataan,0.0
2023,Goring,Batanes,0.0
2023,Goring,Batangas,0.0
2023,Goring,Benguet,0.0
2023,Goring,Bulacan,0.0
2023,Goring,Cagayan,40000000.0
2023,Goring,Cavite,0.0
2023,Goring,Guimaras,0.0
2023,Goring,Ilocos Sur,0.0
2023,Goring,Iloilo,0.0
2023,Goring,Isabela,0.0
2023,Goring,Kalinga,0.0
2023,Goring,Laguna,0.0
2023,Goring,Negros Occidental,0.0
2023,Goring,Nueva Vizcaya,0.0
2023,Goring,Occidental Mindoro,841200.0
2023,Goring,Palawan,0.0
2023,Goring,Pampanga,0.0
2023,Goring,Quirino,0.0
2023,Goring,Rizal,0.0
2023,Goring,Zambales,0.0
