Year,Storm,Province,Affected
2023,Hanna,Abra,7153.0
2023,Hanna,Aklan,8.0
2023,Hanna,Antique,30667.0
2023,Hanna,Apayao,0.0
2023,Hanna,Aurora,0.0
2023,Hanna,Bataan,152.0
2023,Hanna,Batanes,0.0
2023,Hanna,Batangas,6090.0
2023,Hanna,Benguet,58.0
2023,Hanna,Bulacan,138.0
2023,Hanna,Cagayan,40718.0
2023,Hanna,Capiz,0.0
2023,Hanna,Cavite,149.0
2023,Hanna,Guimaras,393.0
2023,Hanna,Ifugao,0.0
2023,Hanna,Ilocos Norte,0.0
2023,Hanna,Ilocos Sur,0.0
2023,Hanna,Iloilo,36144.0
2023,Hanna,Isabela,0.0
2023,Hanna,Kalinga,218.0
2023,Hanna,La Union,0.0
2023,Hanna,Laguna,0.0
2023,Hanna,Negros Occidental,114694.0
2023,Hanna,Nueva Vizcaya,0.0
2023,Hanna,Occidental Mindoro,1337.0
2023,Hanna,Palawan,2675.0
2023,Hanna,Pampanga,35.0
2023,Hanna,Pangasinan,0.0
2023,Hanna,Quezon,0.0
2023,Hanna,Quirino,0.0
2023,Hanna,Rizal,512.0
2023,Hanna,Zambales,31.0
