Year,Storm,Province,Damage to Agriculture + Fisheries (PhP)
2024,Carina,Abra,4302986.57
2024,Carina,Agusan del Sur,0.0
2024,Carina,Aklan,0.0
2024,Carina,Albay,211687.5
2024,Carina,Antique,6108596.83
2024,Carina,Apayao,8000.0
2024,Carina,Aurora,50913262.7
2024,Carina,Basilan,0.0
2024,Carina,Bataan,175735936.02
2024,Carina,Batanes,2085213.19
2024,Carina,Batangas,6523754.0
2024,Carina,Benguet,409701.53
2024,Carina,Biliran,0.0
2024,Carina,Bukidnon,8640451.48
2024,Carina,Bulacan,207640210.35
2024,Carina,Cagayan,0.0
2024,Carina,Camarines Norte,501600.0
2024,Carina,Camarines Sur,40785672.41
2024,Carina,Capiz,50430116.19
2024,Carina,Catanduanes,331000.0
2024,Carina,Cavite,14665067.04
2024,Carina,Cebu,0.0
2024,Carina,Cotabato,95834178.18
2024,Carina,Davao Occidental,0.0
2024,Carina,Davao Oriental,0.0
2024,Carina,Davao del Norte,0.0
2024,Carina,Guimaras,57073.35
2024,Carina,Ifugao,10459122.25
2024,Carina,Ilocos Norte,111369465.69
2024,Carina,Ilocos Sur,575023890.5
2024,Carina,Iloilo,11941295.66
2024,Carina,Isabela,0.0
2024,Carina,Kalinga,421887.0
2024,Carina,La Union,63747734.0
2024,Carina,Laguna,48188500.0
2024,Carina,Lanao del Norte,16589081.96
2024,Carina,Lanao del Sur,0.0
2024,Carina,Leyte,9557221.86
2024,Carina,Maguindanao del Norte,0.0
2024,Carina,Maguindanao del Sur,0.0
2024,Carina,Masbate,516000.0
2024,Carina,Misamis Oriental,0.0
2024,Carina,Negros Occidental,8613579.85
2024,Carina,Negros Oriental,0.0
2024,Carina,Nueva Ecija,781047403.35
2024,Carina,Nueva Vizcaya,43993222.16
2024,Carina,Occidental Mindoro,62954724.74
2024,Carina,Oriental Mindoro,141980676.97
2024,Carina,Palawan,254000.0
2024,Carina,Pampanga,1010378602.85
2024,Carina,Pangasinan,307779092.2
2024,Carina,Quezon,1095000.0
2024,Carina,Quirino,0.0
2024,Carina,Rizal,41000000.0
2024,Carina,Romblon,31254047.55
2024,Carina,Sarangani,138076867.3
2024,Carina,Sorsogon,6507000.0
2024,Carina,South Cotabato,4849801.98
2024,Carina,Southern Leyte,0.0
2024,Carina,Sultan Kudarat,9131013.53
2024,Carina,Surigao del Norte,0.0
2024,Carina,Tarlac,179653144.51
2024,Carina,Zambales,117973305.37
2024,Carina,Zamboanga Sibugay,6606037.6
2024,Carina,Zamboanga del Norte,0.0
2024,Carina,Zamboanga del Sur,1726221.0
