Year,Storm,Province,Affected
2024,Carina,Abra,84714.0
2024,Carina,Agusan del Sur,0.0
2024,Carina,Aklan,19234.0
2024,Carina,Albay,1311.0
2024,Carina,Antique,10.847
2024,Carina,Apayao,0.0
2024,Carina,Aurora,24238.0
2024,Carina,Basilan,5.0
2024,Carina,Bataan,753826.0
2024,Carina,Batanes,10125.0
2024,Carina,Batangas,31578.0
2024,Carina,Benguet,35719.0
2024,Carina,Biliran,0.0
2024,Carina,Bukidnon,0.0
2024,Carina,Bulacan,1707027.0
2024,Carina,Cagayan,2266.0
2024,Carina,Camarines Norte,1710.0
2024,Carina,Camarines Sur,27783.0
2024,Carina,Capiz,717.0
2024,Carina,Catanduanes,4300.0
2024,Carina,Cavite,194374.0
2024,Carina,Cebu,32534.0
2024,Carina,Cotabato,9435.0
2024,Carina,Davao Occidental,590.0
2024,Carina,Davao Oriental,295.0
2024,Carina,Davao del Norte,132.0
2024,Carina,Guimaras,106.0
2024,Carina,Ifugao,0.0
2024,Carina,Ilocos Norte,26453.0
2024,Carina,Ilocos Sur,87962.0
2024,Carina,Iloilo,12910.0
2024,Carina,Isabela,2579.0
2024,Carina,Kalinga,0.0
2024,Carina,La Union,115373.0
2024,Carina,Laguna,22786.0
2024,Carina,Lanao del Norte,180.0
2024,Carina,Lanao del Sur,0.0
2024,Carina,Leyte,8758.0
2024,Carina,Maguindanao del Norte,42295.0
2024,Carina,Maguindanao del Sur,735.0
2024,Carina,Masbate,8.0
2024,Carina,Misamis Oriental,159.0
2024,Carina,Negros Occidental,8798.0
2024,Carina,Negros Oriental,5.0
2024,Carina,Nueva Ecija,168998.0
2024,Carina,Nueva Vizcaya,145.0
2024,Carina,Occidental Mindoro,51836.0
2024,Carina,Oriental Mindoro,68435.0
2024,Carina,Palawan,545.0
2024,Carina,Pampanga,671706.0
2024,Carina,Pangasinan,118839.0
2024,Carina,Quezon,5992.0
2024,Carina,Quirino,4621.0
2024,Carina,Rizal,176729.0
2024,Carina,Romblon,7706.0
2024,Carina,Sarangani,17692.0
2024,Carina,Sorsogon,21093.0
2024,Carina,South Cotabato,18500.0
2024,Carina,Southern Leyte,47.0
2024,Carina,Sultan Kudarat,5000.0
2024,Carina,Surigao del Norte,0.0
2024,Carina,Tarlac,106768.0
2024,Carina,Zambales,12711.0
2024,Carina,Zamboanga Sibugay,0.0
2024,Carina,Zamboanga del Norte,0.0
2024,Carina,Zamboanga del Sur,7956.0
