Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Enteng,Abra,0.0,0.0,0.0
2024,Enteng,Albay,0.0,0.0,0.0
2024,Enteng,Antique,0.0,0.0,0.0
2024,Enteng,Apayao,0.0,0.0,0.0
2024,Enteng,Aurora,5.0,17.0,22.0
2024,Enteng,Bataan,0.0,0.0,0.0
2024,Enteng,Batangas,3.0,30.0,33.0
2024,Enteng,Benguet,0.0,3.0,3.0
2024,Enteng,Biliran,0.0,0.0,0.0
2024,Enteng,Bulacan,8.0,44.0,52.0
2024,Enteng,Cagayan,0.0,0.0,0.0
2024,Enteng,Camarines Norte,47.0,494.0,541.0
2024,Enteng,Camarines Sur,7.0,33.0,40.0
2024,Enteng,Catanduanes,0.0,0.0,0.0
2024,Enteng,Cavite,9.0,6.0,15.0
2024,Enteng,Cebu,5.0,5.0,10.0
2024,Enteng,Eastern Samar,0.0,0.0,0.0
2024,Enteng,Ifugao,0.0,0.0,0.0
2024,Enteng,Ilocos Norte,0.0,0.0,0.0
2024,Enteng,Ilocos Sur,1.0,15.0,16.0
2024,Enteng,Isabela,0.0,0.0,0.0
2024,Enteng,Kalinga,0.0,0.0,0.0
2024,Enteng,La Union,0.0,3.0,3.0
2024,Enteng,Laguna,8.0,25.0,33.0
2024,Enteng,Masbate,0.0,2.0,2.0
2024,Enteng,Negros Occidental,0.0,2.0,2.0
2024,Enteng,Northern Samar,14.0,484.0,498.0
2024,Enteng,Nueva Ecija,0.0,0.0,0.0
2024,Enteng,Nueva Vizcaya,0.0,0.0,0.0
2024,Enteng,Pampanga,1.0,18.0,19.0
2024,Enteng,Pangasinan,1.0,2.0,3.0
2024,Enteng,Quezon,18.0,70.0,88.0
2024,Enteng,Quirino,0.0,0.0,0.0
2024,Enteng,Rizal,362.0,735.0,1097.0
2024,Enteng,Romblon,0.0,0.0,0.0
2024,Enteng,Samar,0.0,2.0,2.0
2024,Enteng,Sorsogon,9.0,5127.0,5136.0
2024,Enteng,Tarlac,0.0,0.0,0.0
2024,Enteng,Zambales,0.0,5.0,5.0
