Year,Storm,Province,Affected
2024,Enteng,Abra,4527.0
2024,Enteng,Albay,93616.0
2024,Enteng,Antique,1192.0
2024,Enteng,Apayao,0.0
2024,Enteng,Aurora,21591.0
2024,Enteng,Bataan,37817.0
2024,Enteng,Batangas,908.0
2024,Enteng,Benguet,23.0
2024,Enteng,Biliran,11.0
2024,Enteng,Bulacan,379405.0
2024,Enteng,Cagayan,225.0
2024,Enteng,Camarines Norte,114458.0
2024,Enteng,Camarines Sur,943190.0
2024,Enteng,Catanduanes,9619.0
2024,Enteng,Cavite,10753.0
2024,Enteng,Cebu,74.0
2024,Enteng,Eastern Samar,45239.0
2024,Enteng,Ifugao,0.0
2024,Enteng,Ilocos Norte,1579.0
2024,Enteng,Ilocos Sur,158.0
2024,Enteng,Isabela,6541.0
2024,Enteng,Kalinga,0.0
2024,Enteng,La Union,11689.0
2024,Enteng,Laguna,47313.0
2024,Enteng,Masbate,114.0
2024,Enteng,Negros Occidental,7.0
2024,Enteng,Northern Samar,156298.0
2024,Enteng,Nueva Ecija,85465.0
2024,Enteng,Nueva Vizcaya,40.0
2024,Enteng,Pampanga,378034.0
2024,Enteng,Pangasinan,91905.0
2024,Enteng,Quezon,38.0
2024,Enteng,Quirino,958.0
2024,Enteng,Rizal,32379.0
2024,Enteng,Romblon,0.0
2024,Enteng,Samar,13665.0
2024,Enteng,Sorsogon,33695.0
2024,Enteng,Tarlac,23598.0
2024,Enteng,Zambales,35078.0
