Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Gener,Abra,0.0,0.0,0.0
2024,Gener,Aklan,2.0,88.0,90.0
2024,Gener,Albay,0.0,0.0,0.0
2024,Gener,Antique,14.0,51.0,65.0
2024,Gener,Aurora,0.0,0.0,0.0
2024,Gener,Basilan,5.0,18.0,23.0
2024,Gener,Bohol,0.0,1.0,1.0
2024,Gener,Cagayan,0.0,0.0,0.0
2024,Gener,Camarines Sur,1.0,0.0,1.0
2024,Gener,Camiguin,7.0,48.0,55.0
2024,Gener,Capiz,0.0,0.0,0.0
2024,Gener,Cebu,0.0,0.0,0.0
2024,Gener,Cotabato,0.0,0.0,0.0
2024,Gener,Davao Occidental,0.0,0.0,0.0
2024,Gener,Davao Oriental,0.0,0.0,0.0
2024,Gener,Dinagat Islands,0.0,11.0,11.0
2024,Gener,Guimaras,0.0,0.0,0.0
2024,Gener,Iloilo,7.0,79.0,86.0
2024,Gener,Isabela,0.0,0.0,0.0
2024,Gener,Lanao del Norte,9.0,12.0,21.0
2024,Gener,Lanao del Sur,1.0,3.0,4.0
2024,Gener,Maguindanao del Norte,30.0,181.0,211.0
2024,Gener,Maguindanao del Sur,0.0,0.0,0.0
2024,Gener,Misamis Occidental,0.0,6.0,6.0
2024,Gener,Misamis Oriental,5.0,55.0,60.0
2024,Gener,Negros Occidental,13.0,99.0,112.0
2024,Gener,Negros Oriental,34.0,50.0,84.0
2024,Gener,Nueva Vizcaya,0.0,0.0,0.0
2024,Gener,Occidental Mindoro,0.0,0.0,0.0
2024,Gener,Palawan,0.0,0.0,0.0
2024,Gener,Quezon,0.0,0.0,0.0
2024,Gener,Quirino,0.0,0.0,0.0
2024,Gener,Rizal,0.0,0.0,0.0
2024,Gener,Romblon,0.0,0.0,0.0
2024,Gener,Sarangani,0.0,0.0,0.0
2024,Gener,Siquijor,0.0,0.0,0.0
2024,Gener,Sorsogon,0.0,0.0,0.0
2024,Gener,Sultan Kudarat,0.0,0.0,0.0
2024,Gener,Zamboanga del Norte,0.0,0.0,0.0
2024,Gener,Zamboanga del Sur,0.0,0.0,0.0
