Year,Storm,Province,Damage to Infrastructure (PhP)
2024,Helen,Abra,2500000.0
2024,Helen,Aklan,0.0
2024,Helen,Albay,0.0
2024,Helen,Antique,0.0
2024,Helen,Aurora,0.0
2024,Helen,Basilan,0.0
2024,Helen,Benguet,120000.0
2024,Helen,Bohol,0.0
2024,Helen,Bulacan,0.0
2024,Helen,Cagayan,0.0
2024,Helen,Camarines Sur,0.0
2024,Helen,Camiguin,1500.0
2024,Helen,Cebu,0.0
2024,Helen,Cotabato,0.0
2024,Helen,Davao Occidental,0.0
2024,Helen,Davao Oriental,0.0
2024,Helen,Davao del Sur,0.0
2024,Helen,Dinagat Islands,0.0
2024,Helen,Guimaras,0.0
2024,Helen,Ifugao,3800000.0
2024,Helen,Iloilo,0.0
2024,Helen,Isabela,0.0
2024,Helen,Kalinga,13500000.0
2024,Helen,Lanao del Norte,0.0
2024,Helen,Lanao del Sur,0.0
2024,Helen,Maguindanao del Norte,0.0
2024,Helen,Maguindanao del Sur,0.0
2024,Helen,Misamis Occidental,0.0
2024,Helen,Misamis Oriental,2200000.0
2024,Helen,Negros Occidental,0.0
2024,Helen,Negros Oriental,0.0
2024,Helen,Nueva Vizcaya,0.0
2024,Helen,Occidental Mindoro,0.0
2024,Helen,Palawan,0.0
2024,Helen,Pampanga,0.0
2024,Helen,Quezon,0.0
2024,Helen,Quirino,0.0
2024,Helen,Rizal,0.0
2024,Helen,Romblon,0.0
2024,Helen,Sarangani,0.0
2024,Helen,Siquijor,0.0
2024,Helen,Sorsogon,0.0
2024,Helen,Sultan Kudarat,0.0
2024,Helen,Zamboanga Sibugay,0.0
2024,Helen,Zamboanga del Norte,0.0
2024,Helen,Zamboanga del Sur,0.0
