Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Igme,Abra,0.0,0.0,0.0
2024,Igme,Aklan,3.0,181.0,198.0
2024,Igme,Albay,0.0,0.0,0.0
2024,Igme,Antique,35.0,138.0,173.0
2024,Igme,Aurora,0.0,0.0,0.0
2024,Igme,Basilan,0.0,0.0,0.0
2024,Igme,Bohol,0.0,0.0,0.0
2024,Igme,Bulacan,0.0,0.0,0.0
2024,Igme,Camarines Norte,0.0,0.0,0.0
2024,Igme,Camarines Sur,0.0,0.0,0.0
2024,Igme,Camiguin,0.0,0.0,0.0
2024,Igme,Capiz,0.0,0.0,0.0
2024,Igme,Cebu,0.0,0.0,0.0
2024,Igme,Cotabato,0.0,0.0,0.0
2024,Igme,Davao Occidental,0.0,0.0,0.0
2024,Igme,Davao Oriental,0.0,0.0,0.0
2024,Igme,Davao del Sur,0.0,0.0,0.0
2024,Igme,Dinagat Islands,0.0,0.0,0.0
2024,Igme,Guimaras,0.0,3.0,2.0
2024,Igme,Iloilo,17.0,178.0,195.0
2024,Igme,Isabela,0.0,12.0,12.0
2024,Igme,Kalinga,0.0,0.0,0.0
2024,Igme,Lanao del Norte,0.0,13.0,13.0
2024,Igme,Lanao del Sur,0.0,0.0,0.0
2024,Igme,Maguindanao del Norte,7.0,17.0,24.0
2024,Igme,Maguindanao del Sur,0.0,0.0,0.0
2024,Igme,Misamis Occidental,0.0,0.0,0.0
2024,Igme,Misamis Oriental,20.0,235.0,255.0
2024,Igme,Negros Occidental,23.0,526.0,549.0
2024,Igme,Negros Oriental,0.0,0.0,0.0
2024,Igme,Nueva Vizcaya,1.0,3.0,4.0
2024,Igme,Occidental Mindoro,0.0,0.0,0.0
2024,Igme,Oriental Mindoro,4.0,26.0,30.0
2024,Igme,Palawan,27.0,228.0,255.0
2024,Igme,Pampanga,0.0,0.0,0.0
2024,Igme,Quezon,2.0,4.0,6.0
2024,Igme,Quirino,0.0,0.0,0.0
2024,Igme,Rizal,0.0,1.0,1.0
2024,Igme,Romblon,0.0,0.0,0.0
2024,Igme,Sarangani,0.0,0.0,0.0
2024,Igme,Siquijor,0.0,0.0,0.0
2024,Igme,Sorsogon,0.0,0.0,0.0
2024,Igme,Sultan Kudarat,0.0,0.0,0.0
2024,Igme,Zambales,0.0,0.0,0.0
2024,Igme,Zamboanga Sibugay,0.0,0.0,0.0
2024,Igme,Zamboanga del Norte,0.0,4.0,4.0
2024,Igme,Zamboanga del Sur,0.0,0.0,0.0
