Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Kristine,Abra,0.0,0.0,0.0
2024,Kristine,Agusan del Norte,4.0,6.0,10.0
2024,Kristine,Aklan,17.0,822.0,839.0
2024,Kristine,Albay,442.0,29071.0,29513.0
2024,Kristine,Antique,38.0,311.0,349.0
2024,Kristine,Apayao,0.0,30.0,30.0
2024,Kristine,Aurora,0.0,7.0,7.0
2024,Kristine,Bataan,3.0,16.0,19.0
2024,Kristine,Batanes,0.0,0.0,0.0
2024,Kristine,Batangas,1804.0,11150.0,12954.0
2024,Kristine,Benguet,0.0,21.0,21.0
2024,Kristine,Biliran,4.0,58.0,62.0
2024,Kristine,Bohol,1.0,1.0,2.0
2024,Kristine,Bukidnon,2.0,11.0,13.0
2024,Kristine,Bulacan,2.0,57.0,59.0
2024,Kristine,Cagayan,1.0,4.0,5.0
2024,Kristine,Camarines Norte,621.0,10134.0,10755.0
2024,Kristine,Camarines Sur,912.0,2279.0,3191.0
2024,Kristine,Camiguin,2.0,37.0,39.0
2024,Kristine,Capiz,0.0,9.0,9.0
2024,Kristine,Catanduanes,43.0,761.0,804.0
2024,Kristine,Cavite,97.0,498.0,595.0
2024,Kristine,Cebu,0.0,7.0,7.0
2024,Kristine,Cotabato,40.0,102.0,142.0
2024,Kristine,Davao Occidental,11.0,178.0,189.0
2024,Kristine,Davao Oriental,26.0,45.0,71.0
2024,Kristine,Davao del Sur,2.0,4.0,6.0
2024,Kristine,Dinagat Islands,0.0,0.0,0.0
2024,Kristine,Eastern Samar,3.0,32.0,35.0
2024,Kristine,Guimaras,0.0,215.0,215.0
2024,Kristine,Ifugao,2.0,14.0,16.0
2024,Kristine,Ilocos Norte,3.0,87.0,90.0
2024,Kristine,Ilocos Sur,0.0,12.0,12.0
2024,Kristine,Iloilo,0.0,5984.0,5984.0
2024,Kristine,Isabela,7.0,16.0,23.0
2024,Kristine,Kalinga,2.0,116.0,118.0
2024,Kristine,La Union,10.0,423.0,433.0
2024,Kristine,Laguna,716.0,7634.0,8350.0
2024,Kristine,Lanao del Norte,12.0,100.0,112.0
2024,Kristine,Lanao del Sur,9.0,7.0,16.0
2024,Kristine,Leyte,11.0,49.0,60.0
2024,Kristine,Maguindanao del Norte,0.0,5.0,5.0
2024,Kristine,Maguindanao del Sur,0.0,0.0,0.0
2024,Kristine,Marinduque,0.0,0.0,0.0
2024,Kristine,Masbate,282.0,3234.0,3516.0
2024,Kristine,Misamis Occidental,0.0,6.0,6.0
2024,Kristine,Misamis Oriental,9.0,99.0,108.0
2024,Kristine,Negros Occidental,88.0,1953.0,2041.0
2024,Kristine,Negros Oriental,4.0,10.0,14.0
2024,Kristine,Northern Samar,31.0,1304.0,1335.0
2024,Kristine,Nueva Ecija,0.0,0.0,0.0
2024,Kristine,Nueva Vizcaya,0.0,3.0,3.0
2024,Kristine,Occidental Mindoro,6.0,53.0,59.0
2024,Kristine,Oriental Mindoro,6.0,139.0,145.0
2024,Kristine,Palawan,0.0,10.0,10.0
2024,Kristine,Pampanga,0.0,5.0,5.0
2024,Kristine,Pangasinan,187.0,5004.0,5191.0
2024,Kristine,Quezon,128.0,5060.0,5188.0
2024,Kristine,Quirino,1.0,2.0,3.0
2024,Kristine,Rizal,8.0,255.0,263.0
2024,Kristine,Romblon,0.0,93.0,93.0
2024,Kristine,Samar,20.0,372.0,392.0
2024,Kristine,Sarangani,2.0,10.0,12.0
2024,Kristine,Sorsogon,245.0,5175.0,5420.0
2024,Kristine,South Cotabato,6.0,3.0,9.0
2024,Kristine,Southern Leyte,0.0,0.0,0.0
2024,Kristine,Sultan Kudarat,1.0,1.0,2.0
2024,Kristine,Surigao del Norte,16.0,74.0,90.0
2024,Kristine,Surigao del Sur,0.0,0.0,0.0
2024,Kristine,Tarlac,0.0,0.0,0.0
2024,Kristine,Zambales,3.0,51.0,54.0
2024,Kristine,Zamboanga Sibugay,0.0,0.0,0.0
2024,Kristine,Zamboanga del Norte,6.0,24.0,30.0
2024,Kristine,Zamboanga del Sur,39.0,16.0,55.0
