Year,Storm,Province,Damage to Infrastructure (PhP)
2024,Kristine,Abra,0.0
2024,Kristine,Agusan del Norte,0.0
2024,Kristine,Aklan,0.0
2024,Kristine,Albay,699125000.0
2024,Kristine,Antique,0.0
2024,Kristine,Apayao,10620000.0
2024,Kristine,Aurora,139403333.3
2024,Kristine,Bataan,36935645.0
2024,Kristine,Batanes,0.0
2024,Kristine,Batangas,3183199.9
2024,Kristine,Benguet,8485388.4
2024,Kristine,Biliran,0.0
2024,Kristine,Bohol,0.0
2024,Kristine,Bukidnon,0.0
2024,Kristine,Bulacan,0.0
2024,Kristine,Cagayan,0.0
2024,Kristine,Camarines Norte,22960000.0
2024,Kristine,Camarines Sur,134080000.0
2024,Kristine,Camiguin,0.0
2024,Kristine,Capiz,0.0
2024,Kristine,Catanduanes,229987500.0
2024,Kristine,Cavite,0.0
2024,Kristine,Cebu,214933.0
2024,Kristine,Cotabato,15000000.0
2024,Kristine,Davao Occidental,0.0
2024,Kristine,Davao Oriental,0.0
2024,Kristine,Davao del Sur,0.0
2024,Kristine,Dinagat Islands,0.0
2024,Kristine,Eastern Samar,0.0
2024,Kristine,Guimaras,0.0
2024,Kristine,Ifugao,263000.0
2024,Kristine,Ilocos Norte,0.0
2024,Kristine,Ilocos Sur,8700000.0
2024,Kristine,Iloilo,0.0
2024,Kristine,Isabela,21943516.8
2024,Kristine,Kalinga,30500000.0
2024,Kristine,La Union,3500000.0
2024,Kristine,Laguna,0.0
2024,Kristine,Lanao del Norte,0.0
2024,Kristine,Lanao del Sur,0.0
2024,Kristine,Leyte,0.0
2024,Kristine,Maguindanao del Norte,0.0
2024,Kristine,Maguindanao del Sur,0.0
2024,Kristine,Marinduque,6750000.0
2024,Kristine,Masbate,15125000.0
2024,Kristine,Misamis Occidental,0.0
2024,Kristine,Misamis Oriental,0.0
2024,Kristine,Negros Occidental,0.0
2024,Kristine,Negros Oriental,11111.11
2024,Kristine,Northern Samar,0.0
2024,Kristine,Nueva Ecija,0.0
2024,Kristine,Nueva Vizcaya,0.0
2024,Kristine,Occidental Mindoro,0.0
2024,Kristine,Oriental Mindoro,5500000.0
2024,Kristine,Palawan,0.0
2024,Kristine,Pampanga,0.0
2024,Kristine,Pangasinan,110800000.0
2024,Kristine,Quezon,186020000.0
2024,Kristine,Quirino,39398000.0
2024,Kristine,Rizal,250000.0
2024,Kristine,Romblon,553110.0
2024,Kristine,Samar,0.0
2024,Kristine,Sarangani,0.0
2024,Kristine,Sorsogon,0.0
2024,Kristine,South Cotabato,0.0
2024,Kristine,Southern Leyte,0.0
2024,Kristine,Sultan Kudarat,0.0
2024,Kristine,Surigao del Norte,0.0
2024,Kristine,Surigao del Sur,0.0
2024,Kristine,Tarlac,0.0
2024,Kristine,Zambales,55000000.0
2024,Kristine,Zamboanga Sibugay,0.0
2024,Kristine,Zamboanga del Norte,0.0
2024,Kristine,Zamboanga del Sur,0.0
