Year,Storm,Province,Affected
2024,Kristine,Abra,5270.0
2024,Kristine,Agusan del Norte,1651.0
2024,Kristine,Aklan,62960.0
2024,Kristine,Albay,546223.0
2024,Kristine,Antique,6293.0
2024,Kristine,Apayao,3905.0
2024,Kristine,Aurora,49828.0
2024,Kristine,Bataan,2838.0
2024,Kristine,Batanes,27.0
2024,Kristine,Batangas,84574.0
2024,Kristine,Benguet,2281.0
2024,Kristine,Biliran,6379.0
2024,Kristine,Bohol,37908.0
2024,Kristine,Bukidnon,32.0
2024,Kristine,Bulacan,597795.0
2024,Kristine,Cagayan,103884.0
2024,Kristine,Camarines Norte,182561.0
2024,Kristine,Camarines Sur,1427089.0
2024,Kristine,Camiguin,271.0
2024,Kristine,Capiz,1777.0
2024,Kristine,Catanduanes,67340.0
2024,Kristine,Cavite,53882.0
2024,Kristine,Cebu,0.0
2024,Kristine,Cotabato,86313.0
2024,Kristine,Davao Occidental,20292.0
2024,Kristine,Davao Oriental,11809.0
2024,Kristine,Davao del Sur,25.0
2024,Kristine,Dinagat Islands,26501.0
2024,Kristine,Eastern Samar,64234.0
2024,Kristine,Guimaras,1257.0
2024,Kristine,Ifugao,750.0
2024,Kristine,Ilocos Norte,28362.0
2024,Kristine,Ilocos Sur,6890.0
2024,Kristine,Iloilo,151064.0
2024,Kristine,Isabela,105383.0
2024,Kristine,Kalinga,3485.0
2024,Kristine,La Union,18824.0
2024,Kristine,Laguna,462776.0
2024,Kristine,Lanao del Norte,507.0
2024,Kristine,Lanao del Sur,340.0
2024,Kristine,Leyte,8395.0
2024,Kristine,Maguindanao del Norte,112195.0
2024,Kristine,Maguindanao del Sur,388048.0
2024,Kristine,Marinduque,16035.0
2024,Kristine,Masbate,39309.0
2024,Kristine,Misamis Occidental,13.0
2024,Kristine,Misamis Oriental,5980.0
2024,Kristine,Negros Occidental,110542.0
2024,Kristine,Negros Oriental,17.0
2024,Kristine,Northern Samar,49.0
2024,Kristine,Nueva Ecija,119703.0
2024,Kristine,Nueva Vizcaya,1469.0
2024,Kristine,Occidental Mindoro,5336.0
2024,Kristine,Oriental Mindoro,35064.0
2024,Kristine,Palawan,0.0
2024,Kristine,Pampanga,268723.0
2024,Kristine,Pangasinan,267061.0
2024,Kristine,Quezon,99.0
2024,Kristine,Quirino,2101.0
2024,Kristine,Rizal,87.0
2024,Kristine,Romblon,6205.0
2024,Kristine,Samar,366923.0
2024,Kristine,Sarangani,190.0
2024,Kristine,Sorsogon,65564.0
2024,Kristine,South Cotabato,29.0
2024,Kristine,Southern Leyte,8640.0
2024,Kristine,Sultan Kudarat,45295.0
2024,Kristine,Surigao del Norte,36289.0
2024,Kristine,Surigao del Sur,1.0
2024,Kristine,Tarlac,12896.0
2024,Kristine,Zambales,4872.0
2024,Kristine,Zamboanga Sibugay,70.0
2024,Kristine,Zamboanga del Norte,17013.0
2024,Kristine,Zamboanga del Sur,490.0
