Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2024,Pepito,Abra,3.0,0.0,3.0
2024,Pepito,Albay,56.0,2328.0,2384.0
2024,Pepito,Apayao,0.0,42.0,42.0
2024,Pepito,Aurora,874.0,6258.0,7132.0
2024,Pepito,Bataan,0.0,0.0,0.0
2024,Pepito,Batanes,0.0,0.0,0.0
2024,Pepito,Benguet,2.0,29.0,31.0
2024,Pepito,Biliran,0.0,0.0,0.0
2024,Pepito,Bulacan,0.0,0.0,0.0
2024,Pepito,Cagayan,102.0,893.0,995.0
2024,Pepito,Camarines Norte,232.0,1446.0,1678.0
2024,Pepito,Camarines Sur,6320.0,7597.0,13917.0
2024,Pepito,Catanduanes,8442.0,28475.0,36917.0
2024,Pepito,Eastern Samar,0.0,0.0,0.0
2024,Pepito,Ifugao,9.0,61.0,70.0
2024,Pepito,Ilocos Norte,0.0,5.0,5.0
2024,Pepito,Ilocos Sur,0.0,2.0,2.0
2024,Pepito,Isabela,285.0,7364.0,7649.0
2024,Pepito,Kalinga,1.0,43.0,44.0
2024,Pepito,La Union,0.0,59.0,59.0
2024,Pepito,Leyte,0.0,0.0,0.0
2024,Pepito,Marinduque,0.0,0.0,0.0
2024,Pepito,Masbate,0.0,0.0,0.0
2024,Pepito,Northern Samar,0.0,0.0,0.0
2024,Pepito,Nueva Ecija,0.0,7.0,7.0
2024,Pepito,Nueva Vizcaya,537.0,4377.0,4914.0
2024,Pepito,Occidental Mindoro,0.0,0.0,0.0
2024,Pepito,Oriental Mindoro,0.0,0.0,0.0
2024,Pepito,Pampanga,0.0,1.0,1.0
2024,Pepito,Pangasinan,5.0,214.0,219.0
2024,Pepito,Quezon,1.0,92.0,93.0
2024,Pepito,Quirino,13.0,280.0,293.0
2024,Pepito,Rizal,4.0,18.0,22.0
2024,Pepito,Romblon,0.0,0.0,0.0
2024,Pepito,Samar,0.0,0.0,0.0
2024,Pepito,Sorsogon,1.0,107.0,108.0
2024,Pepito,Tarlac,0.0,0.0,0.0
2024,Pepito,Zambales,0.0,0.0,0.0
