Year,Storm,Province,Damage to Infrastructure (PhP)
2024,Pepito,Abra,0.0
2024,Pepito,Albay,0.0
2024,Pepito,Apayao,82260000.0
2024,Pepito,Aurora,64350000.0
2024,Pepito,Bataan,0.0
2024,Pepito,Batanes,0.0
2024,Pepito,Benguet,9000000.0
2024,Pepito,Biliran,0.0
2024,Pepito,Bulacan,0.0
2024,Pepito,Cagayan,425926837.0
2024,Pepito,Camarines Norte,14074500.0
2024,Pepito,Camarines Sur,17811900.0
2024,Pepito,Catanduanes,653814969.5
2024,Pepito,Eastern Samar,0.0
2024,Pepito,Ifugao,42505010.0
2024,Pepito,Ilocos Norte,0.0
2024,Pepito,Ilocos Sur,0.0
2024,Pepito,Isabela,234134553.77
2024,Pepito,Kalinga,82716300.0
2024,Pepito,La Union,0.0
2024,Pepito,Leyte,0.0
2024,Pepito,Marinduque,0.0
2024,Pepito,Masbate,0.0
2024,Pepito,Northern Samar,0.0
2024,Pepito,Nueva Ecija,63220000.0
2024,Pepito,Nueva Vizcaya,132040160.47
2024,Pepito,Occidental Mindoro,0.0
2024,Pepito,Oriental Mindoro,0.0
2024,Pepito,Pampanga,0.0
2024,Pepito,Pangasinan,353650000.0
2024,Pepito,Quezon,15000000.0
2024,Pepito,Quirino,15981638.23
2024,Pepito,Rizal,0.0
2024,Pepito,Romblon,0.0
2024,Pepito,Samar,0.0
2024,Pepito,Sorsogon,4978500.0
2024,Pepito,Tarlac,0.0
2024,Pepito,Zambales,0.0
