Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2025,Crising,Abra,0.0,1.0,1.0
2025,Crising,Agusan del Norte,0.0,0.0,0.0
2025,Crising,Aklan,4.0,89.0,93.0
2025,Crising,Albay,0.0,3.0,3.0
2025,Crising,Antique,22.0,83.0,105.0
2025,Crising,Apayao,0.0,0.0,0.0
2025,Crising,Aurora,0.0,0.0,0.0
2025,Crising,Basilan,27.0,79.0,106.0
2025,Crising,Bataan,0.0,0.0,0.0
2025,Crising,Batangas,5.0,11.0,16.0
2025,Crising,Benguet,0.0,13.0,13.0
2025,Crising,Bohol,0.0,0.0,0.0
2025,Crising,Bulacan,0.0,3.0,3.0
2025,Crising,Cagayan,1.0,5.0,6.0
2025,Crising,Camarines Norte,0.0,0.0,0.0
2025,Crising,Camarines Sur,0.0,0.0,0.0
2025,Crising,Camiguin,1.0,13.0,14.0
2025,Crising,Capiz,0.0,0.0,0.0
2025,Crising,Catanduanes,0.0,0.0,0.0
2025,Crising,Cavite,2.0,5.0,7.0
2025,Crising,Cebu,0.0,0.0,0.0
2025,Crising,Davao Occidental,58.0,91.0,149.0
2025,Crising,Davao del Sur,1.0,0.0,1.0
2025,Crising,Dinagat Islands,0.0,0.0,0.0
2025,Crising,Ifugao,0.0,0.0,0.0
2025,Crising,Ilocos Norte,0.0,4.0,4.0
2025,Crising,Ilocos Sur,0.0,10.0,10.0
2025,Crising,Iloilo,5.0,74.0,79.0
2025,Crising,Isabela,0.0,0.0,0.0
2025,Crising,Kalinga,0.0,0.0,0.0
2025,Crising,La Union,1.0,8.0,9.0
2025,Crising,Laguna,0.0,0.0,0.0
2025,Crising,Lanao del Norte,11.0,92.0,103.0
2025,Crising,Lanao del Sur,4.0,58.0,62.0
2025,Crising,Maguindanao del Norte,12.0,64.0,76.0
2025,Crising,Maguindanao del Sur,0.0,2.0,2.0
2025,Crising,Masbate,0.0,1.0,1.0
2025,Crising,Misamis Oriental,2.0,10.0,12.0
2025,Crising,Negros Occidental,38.0,279.0,317.0
2025,Crising,Nueva Ecija,0.0,0.0,0.0
2025,Crising,Nueva Vizcaya,0.0,0.0,0.0
2025,Crising,Occidental Mindoro,0.0,0.0,0.0
2025,Crising,Palawan,3.0,8.0,11.0
2025,Crising,Pampanga,0.0,0.0,0.0
2025,Crising,Pangasinan,1.0,0.0,1.0
2025,Crising,Quezon,0.0,2.0,2.0
2025,Crising,Rizal,5.0,2.0,7.0
2025,Crising,Sarangani,1.0,1.0,2.0
2025,Crising,South Cotabato,0.0,0.0,0.0
2025,Crising,Sultan Kudarat,18.0,108.0,126.0
2025,Crising,Surigao del Norte,0.0,1.0,1.0
2025,Crising,Tarlac,0.0,0.0,0.0
2025,Crising,Tawi-Tawi,52.0,3.0,55.0
2025,Crising,Zambales,0.0,0.0,0.0
2025,Crising,Zamboanga Sibugay,0.0,0.0,0.0
2025,Crising,Zamboanga del Norte,7.0,23.0,30.0
2025,Crising,Zamboanga del Sur,81.0,127.0,208.0
