Year,Storm,Province,Affected
2025,Crising,Abra,25335.0
2025,Crising,Agusan del Norte,51.0
2025,Crising,Aklan,5949.0
2025,Crising,Albay,112.0
2025,Crising,Antique,74358.0
2025,Crising,Apayao,128.0
2025,Crising,Aurora,18222.0
2025,Crising,Basilan,0.0
2025,Crising,Bataan,457.0
2025,Crising,Batangas,1792.0
2025,Crising,Benguet,506.0
2025,Crising,Bohol,9589.0
2025,Crising,Bulacan,366003.0
2025,Crising,Cagayan,11253.0
2025,Crising,Camarines Norte,0.0
2025,Crising,Camarines Sur,34.0
2025,Crising,Camiguin,117.0
2025,Crising,Capiz,24374.0
2025,Crising,Catanduanes,0.0
2025,Crising,Cavite,942.0
2025,Crising,Cebu,4352.0
2025,Crising,Davao Occidental,771.0
2025,Crising,Davao del Sur,4.0
2025,Crising,Dinagat Islands,32.0
2025,Crising,Ifugao,25.0
2025,Crising,Ilocos Norte,0.0
2025,Crising,Ilocos Sur,7.372
2025,Crising,Iloilo,0.0
2025,Crising,Isabela,1589.0
2025,Crising,Kalinga,4.0
2025,Crising,La Union,9783.0
2025,Crising,Laguna,6771.0
2025,Crising,Lanao del Norte,477.0
2025,Crising,Lanao del Sur,11590.0
2025,Crising,Maguindanao del Norte,16425.0
2025,Crising,Maguindanao del Sur,3095.0
2025,Crising,Masbate,4434.0
2025,Crising,Misamis Oriental,18741.0
2025,Crising,Negros Occidental,166335.0
2025,Crising,Nueva Ecija,12119.0
2025,Crising,Nueva Vizcaya,81.0
2025,Crising,Occidental Mindoro,34482.0
2025,Crising,Palawan,20755.0
2025,Crising,Pampanga,215881.0
2025,Crising,Pangasinan,95133.0
2025,Crising,Quezon,298.0
2025,Crising,Rizal,8192.0
2025,Crising,Sarangani,113.0
2025,Crising,South Cotabato,100.0
2025,Crising,Sultan Kudarat,7282.0
2025,Crising,Surigao del Norte,32.0
2025,Crising,Tarlac,2626.0
2025,Crising,Tawi-Tawi,1245.0
2025,Crising,Zambales,1303.0
2025,Crising,Zamboanga Sibugay,95.0
2025,Crising,Zamboanga del Norte,40520.0
2025,Crising,Zamboanga del Sur,3844.0
