Year,Storm,Province,Houses destroyed,Houses damaged,Total Houses
2025,Emong,Abra,0.0,8.0,8.0
2025,Emong,Agusan del Norte,0.0,0.0,0.0
2025,Emong,Aklan,108.0,1603.0,1711.0
2025,Emong,Albay,0.0,0.0,0.0
2025,Emong,Antique,33.0,670.0,703.0
2025,Emong,Apayao,0.0,79.0,79.0
2025,Emong,Aurora,0.0,7.0,7.0
2025,Emong,Bataan,2.0,0.0,2.0
2025,Emong,Batanes,0.0,3.0,3.0
2025,Emong,Batangas,2.0,48.0,45.0
2025,Emong,Benguet,1.0,23.0,24.0
2025,Emong,Biliran,0.0,0.0,0.0
2025,Emong,Bohol,0.0,0.0,0.0
2025,Emong,Bulacan,0.0,4.0,4.0
2025,Emong,Cagayan,1466.0,4642.0,6108.0
2025,Emong,Camarines Norte,0.0,0.0,0.0
2025,Emong,Camarines Sur,0.0,0.0,0.0
2025,Emong,Capiz,14.0,276.0,290.0
2025,Emong,Catanduanes,0.0,0.0,0.0
2025,Emong,Cavite,1.0,0.0,1.0
2025,Emong,Cebu,0.0,0.0,0.0
2025,Emong,Cotabato,0.0,0.0,0.0
2025,Emong,Dinagat Islands,0.0,0.0,0.0
2025,Emong,Eastern Samar,0.0,0.0,0.0
2025,Emong,Guimaras,1.0,13.0,14.0
2025,Emong,Ifugao,0.0,2.0,2.0
2025,Emong,Ilocos Norte,58.0,3700.0,3758.0
2025,Emong,Ilocos Sur,26.0,299.0,325.0
2025,Emong,Iloilo,43.0,816.0,859.0
2025,Emong,Isabela,0.0,0.0,0.0
2025,Emong,Kalinga,0.0,2.0,2.0
2025,Emong,La Union,0.0,47.0,47.0
2025,Emong,Laguna,0.0,49.0,49.0
2025,Emong,Lanao del Sur,0.0,1.0,1.0
2025,Emong,Leyte,0.0,0.0,0.0
2025,Emong,Maguindanao del Norte,0.0,0.0,0.0
2025,Emong,Maguindanao del Sur,0.0,0.0,0.0
2025,Emong,Marinduque,0.0,0.0,0.0
2025,Emong,Masbate,20959.0,83842.0,104801.0
2025,Emong,Negros Occidental,4.0,72.0,76.0
2025,Emong,Northern Samar,0.0,0.0,0.0
2025,Emong,Nueva Ecija,0.0,0.0,0.0
2025,Emong,Nueva Vizcaya,0.0,2.0,2.0
2025,Emong,Occidental Mindoro,73.0,1.223,67.223
2025,Emong,Oriental Mindoro,892.0,13069.0,13961.0
2025,Emong,Palawan,0.0,0.0,0.0
2025,Emong,Pampanga,0.0,0.0,0.0
2025,Emong,Pangasinan,0.0,9.0,9.0
2025,Emong,Quezon,0.0,0.0,0.0
2025,Emong,Quirino,0.0,0.0,0.0
2025,Emong,Rizal,9.0,0.0,7.0
2025,Emong,Romblon,1993.0,15404.0,17397.0
2025,Emong,Samar,0.0,0.0,0.0
2025,Emong,Sorsogon,11.0,54.0,65.0
2025,Emong,Surigao del Norte,0.0,0.0,0.0
2025,Emong,Tarlac,0.0,0.0,0.0
2025,Emong,Zambales,0.0,0.0,0.0
2025,Emong,Zamboanga del Sur,1.0,6.0,7.0
