Year,Storm,Province,Affected
2025,Emong,Abra,24462.0
2025,Emong,Agusan del Norte,104.0
2025,Emong,Aklan,130970.0
2025,Emong,Albay,246408.0
2025,Emong,Antique,104692.0
2025,Emong,Apayao,7360.0
2025,Emong,Aurora,26503.0
2025,Emong,Bataan,1701.0
2025,Emong,Batanes,22161.0
2025,Emong,Batangas,9925.0
2025,Emong,Benguet,6567.0
2025,Emong,Biliran,4686.0
2025,Emong,Bohol,170.411
2025,Emong,Bulacan,828.0
2025,Emong,Cagayan,114732.0
2025,Emong,Camarines Norte,530.0
2025,Emong,Camarines Sur,396226.0
2025,Emong,Capiz,95792.0
2025,Emong,Catanduanes,71560.0
2025,Emong,Cavite,3768.0
2025,Emong,Cebu,2298.0
2025,Emong,Cotabato,3120.0
2025,Emong,Dinagat Islands,0.0
2025,Emong,Eastern Samar,18190.0
2025,Emong,Guimaras,55699.0
2025,Emong,Ifugao,190.0
2025,Emong,Ilocos Norte,0.0
2025,Emong,Ilocos Sur,44531.628
2025,Emong,Iloilo,144930.0
2025,Emong,Isabela,8127.0
2025,Emong,Kalinga,1480.0
2025,Emong,La Union,6788.0
2025,Emong,Laguna,2281.0
2025,Emong,Lanao del Sur,15.0
2025,Emong,Leyte,452.0
2025,Emong,Maguindanao del Norte,16360.0
2025,Emong,Maguindanao del Sur,308680.0
2025,Emong,Marinduque,19987.0
2025,Emong,Masbate,649370.0
2025,Emong,Negros Occidental,38562.0
2025,Emong,Northern Samar,3782.0
2025,Emong,Nueva Ecija,10165.0
2025,Emong,Nueva Vizcaya,1840.0
2025,Emong,Occidental Mindoro,18349.0
2025,Emong,Oriental Mindoro,255.025
2025,Emong,Palawan,10711.0
2025,Emong,Pampanga,172219.0
2025,Emong,Pangasinan,196810.0
2025,Emong,Quezon,18734.0
2025,Emong,Quirino,571.0
2025,Emong,Rizal,6183.0
2025,Emong,Romblon,85375.0
2025,Emong,Samar,543.0
2025,Emong,Sorsogon,308693.0
2025,Emong,Surigao del Norte,31.0
2025,Emong,Tarlac,2710.0
2025,Emong,Zambales,42464.0
2025,Emong,Zamboanga del Sur,353.0
