Year,Storm,Province,Affected
2025,Jacinto,Agusan del Norte,285.0
2025,Jacinto,Albay,19150.0
2025,Jacinto,Batangas,0.0
2025,Jacinto,Camarines Sur,1695.0
2025,Jacinto,Maguindanao del Norte,0.0
2025,Jacinto,Maguindanao del Sur,119910.0
2025,Jacinto,Masbate,4554.0
2025,Jacinto,Palawan,930.0
2025,Jacinto,Quezon,24.0
2025,Jacinto,Rizal,224.0
2025,Jacinto,Sarangani,75.0
2025,Jacinto,Sorsogon,1980.0
2025,Jacinto,Sultan Kudarat,13532.0
2025,Jacinto,Zamboanga Sibugay,0.0
2025,Jacinto,Zamboanga del Norte,17520.0
2025,Jacinto,Zamboanga del Sur,3461.0
