Year,Storm,Province,Damage to Infrastructure (PhP)
2025,Opong,Abra,0.0
2025,Opong,Agusan del Norte,0.0
2025,Opong,Aklan,0.0
2025,Opong,Albay,0.0
2025,Opong,Antique,20416933.87
2025,Opong,Apayao,0.0
2025,Opong,Aurora,0.0
2025,Opong,Bataan,0.0
2025,Opong,Batanes,0.0
2025,Opong,Batangas,0.0
2025,Opong,Benguet,0.0
2025,Opong,Biliran,0.0
2025,Opong,Bohol,0.0
2025,Opong,Bulacan,0.0
2025,Opong,Cagayan,0.0
2025,Opong,Camarines Norte,0.0
2025,Opong,Camarines Sur,0.0
2025,Opong,Capiz,0.0
2025,Opong,Catanduanes,0.0
2025,Opong,Cavite,0.0
2025,Opong,Cebu,0.0
2025,Opong,Cotabato,0.0
2025,Opong,Dinagat Islands,0.0
2025,Opong,Eastern Samar,0.0
2025,Opong,Guimaras,0.0
2025,Opong,Ifugao,0.0
2025,Opong,Ilocos Norte,774453620.26
2025,Opong,Ilocos Sur,163647537.5
2025,Opong,Iloilo,42140000.0
2025,Opong,Isabela,0.0
2025,Opong,Kalinga,0.0
2025,Opong,La Union,141820000.0
2025,Opong,Laguna,0.0
2025,Opong,Lanao del Sur,0.0
2025,Opong,Leyte,0.0
2025,Opong,Maguindanao del Norte,0.0
2025,Opong,Maguindanao del Sur,0.0
2025,Opong,Marinduque,37625000.0
2025,Opong,Masbate,70644443.0
2025,Opong,Negros Occidental,0.0
2025,Opong,Northern Samar,0.0
2025,Opong,Nueva Ecija,0.0
2025,Opong,Nueva Vizcaya,0.0
2025,Opong,Occidental Mindoro,12850000.0
2025,Opong,Oriental Mindoro,157850000.0
2025,Opong,Palawan,0.0
2025,Opong,Pampanga,0.0
2025,Opong,Pangasinan,237256254.4388
2025,Opong,Quezon,0.0
2025,Opong,Quirino,0.0
2025,Opong,Rizal,0.0
2025,Opong,Romblon,10600000.0
2025,Opong,Samar,0.0
2025,Opong,Sorsogon,460000.0
2025,Opong,Surigao del Norte,0.0
2025,Opong,Tarlac,0.0
2025,Opong,Zambales,0.0
2025,Opong,Zamboanga del Sur,0.0
