SID,SEASON,PHNAME,NAME,LAT,LON,PH_DAY,PH_TIME,STORM_SPEED,STORM_DIR,TOKYO_WIND,TOKYO_PRES,TOKYO_R50_DIR,TOKYO_R50_LONG,TOKYO_R50_SHORT,TOKYO_R30_DIR,TOKYO_R30_LONG,TOKYO_R30_SHORT,USA_WIND
2010078N03153,2010,Agaton,OMAIS,3.2,153.3,2010-03-19,14:00:00,12,240, , , , , , , , ,15
2010078N03153,2010,Agaton,OMAIS,2.9,152.8,2010-03-19,17:00:00,12,245, , , , , , , , ,15
2010078N03153,2010,Agaton,OMAIS,2.7,152.2,2010-03-19,20:00:00,12,265, , , , , , , , ,15
2010078N03153,2010,Agaton,OMAIS,2.7,151.6,2010-03-19,23:00:00,12,280, , , , , , , , ,18
2010078N03153,2010,Agaton,OMAIS,2.9,151.0,2010-03-20,02:00:00,12,285, , , , , , , , ,20
2010078N03153,2010,Agaton,OMAIS,3.1,150.4,2010-03-20,05:00:00,12,290, , , , , , , , ,20
2010078N03153,2010,Agaton,OMAIS,3.3,149.9,2010-03-20,08:00:00,12,290, , , , , , , , ,20
2010078N03153,2010,Agaton,OMAIS,3.5,149.3,2010-03-20,11:00:00,13,295, , , , , , , , ,20
2010078N03153,2010,Agaton,OMAIS,3.8,148.7,2010-03-20,14:00:00,13,295, , , , , , , , ,20
2010078N03153,2010,Agaton,OMAIS,4.1,148.1,2010-03-20,17:00:00,12,295, , , , , , , , ,20
2010078N03153,2010,Agaton,OMAIS,4.3,147.6,2010-03-20,20:00:00,11,290, , , , , , , , ,20
2010078N03153,2010,Agaton,OMAIS,4.4,147.1,2010-03-20,23:00:00,10,280, , , , , , , , ,23
2010078N03153,2010,Agaton,OMAIS,4.5,146.6,2010-03-21,02:00:00,9,280, , , , , , , , ,25
2010078N03153,2010,Agaton,OMAIS,4.6,146.2,2010-03-21,05:00:00,8,285, , , , , , , , ,25
2010078N03153,2010,Agaton,OMAIS,4.7,145.8,2010-03-21,08:00:00,7,290, , , , , , , , ,25
2010078N03153,2010,Agaton,OMAIS,4.8,145.5,2010-03-21,11:00:00,7,295, , , , , , , , ,23
2010078N03153,2010,Agaton,OMAIS,5.0,145.2,2010-03-21,14:00:00,7,300, , , , , , , , ,20
