date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2019-11-17 00:00:00+00:00,Abra,17.60984,120.725334,14.654254,29.16,5.0,0.5
2019-11-17 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,15.192682,37.079998,6.0,5.9
2019-11-17 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,9.511088,21.96,13.0,13.0
2019-11-17 00:00:00+00:00,Aklan,11.704745,122.361359,15.496736,31.319998,1.0,0.1
2019-11-17 00:00:00+00:00,Albay,13.110721,123.770493,15.683776,42.48,10.0,6.7999997
2019-11-17 00:00:00+00:00,Antique,10.720562,121.961136,7.5599995,22.319998,8.0,1.7
2019-11-17 00:00:00+00:00,Apayao,17.820738,121.425804,15.876775,34.2,17.0,5.0
2019-11-17 00:00:00+00:00,Aurora,15.782074,121.5,10.308831,26.28,6.0,2.2
2019-11-17 00:00:00+00:00,Basilan,6.713532,122.018501,10.365251,26.64,6.0,1.6
2019-11-17 00:00:00+00:00,Bataan,14.657293,120.529739,9.605998,25.199999,0.0,0.0
2019-11-17 00:00:00+00:00,Batanes,20.421791,121.961777,32.409996,41.760002,11.0,1.7000002
2019-11-17 00:00:00+00:00,Batangas,13.743409,121.074379,16.73516,36.719997,6.0,2.1
2019-11-17 00:00:00+00:00,Benguet,16.48506,120.685715,6.9247384,23.759998,9.0,4.0
2019-11-17 00:00:00+00:00,Biliran,11.564148,124.473213,12.144331,34.2,16.0,4.999999
2019-11-17 00:00:00+00:00,Bohol,9.66608,123.897125,9.178235,22.319998,8.0,6.4999995
2019-11-17 00:00:00+00:00,Bukidnon,8.119508,125.183914,8.4963045,24.84,12.0,45.800003
2019-11-17 00:00:00+00:00,Bulacan,14.86819,120.782852,11.631956,29.519999,3.0,0.8
2019-11-17 00:00:00+00:00,Cagayan,17.60984,121.682785,21.434364,42.12,14.0,5.1999993
2019-11-17 00:00:00+00:00,Camarines Norte,14.094903,122.96125,18.057508,46.8,9.0,4.6
2019-11-17 00:00:00+00:00,Camarines Sur,13.602812,123.244728,15.542662,34.2,15.0,14.499999
2019-11-17 00:00:00+00:00,Camiguin,9.244288,124.735474,13.661038,40.68,8.0,5.5
2019-11-17 00:00:00+00:00,Capiz,11.564148,122.785713,9.83268,30.960001,7.0,0.9000001
2019-11-17 00:00:00+00:00,Catanduanes,13.602812,124.317139,21.602999,49.32,16.0,7.7000003
2019-11-17 00:00:00+00:00,Cavite,14.305799,120.888069,18.36353,36.0,0.0,0.0
2019-11-17 00:00:00+00:00,Cebu,10.29877,123.769775,8.39657,22.319998,11.0,4.6000004
2019-11-17 00:00:00+00:00,Cotabato,6.994728,125.0886,8.4963045,22.68,1.0,0.1
2019-11-17 00:00:00+00:00,Davao Occidental,6.432337,125.532265,9.585739,22.68,4.0,1.0
2019-11-17 00:00:00+00:00,Davao Oriental,6.924429,126.273178,14.417988,34.92,1.0,0.2
2019-11-17 00:00:00+00:00,Davao de Oro,7.627417,125.969391,8.311245,23.759998,13.0,6.7000003
2019-11-17 00:00:00+00:00,Davao del Norte,7.41652,125.801529,12.261158,30.960001,9.0,2.9
2019-11-17 00:00:00+00:00,Davao del Sur,6.783832,125.378792,13.441071,27.359999,3.0,0.5
2019-11-17 00:00:00+00:00,Dinagat Islands,10.087873,125.574059,14.81259,37.079998,16.0,5.7
2019-11-17 00:00:00+00:00,Eastern Samar,11.634446,125.388748,15.273505,35.28,3.0,0.70000005
2019-11-17 00:00:00+00:00,Guimaras,10.579965,122.619049,15.315873,32.399998,8.0,8.900001
2019-11-17 00:00:00+00:00,Ifugao,16.836554,121.17704,7.9036193,30.960001,10.0,5.2999997
2019-11-17 00:00:00+00:00,Ilocos Norte,18.172232,120.614037,14.440443,27.359999,5.0,1.0
2019-11-17 00:00:00+00:00,Ilocos Sur,17.539541,120.434784,11.923557,38.16,7.0,1.7
2019-11-17 00:00:00+00:00,Iloilo,11.001758,122.632973,12.397806,30.960001,6.0,1.5000001
2019-11-17 00:00:00+00:00,Isabela,17.11775,121.902016,23.664352,41.039997,13.0,13.300001
2019-11-17 00:00:00+00:00,Kalinga,17.469244,121.447876,17.294992,38.88,11.0,4.799999
2019-11-17 00:00:00+00:00,La Union,16.625658,120.314888,10.799999,22.68,5.0,0.70000005
2019-11-17 00:00:00+00:00,Laguna,14.305799,121.470863,11.609651,29.88,9.0,1.7000002
2019-11-17 00:00:00+00:00,Lanao del Norte,8.260105,124.318771,12.074766,32.760002,6.0,0.8000001
2019-11-17 00:00:00+00:00,Lanao del Sur,7.97891,124.355255,12.682018,26.28,11.0,4.0
2019-11-17 00:00:00+00:00,Leyte,11.212654,124.959999,16.42247,36.719997,6.0,2.6000001
2019-11-17 00:00:00+00:00,Maguindanao del Norte,6.994728,124.40506,10.44,24.119999,2.0,0.2
2019-11-17 00:00:00+00:00,Maguindanao del Sur,6.713532,124.819176,10.739833,19.8,3.0,0.5
2019-11-17 00:00:00+00:00,Marinduque,13.462214,121.866425,13.849476,35.64,9.0,1.2000002
2019-11-17 00:00:00+00:00,Masbate,12.196836,123.618362,19.386591,42.12,14.0,5.8999996
2019-11-17 00:00:00+00:00,Metro Manila,14.586995,121.002785,12.964998,37.079998,5.0,0.8000001
2019-11-17 00:00:00+00:00,Misamis Occidental,8.471002,123.788658,8.942214,25.199999,3.0,2.1000001
2019-11-17 00:00:00+00:00,Misamis Oriental,8.471002,124.639168,11.212135,26.64,10.0,3.1
2019-11-17 00:00:00+00:00,Mountain Province,17.11775,120.864555,7.386582,25.56,7.0,2.1000001
2019-11-17 00:00:00+00:00,Negros Occidental,10.650264,122.965576,14.658676,30.960001,11.0,4.2
2019-11-17 00:00:00+00:00,Negros Oriental,9.314587,123.28125,7.9526596,23.039999,15.0,14.799999
2019-11-17 00:00:00+00:00,Northern Samar,12.478031,124.63414,20.240196,45.36,7.0,2.1999998
2019-11-17 00:00:00+00:00,Nueva Ecija,15.500878,120.958641,15.617529,32.760002,1.0,0.1
2019-11-17 00:00:00+00:00,Nueva Vizcaya,16.48506,121.200005,8.39657,36.0,10.0,3.1
2019-11-17 00:00:00+00:00,Occidental Mindoro,12.337434,121.163208,13.797913,30.960001,5.0,1.1
2019-11-17 00:00:00+00:00,Oriental Mindoro,13.391915,121.096893,16.299694,38.16,0.0,0.0
2019-11-17 00:00:00+00:00,Palawan,9.73638,118.664917,4.452954,14.04,7.0,1.6
