date,province,latitude,longitude,wind_speed_10m_max,wind_gusts_10m_max,precipitation_hours,precipitation_sum
2021-10-02 00:00:00+00:00,Abra,17.60984,120.725334,12.475961,25.919998,4.0,1.0
2021-10-02 00:00:00+00:00,Agusan del Norte,8.963093,125.548836,15.542662,38.88,11.0,16.6
2021-10-02 00:00:00+00:00,Agusan del Sur,8.611599,125.938034,7.42159,20.16,10.0,4.8999996
2021-10-02 00:00:00+00:00,Aklan,11.704745,122.361359,10.8955765,25.919998,22.0,22.7
2021-10-02 00:00:00+00:00,Albay,13.110721,123.770493,12.7279215,28.8,20.0,21.300003
2021-10-02 00:00:00+00:00,Antique,10.720562,121.961136,13.53236,32.399998,9.0,7.9
2021-10-02 00:00:00+00:00,Apayao,17.820738,121.425804,10.163227,30.239998,8.0,5.0
2021-10-02 00:00:00+00:00,Aurora,15.782074,121.5,8.707237,26.64,18.0,12.0
2021-10-02 00:00:00+00:00,Basilan,6.713532,122.018501,12.413476,29.16,20.0,8.5
2021-10-02 00:00:00+00:00,Bataan,14.657293,120.529739,10.829958,24.48,13.0,11.600001
2021-10-02 00:00:00+00:00,Batanes,20.421791,121.961777,32.84692,43.199997,12.0,3.4999998
2021-10-02 00:00:00+00:00,Batangas,13.743409,121.074379,7.69592,30.239998,10.0,19.4
2021-10-02 00:00:00+00:00,Benguet,16.48506,120.685715,6.489992,23.4,10.0,23.000002
2021-10-02 00:00:00+00:00,Biliran,11.564148,124.473213,5.4119864,19.44,19.0,21.100002
2021-10-02 00:00:00+00:00,Bohol,9.66608,123.897125,7.6367526,20.880001,18.0,11.700001
2021-10-02 00:00:00+00:00,Bukidnon,8.119508,125.183914,8.714677,26.28,14.0,12.600001
2021-10-02 00:00:00+00:00,Bulacan,14.86819,120.782852,10.594036,23.039999,9.0,9.200001
2021-10-02 00:00:00+00:00,Cagayan,17.60984,121.682785,13.75558,28.08,8.0,8.5
2021-10-02 00:00:00+00:00,Camarines Norte,14.094903,122.96125,9.360001,24.84,21.0,15.9
2021-10-02 00:00:00+00:00,Camarines Sur,13.602812,123.244728,8.891344,23.759998,14.0,42.399998
2021-10-02 00:00:00+00:00,Camiguin,9.244288,124.735474,7.072878,24.84,18.0,12.5
2021-10-02 00:00:00+00:00,Capiz,11.564148,122.785713,9.255571,22.319998,23.0,17.1
2021-10-02 00:00:00+00:00,Catanduanes,13.602812,124.317139,11.384198,26.64,20.0,15.400002
2021-10-02 00:00:00+00:00,Cavite,14.305799,120.888069,13.584932,23.4,7.0,6.2999997
2021-10-02 00:00:00+00:00,Cebu,10.29877,123.769775,5.4119864,21.599998,14.0,30.499998
2021-10-02 00:00:00+00:00,Cotabato,6.994728,125.0886,8.217153,22.68,20.0,38.499996
2021-10-02 00:00:00+00:00,Davao Occidental,6.432337,125.532265,10.8955765,29.519999,15.0,6.7000003
2021-10-02 00:00:00+00:00,Davao Oriental,6.924429,126.273178,17.015474,33.839996,10.0,2.2999997
2021-10-02 00:00:00+00:00,Davao de Oro,7.627417,125.969391,7.491114,26.28,6.0,7.1
2021-10-02 00:00:00+00:00,Davao del Norte,7.41652,125.801529,10.440001,27.359999,11.0,30.000002
2021-10-02 00:00:00+00:00,Davao del Sur,6.783832,125.378792,11.440978,25.919998,12.0,9.1
2021-10-02 00:00:00+00:00,Dinagat Islands,10.087873,125.574059,5.6233797,20.880001,21.0,37.099995
2021-10-02 00:00:00+00:00,Eastern Samar,11.634446,125.388748,8.4042845,24.84,16.0,17.500002
2021-10-02 00:00:00+00:00,Guimaras,10.579965,122.619049,11.090103,23.4,14.0,20.200003
2021-10-02 00:00:00+00:00,Ifugao,16.836554,121.17704,8.891344,27.72,14.0,13.499999
2021-10-02 00:00:00+00:00,Ilocos Norte,18.172232,120.614037,8.209263,27.359999,2.0,4.7
2021-10-02 00:00:00+00:00,Ilocos Sur,17.539541,120.434784,10.440001,33.839996,3.0,2.1
2021-10-02 00:00:00+00:00,Iloilo,11.001758,122.632973,7.072878,22.319998,12.0,16.400002
2021-10-02 00:00:00+00:00,Isabela,17.11775,121.902016,8.287822,28.08,11.0,5.6
2021-10-02 00:00:00+00:00,Kalinga,17.469244,121.447876,15.379206,33.12,12.0,15.400002
2021-10-02 00:00:00+00:00,La Union,16.625658,120.314888,17.698677,30.599998,6.0,7.1999993
2021-10-02 00:00:00+00:00,Laguna,14.305799,121.470863,13.779114,31.68,16.0,6.0999994
2021-10-02 00:00:00+00:00,Lanao del Norte,8.260105,124.318771,7.5942082,25.199999,13.0,7.2
2021-10-02 00:00:00+00:00,Lanao del Sur,7.97891,124.355255,13.905509,28.08,18.0,17.9
2021-10-02 00:00:00+00:00,Leyte,11.212654,124.959999,6.3690495,23.039999,14.0,7.999999
2021-10-02 00:00:00+00:00,Maguindanao del Norte,6.994728,124.40506,9.957108,24.84,13.0,13.200001
2021-10-02 00:00:00+00:00,Maguindanao del Sur,6.713532,124.819176,7.24486,19.08,18.0,23.300001
2021-10-02 00:00:00+00:00,Marinduque,13.462214,121.866425,12.218805,27.359999,18.0,12.300002
2021-10-02 00:00:00+00:00,Masbate,12.196836,123.618362,10.948973,30.239998,12.0,16.800001
2021-10-02 00:00:00+00:00,Metro Manila,14.586995,121.002785,11.183201,27.359999,9.0,10.000001
