Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2011-09-09 20:00:00,Abra,2527.93,79.09,E
2011-09-09 23:00:00,Abra,2475.29,79.29,E
2011-09-10 02:00:00,Abra,2433.64,79.24,E
2011-09-10 05:00:00,Abra,2391.36,79.45,E
2011-09-10 08:00:00,Abra,2328.85,79.36,E
2011-09-10 11:00:00,Abra,2255.94,79.24,E
2011-09-10 14:00:00,Abra,2193.48,79.13,E
2011-09-10 17:00:00,Abra,2121.53,78.68,ENE
2011-09-10 20:00:00,Abra,2070.59,78.24,ENE
2011-09-10 23:00:00,Abra,2018.72,78.1,ENE
2011-09-11 02:00:00,Abra,1966.88,77.94,ENE
2011-09-11 05:00:00,Abra,1905.98,77.4,ENE
2011-09-11 08:00:00,Abra,1855.68,76.86,ENE
2011-09-11 11:00:00,Abra,1804.1,76.65,ENE
2011-09-11 14:00:00,Abra,1752.56,76.41,ENE
2011-09-11 17:00:00,Abra,1713.05,75.83,ENE
2011-09-11 20:00:00,Abra,1684.04,75.29,ENE
2011-09-11 23:00:00,Abra,1655.22,74.72,ENE
2011-09-12 02:00:00,Abra,1636.82,74.21,ENE
2011-09-12 05:00:00,Abra,1651.27,73.51,ENE
2011-09-12 08:00:00,Abra,1668.27,72.44,ENE
2011-09-12 11:00:00,Abra,1690.87,72.22,ENE
2011-09-12 14:00:00,Abra,1723.55,72.08,ENE
2011-09-12 17:00:00,Abra,1746.13,71.87,ENE
2011-09-12 20:00:00,Abra,1768.72,71.66,ENE
2011-09-12 23:00:00,Abra,1791.3,71.46,ENE
2011-09-13 02:00:00,Abra,1803.85,71.18,ENE
2011-09-13 05:00:00,Abra,1826.45,70.99,ENE
2011-09-13 08:00:00,Abra,1841.65,70.38,ENE
2011-09-13 11:00:00,Abra,1854.3,70.12,ENE
2011-09-13 14:00:00,Abra,1879.67,69.6,ENE
2011-09-13 17:00:00,Abra,1895.22,69.02,ENE
2011-09-13 20:00:00,Abra,1901.08,68.36,ENE
2011-09-13 23:00:00,Abra,1920.09,67.47,ENE
2011-09-14 02:00:00,Abra,1929.76,66.51,ENE
2011-09-14 05:00:00,Abra,1924.21,65.04,ENE
2011-09-14 08:00:00,Abra,1912.39,64.2,ENE
2011-09-14 11:00:00,Abra,1891.55,63.24,ENE
2011-09-14 14:00:00,Abra,1848.45,62.35,ENE
2011-09-14 17:00:00,Abra,1796.22,60.5,ENE
2011-09-14 20:00:00,Abra,1737.31,58.38,ENE
2011-09-14 23:00:00,Abra,1676.06,56.46,ENE
2011-09-15 02:00:00,Abra,1611.56,54.72,NE
2011-09-15 05:00:00,Abra,1554.17,53.94,NE
2011-09-15 08:00:00,Abra,1511.6,52.93,NE
2011-09-15 11:00:00,Abra,1473.89,50.92,NE
2011-09-15 14:00:00,Abra,1439.68,49.4,NE
2011-09-15 17:00:00,Abra,1422.45,48.31,NE
2011-09-15 20:00:00,Abra,1413.61,47.45,NE
2011-09-15 23:00:00,Abra,1397.44,46.32,NE
2011-09-16 02:00:00,Abra,1381.9,45.16,NE
2011-09-16 05:00:00,Abra,1381.79,44.53,NE
2011-09-16 08:00:00,Abra,1374.53,43.63,NE
2011-09-16 11:00:00,Abra,1374.87,43.0,NE
2011-09-16 14:00:00,Abra,1367.66,42.71,NE
2011-09-16 17:00:00,Abra,1345.59,42.46,NE
2011-09-16 20:00:00,Abra,1322.98,42.85,NE
2011-09-16 23:00:00,Abra,1307.68,43.56,NE
2011-09-17 02:00:00,Abra,1292.59,44.29,NE
2011-09-17 05:00:00,Abra,1277.7,45.03,NE
2011-09-17 08:00:00,Abra,1270.64,46.09,NE
2011-09-17 11:00:00,Abra,1264.04,47.16,NE
2011-09-17 14:00:00,Abra,1264.84,47.84,NE
2011-09-17 17:00:00,Abra,1273.79,48.8,NE
2011-09-17 20:00:00,Abra,1283.12,49.75,NE
2011-09-17 23:00:00,Abra,1291.23,50.02,NE
2011-09-18 02:00:00,Abra,1307.54,50.55,NE
2011-09-18 05:00:00,Abra,1345.09,50.54,NE
2011-09-18 08:00:00,Abra,1380.98,49.89,NE
2011-09-18 11:00:00,Abra,1393.0,48.53,NE
2011-09-18 14:00:00,Abra,1398.06,46.93,NE
2011-09-18 17:00:00,Abra,1397.0,45.7,NE
2011-09-18 20:00:00,Abra,1389.24,44.81,NE
2011-09-18 23:00:00,Abra,1389.23,44.19,NE
2011-09-19 02:00:00,Abra,1396.72,43.85,NE
2011-09-19 05:00:00,Abra,1411.58,43.79,NE
2011-09-19 08:00:00,Abra,1426.7,43.12,NE
2011-09-19 11:00:00,Abra,1472.33,41.8,NE
2011-09-19 14:00:00,Abra,1511.76,40.28,NE
