Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-02-18 14:00:00,Abra,1799.67,139.9,SE
2013-02-18 17:00:00,Abra,1719.45,141.56,SE
2013-02-18 20:00:00,Abra,1634.38,143.69,SE
2013-02-18 23:00:00,Abra,1555.19,146.61,SSE
2013-02-19 02:00:00,Abra,1500.6,149.28,SSE
2013-02-19 05:00:00,Abra,1474.28,151.17,SSE
2013-02-19 08:00:00,Abra,1454.34,152.73,SSE
2013-02-19 11:00:00,Abra,1421.98,155.56,SSE
2013-02-19 14:00:00,Abra,1389.17,158.94,SSE
2013-02-19 17:00:00,Abra,1343.14,161.73,SSE
2013-02-19 20:00:00,Abra,1295.38,163.63,SSE
2013-02-19 23:00:00,Abra,1235.68,166.05,SSE
2013-02-20 02:00:00,Abra,1189.2,168.79,S
2013-02-20 05:00:00,Abra,1164.76,172.98,S
2013-02-20 08:00:00,Abra,1148.45,175.66,S
2013-02-20 11:00:00,Abra,1134.95,177.86,S
2013-02-20 14:00:00,Abra,1123.1,179.53,S
2013-02-20 17:00:00,Abra,1123.59,181.79,S
2013-02-20 20:00:00,Abra,1115.47,184.65,S
2013-02-20 23:00:00,Abra,1125.67,189.16,S
2013-02-21 02:00:00,Abra,1147.54,194.63,SSW
2013-02-21 05:00:00,Abra,1172.17,200.56,SSW
2013-02-21 08:00:00,Abra,1212.91,206.66,SSW
2013-02-21 11:00:00,Abra,1290.53,212.24,SSW
2013-02-21 14:00:00,Abra,1374.8,216.14,SW
2013-02-21 17:00:00,Abra,1450.94,218.89,SW
2013-02-21 20:00:00,Abra,1522.93,221.06,SW
2013-02-21 23:00:00,Abra,1622.1,222.26,SW
2013-02-22 02:00:00,Abra,1706.24,223.29,SW
2013-02-22 05:00:00,Abra,1753.18,223.39,SW
2013-02-22 08:00:00,Abra,1785.63,222.95,SW
2013-02-22 11:00:00,Abra,1794.07,222.72,SW
2013-02-22 14:00:00,Abra,1803.92,221.98,SW
2013-02-22 17:00:00,Abra,1821.06,221.53,SW
2013-02-22 20:00:00,Abra,1838.3,221.08,SW
2013-02-22 23:00:00,Abra,1853.91,221.13,SW
2013-02-23 02:00:00,Abra,1878.18,220.97,SW
2013-02-23 05:00:00,Abra,1918.07,220.85,SW
2013-02-23 08:00:00,Abra,1951.08,220.49,SW
2013-02-23 11:00:00,Abra,1977.34,219.88,SW
2013-02-23 14:00:00,Abra,1981.56,218.97,SW
2013-02-18 14:00:00,Agusan del Norte,746.5,125.68,SE
2013-02-18 17:00:00,Agusan del Norte,655.84,127.92,SE
2013-02-18 20:00:00,Agusan del Norte,558.23,131.6,SE
2013-02-18 23:00:00,Agusan del Norte,464.72,138.72,SE
2013-02-19 02:00:00,Agusan del Norte,402.73,147.23,SSE
2013-02-19 05:00:00,Agusan del Norte,375.88,154.36,SSE
2013-02-19 08:00:00,Agusan del Norte,359.08,160.75,SSE
2013-02-19 11:00:00,Agusan del Norte,341.59,173.12,S
2013-02-19 14:00:00,Agusan del Norte,342.44,187.99,S
2013-02-19 17:00:00,Agusan del Norte,340.5,201.54,SSW
2013-02-19 20:00:00,Agusan del Norte,335.65,212.47,SSW
2013-02-19 23:00:00,Agusan del Norte,342.75,225.93,SW
2013-02-20 02:00:00,Agusan del Norte,373.37,236.77,WSW
2013-02-20 05:00:00,Agusan del Norte,444.48,244.3,WSW
2013-02-20 08:00:00,Agusan del Norte,490.23,248.32,WSW
2013-02-20 11:00:00,Agusan del Norte,527.53,251.26,WSW
2013-02-20 14:00:00,Agusan del Norte,555.44,253.48,WSW
2013-02-20 17:00:00,Agusan del Norte,597.7,254.74,WSW
2013-02-20 20:00:00,Agusan del Norte,648.12,257.03,WSW
2013-02-20 23:00:00,Agusan del Norte,734.03,258.68,WSW
2013-02-21 02:00:00,Agusan del Norte,842.04,260.29,W
2013-02-21 05:00:00,Agusan del Norte,959.58,262.31,W
2013-02-21 08:00:00,Agusan del Norte,1088.88,263.99,W
2013-02-21 11:00:00,Agusan del Norte,1232.36,264.35,W
2013-02-21 14:00:00,Agusan del Norte,1355.46,264.07,W
2013-02-21 17:00:00,Agusan del Norte,1456.82,263.73,W
2013-02-21 20:00:00,Agusan del Norte,1547.37,263.38,W
2013-02-21 23:00:00,Agusan del Norte,1643.55,261.91,W
2013-02-22 02:00:00,Agusan del Norte,1727.78,260.89,W
2013-02-22 05:00:00,Agusan del Norte,1766.97,260.03,W
2013-02-22 08:00:00,Agusan del Norte,1785.0,259.04,W
2013-02-22 11:00:00,Agusan del Norte,1787.52,258.69,WSW
2013-02-22 14:00:00,Agusan del Norte,1782.03,257.9,WSW
2013-02-22 17:00:00,Agusan del Norte,1787.56,257.2,WSW
2013-02-22 20:00:00,Agusan del Norte,1793.34,256.51,WSW
2013-02-22 23:00:00,Agusan del Norte,1807.0,256.26,WSW
2013-02-23 02:00:00,Agusan del Norte,1823.76,255.67,WSW
2013-02-23 05:00:00,Agusan del Norte,1854.55,254.86,WSW
2013-02-23 08:00:00,Agusan del Norte,1875.13,253.97,WSW
2013-02-23 11:00:00,Agusan del Norte,1885.62,252.99,WSW
2013-02-23 14:00:00,Agusan del Norte,1871.99,252.12,WSW
2013-02-18 14:00:00,Agusan del Sur,689.28,125.18,SE
2013-02-18 17:00:00,Agusan del Sur,598.39,127.54,SE
2013-02-18 20:00:00,Agusan del Sur,500.59,131.56,SE
2013-02-18 23:00:00,Agusan del Sur,407.47,139.67,SE
2013-02-19 02:00:00,Agusan del Sur,347.3,149.71,SSE
2013-02-19 05:00:00,Agusan del Sur,323.12,158.23,SSE
2013-02-19 08:00:00,Agusan del Sur,309.53,165.87,SSE
2013-02-19 11:00:00,Agusan del Sur,300.23,180.36,S
2013-02-19 14:00:00,Agusan del Sur,313.46,196.76,SSW
2013-02-19 17:00:00,Agusan del Sur,324.44,211.14,SSW
2013-02-19 20:00:00,Agusan del Sur,330.58,222.41,SW
2013-02-19 23:00:00,Agusan del Sur,351.02,235.42,SW
2013-02-20 02:00:00,Agusan del Sur,391.64,245.02,WSW
2013-02-20 05:00:00,Agusan del Sur,469.01,250.9,WSW
2013-02-20 08:00:00,Agusan del Sur,518.0,254.12,WSW
2013-02-20 11:00:00,Agusan del Sur,557.61,256.51,WSW
2013-02-20 14:00:00,Agusan del Sur,587.25,258.35,WSW
2013-02-20 17:00:00,Agusan del Sur,630.39,259.21,W
2013-02-20 20:00:00,Agusan del Sur,682.5,261.06,W
2013-02-20 23:00:00,Agusan del Sur,769.52,262.19,W
2013-02-21 02:00:00,Agusan del Sur,878.59,263.3,W
2013-02-21 05:00:00,Agusan del Sur,997.52,264.89,W
2013-02-21 08:00:00,Agusan del Sur,1127.94,266.22,W
2013-02-21 11:00:00,Agusan del Sur,1271.59,266.32,W
2013-02-21 14:00:00,Agusan del Sur,1394.42,265.88,W
2013-02-21 17:00:00,Agusan del Sur,1495.48,265.42,W
2013-02-21 20:00:00,Agusan del Sur,1585.73,264.98,W
2013-02-21 23:00:00,Agusan del Sur,1680.77,263.45,W
2013-02-22 02:00:00,Agusan del Sur,1764.2,262.38,W
2013-02-22 05:00:00,Agusan del Sur,1802.71,261.5,W
2013-02-22 08:00:00,Agusan del Sur,1819.95,260.52,W
2013-02-22 11:00:00,Agusan del Sur,1822.2,260.17,W
2013-02-22 14:00:00,Agusan del Sur,1816.07,259.4,W
2013-02-22 17:00:00,Agusan del Sur,1821.04,258.71,WSW
2013-02-22 20:00:00,Agusan del Sur,1826.25,258.02,WSW
2013-02-22 23:00:00,Agusan del Sur,1839.69,257.77,WSW
2013-02-23 02:00:00,Agusan del Sur,1855.96,257.18,WSW
2013-02-23 05:00:00,Agusan del Sur,1886.07,256.35,WSW
2013-02-23 08:00:00,Agusan del Sur,1905.9,255.46,WSW
2013-02-23 11:00:00,Agusan del Sur,1915.56,254.49,WSW
2013-02-23 14:00:00,Agusan del Sur,1901.18,253.64,WSW
2013-02-18 14:00:00,Aklan,1206.63,127.41,SE
2013-02-18 17:00:00,Aklan,1116.98,128.92,SE
2013-02-18 20:00:00,Aklan,1019.97,131.1,SE
2013-02-18 23:00:00,Aklan,924.74,134.69,SE
2013-02-19 02:00:00,Aklan,856.61,138.4,SE
2013-02-19 05:00:00,Aklan,821.51,141.33,SE
2013-02-19 08:00:00,Aklan,795.05,143.85,SE
2013-02-19 11:00:00,Aklan,752.67,148.66,SSE
2013-02-19 14:00:00,Aklan,711.37,154.81,SSE
2013-02-19 17:00:00,Aklan,661.5,160.1,SSE
2013-02-19 20:00:00,Aklan,612.89,163.93,SSE
2013-02-19 23:00:00,Aklan,554.39,169.28,S
2013-02-20 02:00:00,Aklan,512.8,175.89,S
2013-02-20 05:00:00,Aklan,502.99,185.88,S
2013-02-20 08:00:00,Aklan,500.61,192.31,SSW
2013-02-20 11:00:00,Aklan,501.07,197.52,SSW
2013-02-20 14:00:00,Aklan,501.49,201.52,SSW
2013-02-20 17:00:00,Aklan,519.07,206.06,SSW
