Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2013-10-09 08:00:00,Abra,3060.12,93.41,E
2013-10-09 11:00:00,Abra,3020.01,93.8,E
2013-10-09 14:00:00,Abra,2969.39,94.23,E
2013-10-09 17:00:00,Abra,2910.65,94.94,E
2013-10-09 20:00:00,Abra,2868.41,95.13,E
2013-10-09 23:00:00,Abra,2826.19,95.32,E
2013-10-10 02:00:00,Abra,2792.15,95.24,E
2013-10-10 05:00:00,Abra,2762.89,95.62,E
2013-10-10 08:00:00,Abra,2720.71,95.83,E
2013-10-10 11:00:00,Abra,2665.55,95.85,E
2013-10-10 14:00:00,Abra,2610.42,95.87,E
2013-10-10 17:00:00,Abra,2560.17,96.38,E
2013-10-10 20:00:00,Abra,2499.51,96.97,E
2013-10-10 23:00:00,Abra,2460.03,97.47,E
2013-10-11 02:00:00,Abra,2418.01,97.71,E
2013-10-11 05:00:00,Abra,2383.87,97.64,E
2013-10-11 08:00:00,Abra,2344.68,97.02,E
2013-10-11 11:00:00,Abra,2287.15,96.77,E
2013-10-11 14:00:00,Abra,2229.73,96.51,E
2013-10-11 17:00:00,Abra,2193.5,96.11,E
2013-10-11 20:00:00,Abra,2155.27,95.4,E
2013-10-11 23:00:00,Abra,2106.87,94.72,E
2013-10-12 02:00:00,Abra,2069.43,93.96,E
2013-10-12 05:00:00,Abra,2020.21,92.9,E
2013-10-12 08:00:00,Abra,1983.84,92.06,E
2013-10-12 11:00:00,Abra,1958.56,91.16,E
2013-10-12 14:00:00,Abra,1932.75,89.91,E
2013-10-12 17:00:00,Abra,1909.61,89.29,E
2013-10-12 20:00:00,Abra,1875.39,88.34,E
2013-10-12 23:00:00,Abra,1852.36,87.34,E
2013-10-13 02:00:00,Abra,1829.67,85.96,E
2013-10-13 05:00:00,Abra,1797.61,85.26,E
2013-10-13 08:00:00,Abra,1776.45,84.54,E
2013-10-13 11:00:00,Abra,1766.36,83.44,E
2013-10-13 14:00:00,Abra,1746.94,81.95,E
2013-10-13 17:00:00,Abra,1717.51,80.77,E
2013-10-13 20:00:00,Abra,1679.57,79.14,E
2013-10-13 23:00:00,Abra,1653.57,77.47,ENE
2013-10-14 02:00:00,Abra,1639.37,75.82,ENE
2013-10-14 05:00:00,Abra,1628.75,73.75,ENE
2013-10-14 08:00:00,Abra,1625.6,70.88,ENE
2013-10-14 11:00:00,Abra,1613.49,68.29,ENE
2013-10-14 14:00:00,Abra,1604.87,65.66,ENE
2013-10-14 17:00:00,Abra,1599.78,63.02,ENE
2013-10-14 20:00:00,Abra,1602.95,60.0,ENE
2013-10-14 23:00:00,Abra,1614.41,57.52,ENE
2013-10-15 02:00:00,Abra,1634.49,54.74,NE
2013-10-15 05:00:00,Abra,1660.73,52.56,NE
2013-10-15 08:00:00,Abra,1705.69,50.83,NE
2013-10-15 11:00:00,Abra,1780.97,48.97,NE
2013-10-15 14:00:00,Abra,1879.89,47.34,NE
2013-10-15 17:00:00,Abra,1994.84,46.19,NE
2013-10-15 20:00:00,Abra,2139.25,45.4,NE
2013-10-15 23:00:00,Abra,2304.25,44.35,NE
2013-10-16 02:00:00,Abra,2483.04,43.66,NE
2013-10-16 05:00:00,Abra,2709.79,42.59,NE
2013-10-16 08:00:00,Abra,2955.28,41.34,NE
2013-10-16 11:00:00,Abra,3226.14,39.5,NE
2013-10-16 14:00:00,Abra,3528.0,37.77,NE
2013-10-16 17:00:00,Abra,3737.35,36.8,NE
2013-10-16 20:00:00,Abra,3903.58,36.22,NE
2013-10-16 23:00:00,Abra,4228.22,35.59,NE
2013-10-17 02:00:00,Abra,4544.41,34.99,NE
2013-10-17 05:00:00,Abra,4736.83,34.25,NE
2013-10-17 08:00:00,Abra,4883.01,33.8,NE
2013-10-17 11:00:00,Abra,5067.86,33.83,NE
2013-10-17 14:00:00,Abra,5232.84,33.96,NE
2013-10-17 17:00:00,Abra,5331.9,33.88,NE
2013-10-17 20:00:00,Abra,5430.58,33.93,NE
2013-10-17 23:00:00,Abra,5588.1,34.32,NE
2013-10-18 02:00:00,Abra,5752.86,34.81,NE
2013-10-18 05:00:00,Abra,5879.03,35.29,NE
2013-10-18 08:00:00,Abra,6006.26,35.72,NE
2013-10-18 11:00:00,Abra,6188.62,35.91,NE
2013-10-18 14:00:00,Abra,6373.02,35.91,NE
2013-10-18 17:00:00,Abra,6509.68,36.06,NE
2013-10-18 20:00:00,Abra,6624.83,36.23,NE
2013-10-09 08:00:00,Agusan del Norte,2616.88,75.42,ENE
2013-10-09 11:00:00,Agusan del Norte,2572.45,75.5,ENE
2013-10-09 14:00:00,Agusan del Norte,2517.36,75.54,ENE
2013-10-09 17:00:00,Agusan del Norte,2449.69,75.79,ENE
2013-10-09 20:00:00,Agusan del Norte,2407.11,75.61,ENE
2013-10-09 23:00:00,Agusan del Norte,2364.57,75.42,ENE
2013-10-10 02:00:00,Agusan del Norte,2334.76,75.0,ENE
2013-10-10 05:00:00,Agusan del Norte,2300.83,75.12,ENE
2013-10-10 08:00:00,Agusan del Norte,2258.39,74.91,ENE
2013-10-10 11:00:00,Agusan del Norte,2207.63,74.35,ENE
2013-10-10 14:00:00,Agusan del Norte,2157.15,73.75,ENE
2013-10-10 17:00:00,Agusan del Norte,2102.02,73.73,ENE
2013-10-10 20:00:00,Agusan del Norte,2036.33,73.64,ENE
2013-10-10 23:00:00,Agusan del Norte,1991.7,73.67,ENE
2013-10-11 02:00:00,Agusan del Norte,1949.57,73.38,ENE
2013-10-11 05:00:00,Agusan del Norte,1920.64,72.83,ENE
2013-10-11 08:00:00,Agusan del Norte,1897.58,71.6,ENE
2013-10-11 11:00:00,Agusan del Norte,1851.64,70.48,ENE
2013-10-11 14:00:00,Agusan del Norte,1806.52,69.31,ENE
