Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2014-01-29 08:00:00,Abra,2590.5,106.84,ESE
2014-01-29 11:00:00,Abra,2519.62,107.52,ESE
2014-01-29 14:00:00,Abra,2453.42,108.47,ESE
2014-01-29 17:00:00,Abra,2397.76,109.36,ESE
2014-01-29 20:00:00,Abra,2342.15,110.91,ESE
2014-01-29 23:00:00,Abra,2302.84,112.66,ESE
2014-01-30 02:00:00,Abra,2245.07,114.08,ESE
2014-01-30 05:00:00,Abra,2183.04,115.32,ESE
2014-01-30 08:00:00,Abra,2106.77,116.52,ESE
2014-01-30 11:00:00,Abra,2040.71,117.63,ESE
2014-01-30 14:00:00,Abra,1966.05,118.98,ESE
2014-01-30 17:00:00,Abra,1877.08,120.34,ESE
2014-01-30 20:00:00,Abra,1782.75,121.52,ESE
2014-01-30 23:00:00,Abra,1704.58,122.91,ESE
2014-01-31 02:00:00,Abra,1603.17,124.58,SE
2014-01-31 05:00:00,Abra,1487.61,126.39,SE
2014-01-31 08:00:00,Abra,1380.92,128.83,SE
2014-01-31 11:00:00,Abra,1276.89,131.65,SE
2014-01-31 14:00:00,Abra,1176.21,134.93,SE
2014-01-31 17:00:00,Abra,1088.36,139.17,SE
2014-01-31 20:00:00,Abra,997.89,143.72,SE
2014-01-31 23:00:00,Abra,910.46,148.17,SSE
2014-02-01 02:00:00,Abra,844.09,153.14,SSE
2014-02-01 05:00:00,Abra,770.61,159.37,SSE
2014-02-01 08:00:00,Abra,729.33,167.16,SSE
2014-02-01 11:00:00,Abra,703.33,174.8,S
2014-02-01 14:00:00,Abra,701.96,183.72,S
2014-02-01 17:00:00,Abra,730.14,193.13,SSW
2014-02-01 20:00:00,Abra,761.47,201.18,SSW
2014-01-29 08:00:00,Agusan del Norte,1940.42,86.11,E
2014-01-29 11:00:00,Agusan del Norte,1863.71,86.07,E
2014-01-29 14:00:00,Agusan del Norte,1786.78,86.38,E
2014-01-29 17:00:00,Agusan del Norte,1720.83,86.71,E
2014-01-29 20:00:00,Agusan del Norte,1643.87,87.85,E
2014-01-29 23:00:00,Agusan del Norte,1578.73,89.49,E
2014-01-30 02:00:00,Agusan del Norte,1502.66,90.43,E
2014-01-30 05:00:00,Agusan del Norte,1426.31,91.01,E
2014-01-30 08:00:00,Agusan del Norte,1338.46,91.21,E
2014-01-30 11:00:00,Agusan del Norte,1261.59,91.39,E
2014-01-30 14:00:00,Agusan del Norte,1173.74,91.62,E
2014-01-30 17:00:00,Agusan del Norte,1074.33,91.32,E
2014-01-30 20:00:00,Agusan del Norte,974.61,90.29,E
2014-01-30 23:00:00,Agusan del Norte,886.48,89.73,E
2014-01-31 02:00:00,Agusan del Norte,776.58,88.22,E
2014-01-31 05:00:00,Agusan del Norte,657.24,85.16,E
2014-01-31 08:00:00,Agusan del Norte,539.3,81.91,E
2014-01-31 11:00:00,Agusan del Norte,424.26,76.83,ENE
2014-01-31 14:00:00,Agusan del Norte,315.25,68.05,ENE
2014-01-31 17:00:00,Agusan del Norte,214.46,53.27,NE
2014-01-31 20:00:00,Agusan del Norte,158.71,18.91,NNE
2014-01-31 23:00:00,Agusan del Norte,192.44,342.48,NNW
2014-02-01 02:00:00,Agusan del Norte,258.56,322.83,NW
2014-02-01 05:00:00,Agusan del Norte,357.69,312.15,NW
2014-02-01 08:00:00,Agusan del Norte,451.21,303.96,NW
2014-02-01 11:00:00,Agusan del Norte,541.2,299.24,WNW
2014-02-01 14:00:00,Agusan del Norte,639.24,294.58,WNW
2014-02-01 17:00:00,Agusan del Norte,747.04,290.11,WNW
2014-02-01 20:00:00,Agusan del Norte,850.97,287.72,WNW
2014-01-29 08:00:00,Agusan del Sur,1901.05,84.95,E
2014-01-29 11:00:00,Agusan del Sur,1824.39,84.86,E
2014-01-29 14:00:00,Agusan del Sur,1747.26,85.11,E
2014-01-29 17:00:00,Agusan del Sur,1681.08,85.4,E
2014-01-29 20:00:00,Agusan del Sur,1603.31,86.49,E
2014-01-29 23:00:00,Agusan del Sur,1537.02,88.11,E
2014-01-30 02:00:00,Agusan del Sur,1460.32,89.0,E
2014-01-30 05:00:00,Agusan del Sur,1383.6,89.52,E
2014-01-30 08:00:00,Agusan del Sur,1295.65,89.61,E
2014-01-30 11:00:00,Agusan del Sur,1218.69,89.69,E
2014-01-30 14:00:00,Agusan del Sur,1130.73,89.8,E
2014-01-30 17:00:00,Agusan del Sur,1031.59,89.3,E
2014-01-30 20:00:00,Agusan del Sur,932.66,87.99,E
2014-01-30 23:00:00,Agusan del Sur,845.01,87.16,E
2014-01-31 02:00:00,Agusan del Sur,736.36,85.16,E
2014-01-31 05:00:00,Agusan del Sur,619.57,81.31,E
2014-01-31 08:00:00,Agusan del Sur,504.61,76.92,ENE
2014-01-31 11:00:00,Agusan del Sur,394.57,69.97,ENE
2014-01-31 14:00:00,Agusan del Sur,294.94,57.96,ENE
2014-01-31 17:00:00,Agusan del Sur,211.34,37.8,NE
2014-01-31 20:00:00,Agusan del Sur,189.25,2.75,N
2014-01-31 23:00:00,Agusan del Sur,244.06,335.75,NNW
2014-02-01 02:00:00,Agusan del Sur,315.44,321.0,NW
2014-02-01 05:00:00,Agusan del Sur,415.34,312.24,NW
2014-02-01 08:00:00,Agusan del Sur,508.3,304.98,NW
2014-02-01 11:00:00,Agusan del Sur,597.47,300.55,WNW
2014-02-01 14:00:00,Agusan del Sur,694.33,296.09,WNW
2014-02-01 17:00:00,Agusan del Sur,800.66,291.73,WNW
2014-02-01 20:00:00,Agusan del Sur,903.66,289.3,WNW
2014-01-29 08:00:00,Aklan,2286.52,93.56,E
2014-01-29 11:00:00,Aklan,2210.46,93.83,E
2014-01-29 14:00:00,Aklan,2135.95,94.4,E
2014-01-29 17:00:00,Aklan,2072.43,94.97,E
2014-01-29 20:00:00,Aklan,2001.8,96.26,E
2014-01-29 23:00:00,Aklan,1944.92,97.89,E
2014-01-30 02:00:00,Aklan,1873.97,99.03,E
2014-01-30 05:00:00,Aklan,1801.17,99.89,E
2014-01-30 08:00:00,Aklan,1715.44,100.54,E
2014-01-30 11:00:00,Aklan,1640.59,101.17,E
2014-01-30 14:00:00,Aklan,1555.24,101.94,ESE
2014-01-30 17:00:00,Aklan,1456.67,102.48,ESE
2014-01-30 20:00:00,Aklan,1355.34,102.64,ESE
2014-01-30 23:00:00,Aklan,1267.56,103.16,ESE
2014-01-31 02:00:00,Aklan,1155.75,103.52,ESE
2014-01-31 05:00:00,Aklan,1030.51,103.5,ESE
2014-01-31 08:00:00,Aklan,908.29,104.13,ESE
2014-01-31 11:00:00,Aklan,786.25,104.92,ESE
2014-01-31 14:00:00,Aklan,664.43,105.96,ESE
2014-01-31 17:00:00,Aklan,546.54,108.54,ESE
2014-01-31 20:00:00,Aklan,426.0,111.08,ESE
2014-01-31 23:00:00,Aklan,312.2,112.81,ESE
2014-02-01 02:00:00,Aklan,213.86,117.73,ESE
2014-02-01 05:00:00,Aklan,104.09,129.79,SE
2014-02-01 08:00:00,Aklan,62.75,207.65,SSW
2014-02-01 11:00:00,Aklan,134.71,250.84,WSW
2014-02-01 14:00:00,Aklan,240.27,259.55,W
2014-02-01 17:00:00,Aklan,360.36,261.45,W
2014-02-01 20:00:00,Aklan,468.33,263.61,W
2014-01-29 08:00:00,Albay,2155.39,98.15,E
2014-01-29 11:00:00,Albay,2080.4,98.59,E
2014-01-29 14:00:00,Albay,2007.96,99.38,E
2014-01-29 17:00:00,Albay,1946.48,100.14,E
2014-01-29 20:00:00,Albay,1880.28,101.7,ESE
2014-01-29 23:00:00,Albay,1829.02,103.61,ESE
2014-01-30 02:00:00,Albay,1762.2,105.04,ESE
2014-01-30 05:00:00,Albay,1692.72,106.21,ESE
2014-01-30 08:00:00,Albay,1609.75,107.24,ESE
2014-01-30 11:00:00,Albay,1537.55,108.22,ESE
2014-01-30 14:00:00,Albay,1455.56,109.45,ESE
