Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2014-07-02 20:00:00,Abra,3057.76,105.88,ESE
2014-07-02 23:00:00,Abra,2998.46,105.88,ESE
2014-07-03 02:00:00,Abra,2943.34,106.08,ESE
2014-07-03 05:00:00,Abra,2904.46,105.91,ESE
2014-07-03 08:00:00,Abra,2855.42,105.82,ESE
2014-07-03 11:00:00,Abra,2802.35,105.51,ESE
2014-07-03 14:00:00,Abra,2749.41,105.19,ESE
2014-07-03 17:00:00,Abra,2706.85,104.76,ESE
2014-07-03 20:00:00,Abra,2654.21,104.41,ESE
2014-07-03 23:00:00,Abra,2608.27,103.72,ESE
2014-07-04 02:00:00,Abra,2548.86,102.85,ESE
2014-07-04 05:00:00,Abra,2483.17,102.26,ESE
2014-07-04 08:00:00,Abra,2417.85,101.64,ESE
2014-07-04 11:00:00,Abra,2349.78,100.72,E
2014-07-04 14:00:00,Abra,2285.43,100.01,E
2014-07-04 17:00:00,Abra,2229.23,98.91,E
2014-07-04 20:00:00,Abra,2166.06,98.11,E
2014-07-04 23:00:00,Abra,2084.91,97.69,E
2014-07-05 02:00:00,Abra,2004.01,97.24,E
2014-07-05 05:00:00,Abra,1942.23,96.28,E
2014-07-05 08:00:00,Abra,1893.73,95.53,E
2014-07-05 11:00:00,Abra,1822.68,94.51,E
2014-07-05 14:00:00,Abra,1752.44,93.4,E
2014-07-05 17:00:00,Abra,1693.7,92.15,E
2014-07-05 20:00:00,Abra,1626.47,91.24,E
2014-07-05 23:00:00,Abra,1558.99,89.83,E
2014-07-06 02:00:00,Abra,1472.11,88.76,E
2014-07-06 05:00:00,Abra,1386.05,87.55,E
2014-07-06 08:00:00,Abra,1311.52,86.17,E
2014-07-06 11:00:00,Abra,1227.24,85.11,E
2014-07-06 14:00:00,Abra,1154.16,83.91,E
2014-07-06 17:00:00,Abra,1092.35,82.57,E
2014-07-06 20:00:00,Abra,1032.56,80.45,E
2014-07-06 23:00:00,Abra,976.4,77.42,ENE
2014-07-07 02:00:00,Abra,923.59,74.03,ENE
2014-07-07 05:00:00,Abra,891.56,71.31,ENE
2014-07-07 08:00:00,Abra,865.53,67.7,ENE
2014-07-07 11:00:00,Abra,843.13,62.21,ENE
2014-07-07 14:00:00,Abra,829.2,56.48,ENE
2014-07-07 17:00:00,Abra,827.63,52.72,NE
2014-07-07 20:00:00,Abra,837.78,49.41,NE
2014-07-07 23:00:00,Abra,858.21,44.63,NE
2014-07-08 02:00:00,Abra,892.78,39.63,NE
2014-07-08 05:00:00,Abra,937.37,36.44,NE
2014-07-08 08:00:00,Abra,999.52,33.66,NNE
2014-07-08 11:00:00,Abra,1062.31,29.96,NNE
2014-07-08 14:00:00,Abra,1129.11,26.7,NNE
2014-07-08 17:00:00,Abra,1183.63,24.72,NNE
2014-07-08 20:00:00,Abra,1237.85,23.97,NNE
2014-07-08 23:00:00,Abra,1308.28,22.47,NNE
2014-07-09 02:00:00,Abra,1373.16,21.68,NNE
2014-07-09 05:00:00,Abra,1452.27,21.14,NNE
2014-07-09 08:00:00,Abra,1531.41,20.64,NNE
2014-07-09 11:00:00,Abra,1600.32,20.33,NNE
2014-07-09 14:00:00,Abra,1662.63,20.5,NNE
2014-07-09 17:00:00,Abra,1698.17,21.39,NNE
2014-07-09 20:00:00,Abra,1732.26,22.97,NNE
2014-07-09 23:00:00,Abra,1772.18,24.75,NNE
2014-07-10 02:00:00,Abra,1828.32,26.53,NNE
2014-07-10 05:00:00,Abra,1872.62,28.8,NNE
2014-07-10 08:00:00,Abra,1954.66,31.25,NNE
2014-07-10 11:00:00,Abra,2055.02,33.49,NNE
2014-07-10 14:00:00,Abra,2173.15,35.47,NE
2014-07-10 17:00:00,Abra,2287.52,37.03,NE
2014-07-10 20:00:00,Abra,2410.17,38.56,NE
2014-07-10 23:00:00,Abra,2521.0,39.6,NE
2014-07-11 01:00:00,Abra,2604.65,40.31,NE
2014-07-11 02:00:00,Abra,2653.71,40.61,NE
2014-07-11 03:00:00,Abra,2695.89,40.77,NE
2014-07-11 05:00:00,Abra,2794.26,40.99,NE
2014-07-11 08:00:00,Abra,2976.39,40.54,NE
2014-07-11 11:00:00,Abra,3081.28,39.69,NE
2014-07-11 14:00:00,Abra,3143.94,39.31,NE
2014-07-11 17:00:00,Abra,3267.46,39.33,NE
2014-07-11 20:00:00,Abra,3438.11,38.99,NE
2014-07-11 23:00:00,Abra,3635.1,37.79,NE
2014-07-12 02:00:00,Abra,3825.39,36.11,NE
2014-07-12 05:00:00,Abra,3945.43,34.28,NE
2014-07-12 08:00:00,Abra,4039.47,32.14,NNE
2014-07-12 11:00:00,Abra,4154.24,29.86,NNE
2014-07-12 14:00:00,Abra,4255.41,28.11,NNE
2014-07-12 17:00:00,Abra,4328.57,27.82,NNE
2014-07-12 20:00:00,Abra,4387.29,28.0,NNE
2014-07-12 23:00:00,Abra,4436.98,27.6,NNE
2014-07-13 02:00:00,Abra,4486.65,27.2,NNE
2014-07-13 05:00:00,Abra,4553.84,26.83,NNE
2014-07-13 08:00:00,Abra,4616.04,26.4,NNE
2014-07-13 11:00:00,Abra,4668.84,25.84,NNE
2014-07-13 14:00:00,Abra,4720.9,25.06,NNE
2014-07-02 20:00:00,Agusan del Norte,2392.88,89.51,E
2014-07-02 23:00:00,Agusan del Norte,2336.96,89.02,E
2014-07-03 02:00:00,Agusan del Norte,2281.63,88.79,E
2014-07-03 05:00:00,Agusan del Norte,2248.0,88.25,E
2014-07-03 08:00:00,Agusan del Norte,2203.64,87.69,E
2014-07-03 11:00:00,Agusan del Norte,2159.5,86.8,E
2014-07-03 14:00:00,Agusan del Norte,2115.93,85.88,E
2014-07-03 17:00:00,Agusan del Norte,2083.91,84.93,E
2014-07-03 20:00:00,Agusan del Norte,2041.58,83.94,E
