Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2014-07-09 14:00:00,Abra,3797.76,101.98,ESE
2014-07-09 17:00:00,Abra,3766.67,102.16,ESE
2014-07-09 20:00:00,Abra,3725.24,102.4,ESE
2014-07-09 23:00:00,Abra,3676.27,102.3,ESE
2014-07-10 02:00:00,Abra,3627.34,102.2,ESE
2014-07-10 05:00:00,Abra,3578.44,102.1,ESE
2014-07-10 08:00:00,Abra,3539.95,101.93,ESE
2014-07-10 11:00:00,Abra,3494.28,101.39,ESE
2014-07-10 14:00:00,Abra,3445.46,100.65,E
2014-07-10 17:00:00,Abra,3376.31,100.02,E
2014-07-10 20:00:00,Abra,3307.66,99.35,E
2014-07-10 23:00:00,Abra,3253.12,98.8,E
2014-07-11 02:00:00,Abra,3198.94,98.23,E
2014-07-11 05:00:00,Abra,3148.05,97.85,E
2014-07-11 08:00:00,Abra,3089.73,97.71,E
2014-07-11 11:00:00,Abra,3025.85,97.14,E
2014-07-11 14:00:00,Abra,2965.05,96.76,E
2014-07-11 17:00:00,Abra,2893.93,96.42,E
2014-07-11 20:00:00,Abra,2833.57,96.01,E
2014-07-11 23:00:00,Abra,2788.9,95.98,E
2014-07-12 02:00:00,Abra,2731.25,95.77,E
2014-07-12 05:00:00,Abra,2668.0,96.09,E
2014-07-12 08:00:00,Abra,2594.25,96.46,E
2014-07-12 11:00:00,Abra,2520.56,96.86,E
2014-07-12 14:00:00,Abra,2436.41,97.33,E
2014-07-12 17:00:00,Abra,2355.02,98.1,E
2014-07-12 20:00:00,Abra,2268.41,98.35,E
2014-07-12 23:00:00,Abra,2195.05,98.84,E
2014-07-13 02:00:00,Abra,2121.79,99.35,E
2014-07-13 05:00:00,Abra,2027.76,100.05,E
2014-07-13 08:00:00,Abra,1923.54,100.89,E
2014-07-13 11:00:00,Abra,1830.0,101.72,ESE
2014-07-13 14:00:00,Abra,1726.41,102.72,ESE
2014-07-13 17:00:00,Abra,1623.25,103.84,ESE
2014-07-13 20:00:00,Abra,1534.44,105.35,ESE
2014-07-13 23:00:00,Abra,1442.74,106.62,ESE
2014-07-14 02:00:00,Abra,1351.67,108.04,ESE
2014-07-14 05:00:00,Abra,1255.75,110.3,ESE
2014-07-14 08:00:00,Abra,1181.34,112.46,ESE
2014-07-14 11:00:00,Abra,1113.74,115.4,ESE
2014-07-14 14:00:00,Abra,1058.43,118.39,ESE
2014-07-14 17:00:00,Abra,1018.11,120.49,ESE
2014-07-14 20:00:00,Abra,979.14,122.76,ESE
2014-07-14 23:00:00,Abra,926.35,125.06,SE
2014-07-15 02:00:00,Abra,866.75,128.08,SE
2014-07-15 05:00:00,Abra,817.69,131.0,SE
2014-07-15 08:00:00,Abra,770.89,134.27,SE
2014-07-15 11:00:00,Abra,718.41,137.36,SE
2014-07-15 14:00:00,Abra,673.25,138.87,SE
2014-07-15 17:00:00,Abra,615.39,142.17,SE
2014-07-15 20:00:00,Abra,554.06,147.06,SSE
2014-07-15 23:00:00,Abra,487.63,152.49,SSE
2014-07-16 02:00:00,Abra,426.76,159.52,SSE
2014-07-16 05:00:00,Abra,395.98,169.27,S
2014-07-16 08:00:00,Abra,366.95,180.29,S
2014-07-16 11:00:00,Abra,334.06,195.26,SSW
2014-07-16 14:00:00,Abra,331.34,209.47,SSW
2014-07-16 17:00:00,Abra,356.56,221.86,SW
2014-07-16 20:00:00,Abra,394.51,230.0,SW
2014-07-16 23:00:00,Abra,423.68,237.04,WSW
2014-07-17 02:00:00,Abra,453.11,244.35,WSW
2014-07-17 05:00:00,Abra,502.69,249.92,WSW
2014-07-17 08:00:00,Abra,532.33,254.96,WSW
2014-07-17 11:00:00,Abra,565.47,259.44,W
2014-07-17 14:00:00,Abra,603.22,262.36,W
2014-07-17 17:00:00,Abra,630.43,265.83,W
2014-07-17 20:00:00,Abra,669.79,270.0,W
2014-07-17 23:00:00,Abra,712.49,274.6,W
2014-07-18 02:00:00,Abra,769.48,278.58,W
2014-07-18 05:00:00,Abra,825.93,280.49,W
2014-07-18 08:00:00,Abra,893.38,282.05,WNW
2014-07-18 11:00:00,Abra,953.03,284.19,WNW
2014-07-18 14:00:00,Abra,1013.62,286.08,WNW
2014-07-18 17:00:00,Abra,1069.57,286.61,WNW
2014-07-18 20:00:00,Abra,1125.51,287.11,WNW
2014-07-18 23:00:00,Abra,1184.18,288.08,WNW
2014-07-19 02:00:00,Abra,1235.98,289.61,WNW
2014-07-19 05:00:00,Abra,1308.18,290.75,WNW
2014-07-19 08:00:00,Abra,1370.75,291.92,WNW
2014-07-19 11:00:00,Abra,1436.49,292.02,WNW
2014-07-19 14:00:00,Abra,1492.32,292.24,WNW
2014-07-19 17:00:00,Abra,1541.72,292.97,WNW
2014-07-19 20:00:00,Abra,1600.94,293.54,WNW
2014-07-19 23:00:00,Abra,1672.54,293.12,WNW
2014-07-20 02:00:00,Abra,1734.46,292.84,WNW
2014-07-20 05:00:00,Abra,1780.16,293.14,WNW
2014-07-20 08:00:00,Abra,1825.82,293.42,WNW
2014-07-20 11:00:00,Abra,1874.85,294.03,WNW
2014-07-20 14:00:00,Abra,1926.7,293.87,WNW
2014-07-09 14:00:00,Agusan del Norte,3165.13,89.71,E
2014-07-09 17:00:00,Agusan del Norte,3132.18,89.75,E
2014-07-09 20:00:00,Agusan del Norte,3088.24,89.81,E
2014-07-09 23:00:00,Agusan del Norte,3042.82,89.44,E
2014-07-10 02:00:00,Agusan del Norte,2997.55,89.05,E
2014-07-10 05:00:00,Agusan del Norte,2952.44,88.65,E
2014-07-10 08:00:00,Agusan del Norte,2918.49,88.24,E
2014-07-10 11:00:00,Agusan del Norte,2884.02,87.35,E
2014-07-10 14:00:00,Agusan del Norte,2850.12,86.21,E
2014-07-10 17:00:00,Agusan del Norte,2795.43,85.04,E
2014-07-10 20:00:00,Agusan del Norte,2741.97,83.83,E
2014-07-10 23:00:00,Agusan del Norte,2700.14,82.83,E
2014-07-11 02:00:00,Agusan del Norte,2659.19,81.79,E
2014-07-11 05:00:00,Agusan del Norte,2618.23,80.98,E
2014-07-11 08:00:00,Agusan del Norte,2565.97,80.37,E
2014-07-11 11:00:00,Agusan del Norte,2516.51,79.21,E
2014-07-11 14:00:00,Agusan del Norte,2466.71,78.28,ENE
2014-07-11 17:00:00,Agusan del Norte,2406.96,77.26,ENE
