Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2014-07-27 20:00:00,Abra,1462.02,96.31,E
2014-07-27 23:00:00,Abra,1456.46,95.01,E
2014-07-28 02:00:00,Abra,1453.16,94.14,E
2014-07-28 05:00:00,Abra,1450.19,93.26,E
2014-07-28 08:00:00,Abra,1435.76,91.98,E
2014-07-28 11:00:00,Abra,1421.21,90.23,E
2014-07-28 14:00:00,Abra,1397.41,88.46,E
2014-07-28 17:00:00,Abra,1353.89,86.64,E
2014-07-28 20:00:00,Abra,1301.01,85.67,E
2014-07-28 23:00:00,Abra,1258.92,85.14,E
2014-07-29 02:00:00,Abra,1216.99,84.57,E
2014-07-29 05:00:00,Abra,1175.24,83.96,E
2014-07-29 08:00:00,Abra,1143.62,83.88,E
2014-07-29 11:00:00,Abra,1102.11,83.19,E
2014-07-29 14:00:00,Abra,1060.02,83.05,E
2014-07-29 17:00:00,Abra,1029.31,82.31,E
2014-07-29 20:00:00,Abra,1010.42,80.95,E
2014-07-29 23:00:00,Abra,993.69,78.9,E
2014-07-30 02:00:00,Abra,990.68,76.25,ENE
2014-07-30 05:00:00,Abra,985.13,72.19,ENE
2014-07-30 08:00:00,Abra,998.12,67.7,ENE
2014-07-30 11:00:00,Abra,1003.13,63.69,ENE
2014-07-30 14:00:00,Abra,1003.94,59.47,ENE
2014-07-30 17:00:00,Abra,1013.27,56.13,NE
2014-07-30 20:00:00,Abra,1011.34,53.06,NE
2014-07-30 23:00:00,Abra,1012.45,49.99,NE
2014-07-31 02:00:00,Abra,1009.41,47.42,NE
2014-07-31 05:00:00,Abra,993.69,44.04,NE
2014-07-31 08:00:00,Abra,1003.72,40.99,NE
2014-07-31 11:00:00,Abra,1031.68,38.04,NE
2014-07-31 14:00:00,Abra,1074.67,36.11,NE
2014-07-31 17:00:00,Abra,1101.0,35.03,NE
2014-07-31 20:00:00,Abra,1151.54,33.74,NNE
2014-07-31 23:00:00,Abra,1234.79,33.77,NE
2014-08-01 02:00:00,Abra,1315.24,32.79,NNE
2014-08-01 05:00:00,Abra,1368.53,30.21,NNE
2014-08-01 08:00:00,Abra,1395.41,26.67,NNE
2014-08-01 11:00:00,Abra,1412.07,24.04,NNE
2014-08-01 14:00:00,Abra,1435.78,21.85,NNE
2014-08-01 17:00:00,Abra,1468.99,20.44,NNE
2014-08-01 20:00:00,Abra,1503.09,19.1,NNE
2014-08-01 23:00:00,Abra,1545.31,17.35,NNE
2014-08-02 02:00:00,Abra,1591.91,16.03,NNE
2014-08-02 05:00:00,Abra,1628.72,14.9,NNE
2014-08-02 08:00:00,Abra,1666.18,13.83,NNE
2014-08-02 11:00:00,Abra,1693.49,12.9,NNE
2014-08-02 14:00:00,Abra,1725.79,12.62,NNE
2014-08-02 17:00:00,Abra,1758.13,12.35,NNE
2014-08-02 20:00:00,Abra,1792.75,12.37,NNE
2014-08-02 23:00:00,Abra,1848.93,12.23,NNE
2014-08-03 02:00:00,Abra,1905.1,12.09,NNE
2014-08-03 05:00:00,Abra,1939.69,12.11,NNE
2014-08-03 08:00:00,Abra,1974.27,12.14,NNE
2014-08-03 11:00:00,Abra,1998.06,12.23,NNE
2014-08-03 14:00:00,Abra,2021.86,12.33,NNE
2014-08-03 17:00:00,Abra,2034.9,12.5,NNE
2014-08-03 20:00:00,Abra,2050.31,12.92,NNE
2014-08-03 23:00:00,Abra,2074.15,13.0,NNE
2014-08-04 02:00:00,Abra,2092.18,13.65,NNE
2014-08-04 05:00:00,Abra,2102.53,14.61,NNE
2014-08-04 08:00:00,Abra,2124.11,15.46,NNE
2014-07-27 20:00:00,Agusan del Norte,1203.81,50.59,NE
2014-07-27 23:00:00,Agusan del Norte,1224.43,49.34,NE
2014-07-28 02:00:00,Agusan del Norte,1238.47,48.54,NE
2014-07-28 05:00:00,Agusan del Norte,1252.76,47.75,NE
2014-07-28 08:00:00,Agusan del Norte,1266.64,46.28,NE
2014-07-28 11:00:00,Agusan del Norte,1289.0,44.47,NE
2014-07-28 14:00:00,Agusan del Norte,1305.15,42.4,NE
2014-07-28 17:00:00,Agusan del Norte,1308.87,39.7,NE
2014-07-28 20:00:00,Agusan del Norte,1291.66,37.27,NE
2014-07-28 23:00:00,Agusan del Norte,1274.37,35.46,NE
2014-07-29 02:00:00,Agusan del Norte,1258.44,33.61,NNE
2014-07-29 05:00:00,Agusan del Norte,1243.92,31.71,NNE
2014-07-29 08:00:00,Agusan del Norte,1226.9,30.47,NNE
2014-07-29 11:00:00,Agusan del Norte,1214.83,28.49,NNE
2014-07-29 14:00:00,Agusan del Norte,1194.47,26.72,NNE
2014-07-29 17:00:00,Agusan del Norte,1189.97,25.11,NNE
2014-07-29 20:00:00,Agusan del Norte,1200.95,23.74,NNE
2014-07-29 23:00:00,Agusan del Norte,1222.85,22.18,NNE
2014-07-30 02:00:00,Agusan del Norte,1259.87,20.93,NNE
