Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2014-12-27 20:00:00,Abra,1564.32,137.72,SE
2014-12-27 23:00:00,Abra,1526.0,138.13,SE
2014-12-28 02:00:00,Abra,1465.18,138.96,SE
2014-12-28 05:00:00,Abra,1420.23,139.78,SE
2014-12-28 08:00:00,Abra,1391.11,140.57,SE
2014-12-28 11:00:00,Abra,1371.14,141.67,SE
2014-12-28 14:00:00,Abra,1336.22,142.91,SE
2014-12-28 17:00:00,Abra,1308.14,143.81,SE
2014-12-28 20:00:00,Abra,1274.29,145.16,SE
2014-12-28 23:00:00,Abra,1237.65,145.88,SE
2014-12-29 02:00:00,Abra,1201.2,146.63,SSE
2014-12-29 05:00:00,Abra,1164.96,147.43,SSE
2014-12-29 08:00:00,Abra,1128.95,148.28,SSE
2014-12-29 11:00:00,Abra,1087.81,149.68,SSE
2014-12-29 14:00:00,Abra,1042.7,150.37,SSE
2014-12-29 17:00:00,Abra,1002.58,151.97,SSE
2014-12-29 20:00:00,Abra,978.03,153.4,SSE
2014-12-29 23:00:00,Abra,939.45,155.23,SSE
2014-12-30 02:00:00,Abra,912.19,157.47,SSE
2014-12-30 05:00:00,Abra,896.84,160.07,SSE
2014-12-30 08:00:00,Abra,883.33,162.77,SSE
2014-12-30 11:00:00,Abra,882.54,165.71,SSE
2014-12-30 14:00:00,Abra,888.41,167.26,SSE
2014-12-30 17:00:00,Abra,883.99,168.65,SSE
2014-12-30 20:00:00,Abra,892.91,169.48,S
2014-12-30 23:00:00,Abra,912.98,170.4,S
2014-12-31 02:00:00,Abra,933.27,171.29,S
2014-12-31 05:00:00,Abra,953.76,172.14,S
2014-12-31 08:00:00,Abra,983.16,174.31,S
2014-12-31 11:00:00,Abra,1013.84,176.36,S
2014-12-31 14:00:00,Abra,1045.42,178.89,S
2014-12-31 17:00:00,Abra,1078.85,181.28,S
2014-12-31 20:00:00,Abra,1112.87,182.38,S
2014-12-31 23:00:00,Abra,1148.73,184.52,S
2015-01-01 02:00:00,Abra,1173.81,186.06,S
2015-01-01 05:00:00,Abra,1199.67,187.54,S
2015-01-01 08:00:00,Abra,1215.27,189.03,S
2015-01-01 11:00:00,Abra,1229.75,189.97,S
2015-01-01 14:00:00,Abra,1244.54,190.9,S
2015-01-01 17:00:00,Abra,1266.53,193.28,SSW
2015-01-01 20:00:00,Abra,1290.54,195.58,SSW
2014-12-27 20:00:00,Agusan del Norte,547.94,112.98,ESE
2014-12-27 23:00:00,Agusan del Norte,508.76,112.18,ESE
2014-12-28 02:00:00,Agusan del Norte,445.11,110.96,ESE
2014-12-28 05:00:00,Agusan del Norte,395.97,110.3,ESE
2014-12-28 08:00:00,Agusan del Norte,361.12,110.51,ESE
2014-12-28 11:00:00,Agusan del Norte,330.46,112.56,ESE
2014-12-28 14:00:00,Agusan del Norte,285.64,113.95,ESE
2014-12-28 17:00:00,Agusan del Norte,250.97,114.74,ESE
2014-12-28 20:00:00,Agusan del Norte,206.54,117.11,ESE
2014-12-28 23:00:00,Agusan del Norte,167.06,115.53,ESE
