Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2016-08-31 02:00:00,Abra,434.98,34.73,NE
2016-08-31 05:00:00,Abra,490.81,39.14,NE
2016-08-31 08:00:00,Abra,512.77,40.12,NE
2016-08-31 11:00:00,Abra,548.99,42.61,NE
2016-08-31 14:00:00,Abra,601.33,44.7,NE
2016-08-31 17:00:00,Abra,669.46,46.32,NE
2016-08-31 20:00:00,Abra,760.35,46.85,NE
2016-08-31 23:00:00,Abra,828.32,46.88,NE
2016-09-01 02:00:00,Abra,895.86,45.91,NE
2016-09-01 05:00:00,Abra,955.98,45.55,NE
2016-09-01 08:00:00,Abra,1008.58,45.7,NE
2016-09-01 11:00:00,Abra,1076.42,46.53,NE
2016-09-01 14:00:00,Abra,1152.21,47.57,NE
2016-09-01 17:00:00,Abra,1220.36,48.17,NE
2016-09-01 20:00:00,Abra,1280.62,48.41,NE
2016-09-01 23:00:00,Abra,1324.99,48.07,NE
2016-09-02 02:00:00,Abra,1368.48,47.13,NE
2016-09-02 05:00:00,Abra,1404.6,45.97,NE
2016-09-02 08:00:00,Abra,1433.89,45.2,NE
2016-09-02 11:00:00,Abra,1463.43,43.87,NE
2016-09-02 14:00:00,Abra,1486.06,42.91,NE
2016-09-02 17:00:00,Abra,1509.08,41.98,NE
2016-09-02 20:00:00,Abra,1540.36,40.78,NE
2016-09-02 23:00:00,Abra,1557.45,39.65,NE
2016-09-03 02:00:00,Abra,1583.37,38.27,NE
2016-09-03 05:00:00,Abra,1603.85,36.67,NE
2016-09-03 08:00:00,Abra,1631.74,35.38,NE
2016-09-03 11:00:00,Abra,1660.44,34.14,NE
2016-09-03 14:00:00,Abra,1681.02,33.17,NNE
2016-09-03 17:00:00,Abra,1702.1,32.22,NNE
2016-09-03 20:00:00,Abra,1714.57,31.52,NNE
2016-09-03 23:00:00,Abra,1741.88,30.87,NNE
2016-09-04 02:00:00,Abra,1754.86,30.2,NNE
2016-09-04 05:00:00,Abra,1768.09,29.53,NNE
2016-09-04 08:00:00,Abra,1781.58,28.87,NNE
2016-09-04 11:00:00,Abra,1809.76,28.3,NNE
2016-09-04 14:00:00,Abra,1828.64,27.92,NNE
2016-09-04 17:00:00,Abra,1861.99,27.62,NNE
2016-09-04 20:00:00,Abra,1880.99,27.26,NNE
2016-09-04 23:00:00,Abra,1914.4,26.98,NNE
2016-09-05 00:00:00,Abra,1923.95,26.81,NNE
2016-09-05 02:00:00,Abra,1957.4,26.54,NNE
2016-09-05 05:00:00,Abra,2014.75,26.18,NNE
2016-09-05 08:00:00,Abra,2067.14,26.22,NNE
2016-09-05 11:00:00,Abra,2129.04,26.1,NNE
2016-09-05 14:00:00,Abra,2185.96,26.33,NNE
2016-09-05 17:00:00,Abra,2247.62,26.74,NNE
2016-09-05 20:00:00,Abra,2337.78,27.21,NNE
2016-08-31 02:00:00,Agusan del Norte,1345.3,348.65,NNW
2016-08-31 05:00:00,Agusan del Norte,1355.77,351.44,N
2016-08-31 08:00:00,Agusan del Norte,1363.68,352.38,N
2016-08-31 11:00:00,Agusan del Norte,1369.57,354.18,N
2016-08-31 14:00:00,Agusan del Norte,1387.23,356.42,N
2016-08-31 17:00:00,Agusan del Norte,1417.95,359.03,N
2016-08-31 20:00:00,Agusan del Norte,1474.19,1.9,N
2016-08-31 23:00:00,Agusan del Norte,1521.33,3.79,N
2016-09-01 02:00:00,Agusan del Norte,1580.16,5.14,N
2016-09-01 05:00:00,Agusan del Norte,1628.81,6.43,N
2016-09-01 08:00:00,Agusan del Norte,1667.28,7.7,N
2016-09-01 11:00:00,Agusan del Norte,1710.1,9.58,N
2016-09-01 14:00:00,Agusan del Norte,1756.97,11.68,NNE
2016-09-01 17:00:00,Agusan del Norte,1803.68,13.35,NNE
2016-09-01 20:00:00,Agusan del Norte,1849.14,14.62,NNE
2016-09-01 23:00:00,Agusan del Norte,1889.64,15.22,NNE
2016-09-02 02:00:00,Agusan del Norte,1938.02,15.42,NNE
2016-09-02 05:00:00,Agusan del Norte,1983.48,15.32,NNE
2016-09-02 08:00:00,Agusan del Norte,2018.3,15.31,NNE
2016-09-02 11:00:00,Agusan del Norte,2060.89,14.95,NNE
