Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2016-09-11 20:00:00,Abra,2794.81,98.38,E
2016-09-11 23:00:00,Abra,2726.14,98.28,E
2016-09-12 02:00:00,Abra,2639.4,98.53,E
2016-09-12 05:00:00,Abra,2542.23,98.86,E
2016-09-12 08:00:00,Abra,2466.06,99.07,E
2016-09-12 11:00:00,Abra,2400.39,99.22,E
2016-09-12 14:00:00,Abra,2321.4,99.18,E
2016-09-12 17:00:00,Abra,2266.24,99.26,E
2016-09-12 20:00:00,Abra,2187.36,99.2,E
2016-09-12 23:00:00,Abra,2119.01,99.05,E
2016-09-13 02:00:00,Abra,2040.28,98.97,E
2016-09-13 05:00:00,Abra,1964.31,99.19,E
2016-09-13 08:00:00,Abra,1896.14,99.01,E
2016-09-13 11:00:00,Abra,1830.69,99.15,E
2016-09-13 14:00:00,Abra,1775.73,99.22,E
2016-09-13 17:00:00,Abra,1707.73,99.0,E
2016-09-13 20:00:00,Abra,1642.36,99.14,E
2016-09-13 23:00:00,Abra,1587.48,99.2,E
2016-09-14 02:00:00,Abra,1519.64,98.94,E
2016-09-14 05:00:00,Abra,1451.92,98.64,E
2016-09-14 08:00:00,Abra,1373.84,98.4,E
2016-09-14 11:00:00,Abra,1306.36,98.03,E
2016-09-14 14:00:00,Abra,1249.54,97.51,E
2016-09-14 17:00:00,Abra,1192.91,96.94,E
2016-09-14 20:00:00,Abra,1136.5,96.31,E
2016-09-14 23:00:00,Abra,1069.77,95.68,E
2016-09-15 02:00:00,Abra,1003.29,94.97,E
2016-09-15 05:00:00,Abra,937.09,94.14,E
2016-09-15 08:00:00,Abra,872.39,93.89,E
2016-09-15 11:00:00,Abra,816.37,91.97,E
2016-09-15 14:00:00,Abra,761.28,88.91,E
2016-09-15 17:00:00,Abra,708.9,85.38,E
2016-09-15 20:00:00,Abra,649.38,81.19,E
2016-09-15 23:00:00,Abra,604.61,76.39,ENE
2016-09-16 02:00:00,Abra,558.52,69.44,ENE
2016-09-16 05:00:00,Abra,536.3,63.47,ENE
2016-09-16 08:00:00,Abra,511.7,56.45,ENE
2016-09-16 11:00:00,Abra,510.87,48.65,NE
2016-09-16 14:00:00,Abra,519.66,40.98,NE
2016-09-16 17:00:00,Abra,543.52,34.6,NE
2016-09-16 20:00:00,Abra,578.82,29.72,NNE
2016-09-16 23:00:00,Abra,607.95,25.91,NNE
2016-09-17 02:00:00,Abra,643.69,23.31,NNE
2016-09-17 05:00:00,Abra,701.34,20.31,NNE
2016-09-17 08:00:00,Abra,763.95,18.5,NNE
2016-09-17 11:00:00,Abra,824.16,16.29,NNE
2016-09-17 14:00:00,Abra,874.72,14.59,NNE
2016-09-17 17:00:00,Abra,915.19,13.24,NNE
2016-09-17 20:00:00,Abra,936.79,12.91,NNE
2016-09-17 23:00:00,Abra,958.41,12.59,NNE
2016-09-18 02:00:00,Abra,982.37,12.86,NNE
2016-09-18 05:00:00,Abra,1019.56,13.5,NNE
2016-09-18 08:00:00,Abra,1062.23,15.14,NNE
2016-09-18 11:00:00,Abra,1105.74,16.63,NNE
2016-09-18 14:00:00,Abra,1160.47,17.82,NNE
2016-09-18 17:00:00,Abra,1198.39,19.7,NNE
2016-09-18 20:00:00,Abra,1244.02,20.84,NNE
2016-09-18 23:00:00,Abra,1294.11,22.28,NNE
2016-09-19 02:00:00,Abra,1345.01,23.6,NNE
2016-09-19 05:00:00,Abra,1406.5,24.6,NNE
2016-09-19 08:00:00,Abra,1468.38,25.51,NNE
2016-09-19 11:00:00,Abra,1535.31,26.64,NNE
2016-09-19 14:00:00,Abra,1602.79,27.66,NNE
2016-09-19 17:00:00,Abra,1666.44,29.06,NNE
2016-09-19 20:00:00,Abra,1731.09,30.35,NNE
2016-09-19 23:00:00,Abra,1811.19,31.56,NNE
2016-09-20 02:00:00,Abra,1903.57,33.11,NNE
2016-09-20 05:00:00,Abra,2008.58,33.87,NE
2016-09-20 08:00:00,Abra,2125.79,34.91,NE
2016-09-20 10:00:00,Abra,2216.65,35.44,NE
2016-09-20 11:00:00,Abra,2266.23,35.59,NE
2016-09-20 12:00:00,Abra,2313.75,36.08,NE
2016-09-20 14:00:00,Abra,2410.97,36.65,NE
2016-09-20 16:00:00,Abra,2493.89,37.17,NE
2016-09-20 17:00:00,Abra,2521.07,37.44,NE
2016-09-20 20:00:00,Abra,2599.94,39.19,NE
2016-09-11 20:00:00,Agusan del Norte,2279.41,78.49,ENE
2016-09-11 23:00:00,Agusan del Norte,2218.06,77.68,ENE
2016-09-12 02:00:00,Agusan del Norte,2134.05,77.02,ENE
2016-09-12 05:00:00,Agusan del Norte,2039.76,76.25,ENE
2016-09-12 08:00:00,Agusan del Norte,1967.25,75.53,ENE
2016-09-12 11:00:00,Agusan del Norte,1905.76,74.81,ENE
2016-09-12 14:00:00,Agusan del Norte,1836.61,73.62,ENE
2016-09-12 17:00:00,Agusan del Norte,1786.65,72.86,ENE
2016-09-12 20:00:00,Agusan del Norte,1719.12,71.51,ENE
2016-09-12 23:00:00,Agusan del Norte,1663.09,70.16,ENE
2016-09-13 02:00:00,Agusan del Norte,1597.94,68.58,ENE
2016-09-13 05:00:00,Agusan del Norte,1530.37,67.27,ENE
2016-09-13 08:00:00,Agusan del Norte,1477.94,65.58,ENE
2016-09-13 11:00:00,Agusan del Norte,1422.55,64.17,ENE
2016-09-13 14:00:00,Agusan del Norte,1377.93,62.85,ENE
2016-09-13 17:00:00,Agusan del Norte,1329.56,60.79,ENE
2016-09-13 20:00:00,Agusan del Norte,1277.74,59.02,ENE
2016-09-13 23:00:00,Agusan del Norte,1236.59,57.35,ENE
2016-09-14 02:00:00,Agusan del Norte,1193.65,54.83,NE
2016-09-14 05:00:00,Agusan del Norte,1153.33,52.14,NE
2016-09-14 08:00:00,Agusan del Norte,1107.59,48.9,NE
2016-09-14 11:00:00,Agusan del Norte,1073.72,45.78,NE
2016-09-14 14:00:00,Agusan del Norte,1050.82,42.9,NE
2016-09-14 17:00:00,Agusan del Norte,1030.82,39.89,NE
2016-09-14 20:00:00,Agusan del Norte,1013.88,36.78,NE
2016-09-14 23:00:00,Agusan del Norte,994.12,33.06,NNE
2016-09-15 02:00:00,Agusan del Norte,978.85,29.21,NNE
2016-09-15 05:00:00,Agusan del Norte,968.29,25.26,NNE
2016-09-15 08:00:00,Agusan del Norte,952.27,21.5,NNE
2016-09-15 11:00:00,Agusan del Norte,965.08,17.81,NNE
2016-09-15 14:00:00,Agusan del Norte,992.65,14.08,NNE
2016-09-15 17:00:00,Agusan del Norte,1024.31,10.57,N
2016-09-15 20:00:00,Agusan del Norte,1058.35,6.73,N
2016-09-15 23:00:00,Agusan del Norte,1097.65,3.7,N
2016-09-16 02:00:00,Agusan del Norte,1150.89,0.37,N
2016-09-16 05:00:00,Agusan del Norte,1195.87,358.33,N
2016-09-16 08:00:00,Agusan del Norte,1243.03,355.98,N
2016-09-16 11:00:00,Agusan del Norte,1302.13,354.32,N
2016-09-16 14:00:00,Agusan del Norte,1362.26,352.82,N
2016-09-16 17:00:00,Agusan del Norte,1421.69,351.87,N
2016-09-16 20:00:00,Agusan del Norte,1479.82,351.4,N
2016-09-16 23:00:00,Agusan del Norte,1527.07,350.9,N
2016-09-17 02:00:00,Agusan del Norte,1572.65,350.8,N
2016-09-17 05:00:00,Agusan del Norte,1640.13,350.85,N
2016-09-17 08:00:00,Agusan del Norte,1705.9,351.24,N
2016-09-17 11:00:00,Agusan del Norte,1773.37,351.27,N
2016-09-17 14:00:00,Agusan del Norte,1829.87,351.25,N
2016-09-17 17:00:00,Agusan del Norte,1875.4,351.17,N
2016-09-17 20:00:00,Agusan del Norte,1897.33,351.29,N
2016-09-17 23:00:00,Agusan del Norte,1919.26,351.4,N
2016-09-18 02:00:00,Agusan del Norte,1939.61,351.8,N
2016-09-18 05:00:00,Agusan del Norte,1969.6,352.54,N
2016-09-18 08:00:00,Agusan del Norte,1997.45,353.82,N
2016-09-18 11:00:00,Agusan del Norte,2026.37,355.07,N
2016-09-18 14:00:00,Agusan del Norte,2067.39,356.3,N
2016-09-18 17:00:00,Agusan del Norte,2086.72,357.72,N
2016-09-18 20:00:00,Agusan del Norte,2118.74,358.84,N
2016-09-18 23:00:00,Agusan del Norte,2151.63,0.19,N
2016-09-19 02:00:00,Agusan del Norte,2185.79,1.49,N
2016-09-19 05:00:00,Agusan del Norte,2232.26,2.73,N
2016-09-19 08:00:00,Agusan del Norte,2279.82,3.91,N
2016-09-19 11:00:00,Agusan del Norte,2329.39,5.27,N
2016-09-19 14:00:00,Agusan del Norte,2380.37,6.57,N
2016-09-19 17:00:00,Agusan del Norte,2423.17,8.08,N
2016-09-19 20:00:00,Agusan del Norte,2467.78,9.52,N
2016-09-19 23:00:00,Agusan del Norte,2527.0,11.06,N
2016-09-20 02:00:00,Agusan del Norte,2593.02,12.93,NNE
2016-09-20 05:00:00,Agusan del Norte,2680.49,14.35,NNE
2016-09-20 08:00:00,Agusan del Norte,2775.66,16.03,NNE
2016-09-20 10:00:00,Agusan del Norte,2853.1,17.12,NNE
2016-09-20 11:00:00,Agusan del Norte,2897.41,17.59,NNE
2016-09-20 12:00:00,Agusan del Norte,2935.03,18.3,NNE
2016-09-20 14:00:00,Agusan del Norte,3018.28,19.4,NNE
2016-09-20 16:00:00,Agusan del Norte,3088.78,20.35,NNE
2016-09-20 17:00:00,Agusan del Norte,3110.42,20.74,NNE
2016-09-20 20:00:00,Agusan del Norte,3159.11,22.61,NNE
2016-09-11 20:00:00,Agusan del Sur,2245.94,77.41,ENE
2016-09-11 23:00:00,Agusan del Sur,2185.28,76.56,ENE
2016-09-12 02:00:00,Agusan del Sur,2101.83,75.84,ENE
2016-09-12 05:00:00,Agusan del Sur,2008.22,74.99,ENE
2016-09-12 08:00:00,Agusan del Sur,1936.36,74.2,ENE
2016-09-12 11:00:00,Agusan del Sur,1875.51,73.42,ENE
