Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2016-10-13 02:00:00,Abra,1208.29,117.23,ESE
2016-10-13 05:00:00,Abra,1173.03,116.33,ESE
2016-10-13 08:00:00,Abra,1133.81,116.14,ESE
2016-10-13 11:00:00,Abra,1094.64,115.93,ESE
2016-10-13 14:00:00,Abra,1060.78,116.24,ESE
2016-10-13 17:00:00,Abra,1012.13,116.3,ESE
2016-10-13 20:00:00,Abra,963.51,116.37,ESE
2016-10-13 23:00:00,Abra,920.28,117.04,ESE
2016-10-14 02:00:00,Abra,877.18,117.78,ESE
2016-10-14 05:00:00,Abra,839.92,119.24,ESE
2016-10-14 08:00:00,Abra,803.22,120.84,ESE
2016-10-14 11:00:00,Abra,776.1,122.13,ESE
2016-10-14 14:00:00,Abra,749.38,123.5,ESE
2016-10-14 17:00:00,Abra,731.8,124.48,SE
2016-10-14 20:00:00,Abra,699.13,125.3,SE
2016-10-14 23:00:00,Abra,673.44,126.95,SE
2016-10-15 02:00:00,Abra,632.91,128.58,SE
2016-10-15 05:00:00,Abra,593.83,128.93,SE
2016-10-15 08:00:00,Abra,554.01,130.92,SE
2016-10-15 11:00:00,Abra,515.14,131.49,SE
2016-10-15 14:00:00,Abra,476.34,132.13,SE
2016-10-15 17:00:00,Abra,422.35,134.9,SE
2016-10-15 20:00:00,Abra,376.71,137.21,SE
2016-10-15 23:00:00,Abra,309.8,141.89,SE
2016-10-16 02:00:00,Abra,246.0,149.01,SSE
2016-10-16 05:00:00,Abra,178.98,173.72,S
2016-10-16 08:00:00,Abra,173.36,206.21,SSW
2016-10-16 11:00:00,Abra,217.64,232.43,SW
2016-10-16 14:00:00,Abra,275.01,243.94,WSW
2016-10-16 17:00:00,Abra,319.36,250.04,WSW
2016-10-16 20:00:00,Abra,366.36,254.64,WSW
2016-10-16 23:00:00,Abra,456.67,259.4,W
2016-10-17 02:00:00,Abra,540.27,261.27,W
2016-10-17 05:00:00,Abra,612.05,263.55,W
2016-10-17 08:00:00,Abra,672.73,266.21,W
2016-10-17 11:00:00,Abra,735.24,267.57,W
2016-10-17 14:00:00,Abra,797.42,269.54,W
2016-10-17 17:00:00,Abra,839.37,270.44,W
2016-10-17 20:00:00,Abra,870.68,271.98,W
2016-10-17 23:00:00,Abra,913.08,273.41,W
2016-10-18 02:00:00,Abra,955.9,274.71,W
2016-10-18 05:00:00,Abra,1010.25,276.51,W
2016-10-18 08:00:00,Abra,1053.89,277.58,W
2016-10-18 11:00:00,Abra,1097.78,278.58,W
2016-10-18 14:00:00,Abra,1141.87,279.5,W
2016-10-18 17:00:00,Abra,1177.11,280.96,W
2016-10-18 20:00:00,Abra,1212.95,282.34,WNW
2016-10-18 23:00:00,Abra,1247.46,283.14,WNW
2016-10-19 02:00:00,Abra,1273.86,284.47,WNW
2016-10-19 05:00:00,Abra,1313.32,286.14,WNW
2016-10-19 08:00:00,Abra,1343.58,287.82,WNW
2016-10-19 11:00:00,Abra,1364.81,289.55,WNW
2016-10-19 14:00:00,Abra,1383.94,290.77,WNW
2016-10-19 17:00:00,Abra,1400.29,291.53,WNW
2016-10-19 20:00:00,Abra,1416.85,292.27,WNW
2016-10-19 23:00:00,Abra,1427.48,293.56,WNW
2016-10-20 02:00:00,Abra,1438.79,294.82,WNW
2016-10-20 05:00:00,Abra,1441.25,296.22,WNW
2016-10-20 08:00:00,Abra,1444.58,297.61,WNW
2016-10-20 11:00:00,Abra,1430.26,299.34,WNW
2016-10-20 14:00:00,Abra,1417.38,301.1,WNW
2016-10-13 02:00:00,Agusan del Norte,664.82,54.32,NE
2016-10-13 05:00:00,Agusan del Norte,667.2,50.9,NE
2016-10-13 08:00:00,Agusan del Norte,656.49,47.61,NE
2016-10-13 11:00:00,Agusan del Norte,648.06,44.22,NE
2016-10-13 14:00:00,Agusan del Norte,633.71,41.43,NE
2016-10-13 17:00:00,Agusan del Norte,622.93,37.09,NE
2016-10-13 20:00:00,Agusan del Norte,615.92,32.63,NNE
2016-10-13 23:00:00,Agusan del Norte,603.04,28.61,NNE
2016-10-14 02:00:00,Agusan del Norte,593.32,24.43,NNE
2016-10-14 05:00:00,Agusan del Norte,576.51,20.53,NNE
2016-10-14 08:00:00,Agusan del Norte,562.58,16.41,NNE
2016-10-14 11:00:00,Agusan del Norte,554.16,13.19,NNE
2016-10-14 14:00:00,Agusan del Norte,547.57,9.89,N
2016-10-14 17:00:00,Agusan del Norte,544.22,7.65,N
2016-10-14 20:00:00,Agusan del Norte,551.89,4.15,N
2016-10-14 23:00:00,Agusan del Norte,550.47,0.79,N
2016-10-15 02:00:00,Agusan del Norte,562.68,356.37,N
2016-10-15 05:00:00,Agusan del Norte,587.79,353.36,N
2016-10-15 08:00:00,Agusan del Norte,605.37,349.42,N
2016-10-15 11:00:00,Agusan del Norte,633.88,346.92,NNW
2016-10-15 14:00:00,Agusan del Norte,663.5,344.65,NNW
2016-10-15 17:00:00,Agusan del Norte,700.98,340.91,NNW
2016-10-15 20:00:00,Agusan del Norte,737.07,338.33,NNW
2016-10-15 23:00:00,Agusan del Norte,793.72,334.94,NNW
2016-10-16 02:00:00,Agusan del Norte,852.83,332.01,NNW
2016-10-16 05:00:00,Agusan del Norte,936.95,327.25,NNW
2016-10-16 08:00:00,Agusan del Norte,1011.26,323.41,NW
2016-10-16 11:00:00,Agusan del Norte,1089.61,320.13,NW
2016-10-16 14:00:00,Agusan del Norte,1148.34,317.69,NW
2016-10-16 17:00:00,Agusan del Norte,1193.74,316.21,NW
2016-10-16 20:00:00,Agusan del Norte,1239.91,314.85,NW
2016-10-16 23:00:00,Agusan del Norte,1318.91,312.35,NW
2016-10-17 02:00:00,Agusan del Norte,1385.04,310.06,NW
2016-10-17 05:00:00,Agusan del Norte,1451.22,308.59,NW
2016-10-17 08:00:00,Agusan del Norte,1515.99,307.84,NW
2016-10-17 11:00:00,Agusan del Norte,1574.73,306.83,NW
2016-10-17 14:00:00,Agusan del Norte,1640.05,306.22,NW
2016-10-17 17:00:00,Agusan del Norte,1681.67,305.74,NW
2016-10-17 20:00:00,Agusan del Norte,1720.44,305.79,NW
2016-10-17 23:00:00,Agusan del Norte,1768.1,305.65,NW
2016-10-18 02:00:00,Agusan del Norte,1815.74,305.52,NW
2016-10-18 05:00:00,Agusan del Norte,1878.19,305.53,NW
2016-10-18 08:00:00,Agusan del Norte,1925.75,305.42,NW
2016-10-18 11:00:00,Agusan del Norte,1973.28,305.33,NW
2016-10-18 14:00:00,Agusan del Norte,2020.77,305.24,NW
2016-10-18 17:00:00,Agusan del Norte,2065.08,305.58,NW
2016-10-18 20:00:00,Agusan del Norte,2109.38,305.91,NW
2016-10-18 23:00:00,Agusan del Norte,2147.79,305.97,NW
2016-10-19 02:00:00,Agusan del Norte,2183.2,306.44,NW
2016-10-19 05:00:00,Agusan del Norte,2233.45,306.99,NW
2016-10-19 08:00:00,Agusan del Norte,2275.07,307.66,NW
2016-10-19 11:00:00,Agusan del Norte,2308.29,308.46,NW
2016-10-19 14:00:00,Agusan del Norte,2335.57,309.01,NW
2016-10-19 17:00:00,Agusan del Norte,2356.67,309.33,NW
2016-10-19 20:00:00,Agusan del Norte,2377.82,309.63,NW
2016-10-19 23:00:00,Agusan del Norte,2397.04,310.3,NW
2016-10-20 02:00:00,Agusan del Norte,2416.55,310.96,NW
2016-10-20 05:00:00,Agusan del Norte,2428.14,311.76,NW
2016-10-20 08:00:00,Agusan del Norte,2440.2,312.55,NW
2016-10-20 11:00:00,Agusan del Norte,2436.77,313.64,NW
2016-10-20 14:00:00,Agusan del Norte,2434.29,314.73,NW
2016-10-13 02:00:00,Agusan del Sur,655.37,49.46,NE
2016-10-13 05:00:00,Agusan del Sur,661.17,46.03,NE
2016-10-13 08:00:00,Agusan del Sur,653.81,42.65,NE
2016-10-13 11:00:00,Agusan del Sur,648.81,39.21,NE
2016-10-13 14:00:00,Agusan del Sur,637.32,36.32,NE
2016-10-13 17:00:00,Agusan del Sur,630.91,31.95,NNE
2016-10-13 20:00:00,Agusan del Sur,628.29,27.52,NNE
2016-10-13 23:00:00,Agusan del Sur,619.34,23.5,NNE
2016-10-14 02:00:00,Agusan del Sur,613.58,19.38,NNE
2016-10-14 05:00:00,Agusan del Sur,600.4,15.49,NNE
2016-10-14 08:00:00,Agusan del Sur,590.15,11.45,NNE
2016-10-14 11:00:00,Agusan del Sur,584.48,8.33,N
2016-10-14 14:00:00,Agusan del Sur,580.61,5.16,N
2016-10-14 17:00:00,Agusan del Sur,579.04,3.03,N
2016-10-14 20:00:00,Agusan del Sur,589.34,359.82,N
2016-10-14 23:00:00,Agusan del Sur,590.35,356.67,N
2016-10-15 02:00:00,Agusan del Sur,605.52,352.65,N
2016-10-15 05:00:00,Agusan del Sur,632.47,350.0,N
2016-10-15 08:00:00,Agusan del Sur,652.34,346.44,NNW
2016-10-15 11:00:00,Agusan del Sur,682.17,344.25,NNW
2016-10-15 14:00:00,Agusan del Sur,712.93,342.25,NNW
2016-10-15 17:00:00,Agusan del Sur,752.15,338.88,NNW
