Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2017-11-07 20:00:00,Abra,1685.75,117.86,ESE
2017-11-07 23:00:00,Abra,1580.95,119.23,ESE
2017-11-08 02:00:00,Abra,1477.06,120.77,ESE
2017-11-08 05:00:00,Abra,1398.54,122.38,ESE
2017-11-08 08:00:00,Abra,1305.74,124.06,SE
2017-11-08 11:00:00,Abra,1229.58,126.08,SE
2017-11-08 14:00:00,Abra,1139.47,128.27,SE
2017-11-08 17:00:00,Abra,1058.72,131.25,SE
2017-11-08 20:00:00,Abra,972.81,133.33,SE
2017-11-08 23:00:00,Abra,888.34,135.78,SE
2017-11-09 02:00:00,Abra,804.35,137.6,SE
2017-11-09 05:00:00,Abra,730.03,140.38,SE
2017-11-09 08:00:00,Abra,666.82,144.3,SE
2017-11-09 11:00:00,Abra,597.64,148.45,SSE
2017-11-09 14:00:00,Abra,532.28,153.63,SSE
2017-11-09 17:00:00,Abra,482.77,160.58,SSE
2017-11-09 20:00:00,Abra,430.77,168.67,SSE
2017-11-09 23:00:00,Abra,389.67,177.1,S
2017-11-10 02:00:00,Abra,369.64,186.99,S
2017-11-10 05:00:00,Abra,350.83,198.18,SSW
2017-11-10 08:00:00,Abra,331.34,209.47,SSW
2017-11-10 11:00:00,Abra,310.28,221.46,SW
2017-11-10 14:00:00,Abra,304.1,234.54,SW
2017-11-10 17:00:00,Abra,303.9,246.65,WSW
2017-11-10 20:00:00,Abra,329.7,256.8,WSW
2017-11-10 23:00:00,Abra,366.9,261.8,W
2017-11-11 02:00:00,Abra,407.44,264.31,W
2017-11-11 05:00:00,Abra,447.21,269.21,W
2017-11-11 08:00:00,Abra,489.33,272.0,W
2017-11-11 11:00:00,Abra,542.49,273.13,W
2017-11-11 14:00:00,Abra,595.76,274.06,W
2017-11-11 17:00:00,Abra,627.48,273.95,W
2017-11-11 20:00:00,Abra,659.2,273.85,W
2017-11-11 23:00:00,Abra,701.26,272.82,W
