Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2018-06-13 20:00:00,Abra,570.85,321.73,NW
2018-06-13 23:00:00,Abra,545.57,325.1,NW
2018-06-14 02:00:00,Abra,545.57,325.1,NW
2018-06-14 05:00:00,Abra,528.0,327.83,NNW
2018-06-14 08:00:00,Abra,506.66,331.76,NNW
2018-06-14 11:00:00,Abra,498.12,336.55,NNW
2018-06-14 14:00:00,Abra,503.79,341.88,NNW
2018-06-14 17:00:00,Abra,516.3,345.93,NNW
2018-06-14 20:00:00,Abra,531.33,349.76,N
2018-06-14 23:00:00,Abra,548.65,353.36,N
2018-06-15 02:00:00,Abra,557.68,355.59,N
2018-06-15 05:00:00,Abra,568.06,356.71,N
2018-06-15 08:00:00,Abra,578.66,357.79,N
2018-06-15 11:00:00,Abra,590.68,3.81,N
2018-06-15 14:00:00,Abra,645.67,10.8,N
2018-06-15 17:00:00,Abra,736.34,17.58,NNE
2018-06-15 20:00:00,Abra,855.59,22.13,NNE
2018-06-15 23:00:00,Abra,935.64,24.75,NNE
2018-06-16 02:00:00,Abra,997.89,27.54,NNE
2018-06-16 05:00:00,Abra,1091.78,30.24,NNE
2018-06-16 08:00:00,Abra,1184.42,33.17,NNE
2018-06-16 11:00:00,Abra,1264.95,35.59,NE
2018-06-16 14:00:00,Abra,1332.7,37.68,NE
2018-06-16 17:00:00,Abra,1415.77,40.14,NE
2018-06-16 20:00:00,Abra,1487.18,41.76,NE
2018-06-16 23:00:00,Abra,1531.01,42.2,NE
2018-06-17 02:00:00,Abra,1575.43,42.06,NE
2018-06-17 05:00:00,Abra,1634.55,41.88,NE
2018-06-17 08:00:00,Abra,1685.9,41.98,NE
2018-06-17 11:00:00,Abra,1737.77,41.58,NE
2018-06-17 14:00:00,Abra,1797.34,40.93,NE
2018-06-17 17:00:00,Abra,1848.34,41.02,NE
2018-06-17 20:00:00,Abra,1899.27,41.1,NE
2018-06-17 23:00:00,Abra,1935.52,41.22,NE
2018-06-18 02:00:00,Abra,1986.33,41.28,NE
2018-06-18 05:00:00,Abra,2044.07,41.51,NE
2018-06-18 08:00:00,Abra,2108.84,41.9,NE
2018-06-18 11:00:00,Abra,2195.11,42.75,NE
2018-06-18 14:00:00,Abra,2289.14,43.68,NE
2018-06-18 17:00:00,Abra,2362.62,44.79,NE
2018-06-18 20:00:00,Abra,2443.76,45.61,NE
2018-06-18 23:00:00,Abra,2548.52,46.74,NE
2018-06-19 02:00:00,Abra,2674.46,47.46,NE
2018-06-19 05:00:00,Abra,2806.6,47.88,NE
2018-06-19 08:00:00,Abra,2936.42,47.94,NE
2018-06-19 11:00:00,Abra,3065.6,47.95,NE
2018-06-19 14:00:00,Abra,3180.6,48.02,NE
2018-06-19 17:00:00,Abra,3284.94,47.71,NE
2018-06-19 20:00:00,Abra,3385.5,47.83,NE
2018-06-19 23:00:00,Abra,3482.99,48.32,NE
2018-06-20 02:00:00,Abra,3559.71,48.8,NE
2018-06-20 05:00:00,Abra,3609.78,48.82,NE
2018-06-20 08:00:00,Abra,3653.96,48.36,NE
2018-06-20 11:00:00,Abra,3693.0,48.08,NE
2018-06-20 14:00:00,Abra,3724.11,47.73,NE
2018-06-20 17:00:00,Abra,3768.19,47.29,NE
2018-06-20 20:00:00,Abra,3812.23,46.85,NE
2018-06-20 23:00:00,Abra,3843.3,46.51,NE
2018-06-21 02:00:00,Abra,3874.37,46.18,NE
