Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2018-09-20 14:00:00,Abra,2836.76,98.14,E
2018-09-20 17:00:00,Abra,2786.3,97.7,E
2018-09-20 20:00:00,Abra,2746.59,97.18,E
2018-09-20 23:00:00,Abra,2704.6,96.4,E
2018-09-21 02:00:00,Abra,2663.15,95.61,E
2018-09-21 05:00:00,Abra,2611.72,94.83,E
2018-09-21 08:00:00,Abra,2562.95,94.28,E
2018-09-21 11:00:00,Abra,2516.51,93.96,E
2018-09-21 14:00:00,Abra,2468.28,93.37,E
2018-09-21 17:00:00,Abra,2411.63,93.06,E
2018-09-21 20:00:00,Abra,2355.12,92.73,E
2018-09-21 23:00:00,Abra,2300.45,92.66,E
2018-09-22 02:00:00,Abra,2244.18,92.3,E
2018-09-22 05:00:00,Abra,2166.89,92.0,E
2018-09-22 08:00:00,Abra,2100.37,91.63,E
2018-09-22 11:00:00,Abra,2022.14,90.95,E
2018-09-22 14:00:00,Abra,1945.53,90.54,E
2018-09-22 17:00:00,Abra,1879.75,90.06,E
2018-09-22 20:00:00,Abra,1815.16,89.89,E
2018-09-22 23:00:00,Abra,1730.37,90.13,E
2018-09-23 02:00:00,Abra,1656.18,90.35,E
2018-09-23 05:00:00,Abra,1591.65,90.15,E
2018-09-23 08:00:00,Abra,1538.66,90.31,E
2018-09-23 11:00:00,Abra,1495.4,90.01,E
2018-09-23 14:00:00,Abra,1440.93,89.27,E
2018-09-23 17:00:00,Abra,1397.93,88.92,E
2018-09-23 20:00:00,Abra,1344.44,88.55,E
2018-09-23 23:00:00,Abra,1279.94,87.17,E
2018-09-24 02:00:00,Abra,1227.03,85.63,E
2018-09-24 05:00:00,Abra,1174.79,84.5,E
2018-09-24 08:00:00,Abra,1133.69,83.29,E
2018-09-24 11:00:00,Abra,1082.73,81.94,E
2018-09-24 14:00:00,Abra,1043.01,80.52,E
2018-09-24 17:00:00,Abra,1004.09,78.98,E
2018-09-24 20:00:00,Abra,976.4,77.42,ENE
2018-09-24 23:00:00,Abra,949.54,75.77,ENE
2018-09-25 02:00:00,Abra,921.1,74.7,ENE
2018-09-25 05:00:00,Abra,900.67,74.41,ENE
2018-09-25 08:00:00,Abra,880.27,74.1,ENE
2018-09-25 11:00:00,Abra,893.06,73.56,ENE
2018-09-25 14:00:00,Abra,895.78,72.87,ENE
2018-09-25 17:00:00,Abra,908.72,72.35,ENE
2018-09-25 20:00:00,Abra,911.66,71.67,ENE
2018-09-25 23:00:00,Abra,917.91,70.33,ENE
2018-09-26 02:00:00,Abra,921.22,69.67,ENE
2018-09-26 05:00:00,Abra,928.19,68.36,ENE
2018-09-26 08:00:00,Abra,941.68,67.92,ENE
2018-09-26 11:00:00,Abra,959.01,66.87,ENE
2018-09-26 14:00:00,Abra,976.62,65.85,ENE
2018-09-26 17:00:00,Abra,980.72,65.24,ENE
2018-09-26 20:00:00,Abra,989.23,64.04,ENE
2018-09-26 23:00:00,Abra,993.64,63.45,ENE
2018-09-27 02:00:00,Abra,993.64,63.45,ENE
2018-09-27 05:00:00,Abra,998.16,62.86,ENE
2018-09-27 08:00:00,Abra,988.74,62.62,ENE
2018-09-27 11:00:00,Abra,993.4,62.03,ENE
2018-09-27 14:00:00,Abra,988.88,61.19,ENE
2018-09-27 17:00:00,Abra,984.58,60.34,ENE
2018-09-27 20:00:00,Abra,980.5,59.49,ENE
2018-09-27 23:00:00,Abra,973.06,57.75,ENE
2018-09-28 02:00:00,Abra,960.84,56.57,ENE
2018-09-28 05:00:00,Abra,955.02,54.78,NE
2018-09-28 08:00:00,Abra,935.43,53.18,NE
2018-09-28 11:00:00,Abra,929.93,50.41,NE
2018-09-28 14:00:00,Abra,934.6,48.01,NE
2018-09-28 17:00:00,Abra,948.44,45.14,NE
2018-09-28 20:00:00,Abra,956.78,42.83,NE
2018-09-28 23:00:00,Abra,974.89,40.13,NE
2018-09-29 02:00:00,Abra,1001.65,37.98,NE
2018-09-29 05:00:00,Abra,1036.03,36.38,NE
2018-09-29 08:00:00,Abra,1077.24,35.32,NE
2018-09-29 11:00:00,Abra,1133.66,34.4,NE
2018-09-29 14:00:00,Abra,1202.09,34.34,NE
2018-09-29 17:00:00,Abra,1288.25,33.66,NNE
2018-09-29 20:00:00,Abra,1386.04,33.71,NNE
2018-09-29 23:00:00,Abra,1477.74,33.42,NNE
2018-09-30 02:00:00,Abra,1560.35,33.38,NNE
2018-09-30 05:00:00,Abra,1663.32,33.63,NNE
2018-09-30 08:00:00,Abra,1771.99,34.07,NE
2018-09-30 11:00:00,Abra,1909.72,34.44,NE
2018-09-30 14:00:00,Abra,2053.08,34.91,NE
2018-09-30 17:00:00,Abra,2214.51,35.82,NE
2018-09-30 19:00:00,Abra,2332.59,36.6,NE
2018-09-30 20:00:00,Abra,2404.65,36.49,NE
2018-09-30 23:00:00,Abra,2643.22,37.01,NE
2018-10-01 02:00:00,Abra,2909.5,36.93,NE
2018-10-01 05:00:00,Abra,3182.82,36.02,NE
2018-10-01 08:00:00,Abra,3476.91,35.48,NE
2018-10-01 11:00:00,Abra,3772.82,36.11,NE
2018-10-01 14:00:00,Abra,4084.0,36.86,NE
2018-10-01 17:00:00,Abra,4410.88,37.09,NE
2018-10-01 20:00:00,Abra,4731.08,36.86,NE
2018-10-01 23:00:00,Abra,5001.43,36.61,NE
2018-10-02 02:00:00,Abra,5230.02,36.29,NE
2018-10-02 05:00:00,Abra,5423.77,35.84,NE
2018-10-02 08:00:00,Abra,5591.43,35.5,NE
2018-10-02 11:00:00,Abra,5745.22,35.19,NE
2018-10-02 14:00:00,Abra,5890.13,34.8,NE
2018-10-02 17:00:00,Abra,6018.45,34.18,NE
2018-10-02 20:00:00,Abra,6126.39,33.47,NNE
2018-10-02 23:00:00,Abra,6187.3,33.08,NNE
2018-10-03 02:00:00,Abra,6224.6,32.59,NNE
2018-10-03 05:00:00,Abra,6225.39,32.2,NNE
2018-10-03 08:00:00,Abra,6223.85,32.06,NNE
2018-10-03 11:00:00,Abra,6222.93,32.45,NNE
2018-10-03 14:00:00,Abra,6249.17,33.2,NNE
2018-10-03 17:00:00,Abra,6339.19,34.3,NE
2018-10-03 20:00:00,Abra,6477.48,35.24,NE
2018-10-03 23:00:00,Abra,6628.62,35.76,NE
2018-10-04 02:00:00,Abra,6782.18,35.87,NE
2018-09-20 14:00:00,Agusan del Norte,2322.48,78.64,ENE
2018-09-20 17:00:00,Agusan del Norte,2284.09,77.64,ENE
2018-09-20 20:00:00,Agusan del Norte,2257.14,76.67,ENE
2018-09-20 23:00:00,Agusan del Norte,2232.94,75.38,ENE
2018-09-21 02:00:00,Agusan del Norte,2209.92,74.06,ENE
2018-09-21 05:00:00,Agusan del Norte,2177.62,72.65,ENE
2018-09-21 08:00:00,Agusan del Norte,2143.91,71.49,ENE
2018-09-21 11:00:00,Agusan del Norte,2108.15,70.6,ENE
2018-09-21 14:00:00,Agusan del Norte,2076.18,69.37,ENE
2018-09-21 17:00:00,Agusan del Norte,2031.62,68.31,ENE
2018-09-21 20:00:00,Agusan del Norte,1987.87,67.2,ENE
2018-09-21 23:00:00,Agusan del Norte,1941.13,66.36,ENE
2018-09-22 02:00:00,Agusan del Norte,1898.93,65.15,ENE
2018-09-22 05:00:00,Agusan del Norte,1837.99,63.63,ENE
2018-09-22 08:00:00,Agusan del Norte,1788.31,62.15,ENE
2018-09-22 11:00:00,Agusan del Norte,1735.44,60.09,ENE
2018-09-22 14:00:00,Agusan del Norte,1679.78,58.24,ENE
2018-09-22 17:00:00,Agusan del Norte,1635.31,56.46,ENE
2018-09-22 20:00:00,Agusan del Norte,1586.67,54.92,NE
2018-09-22 23:00:00,Agusan del Norte,1515.53,53.18,NE
2018-09-23 02:00:00,Agusan del Norte,1454.65,51.51,NE
2018-09-23 05:00:00,Agusan del Norte,1410.46,49.6,NE
2018-09-23 08:00:00,Agusan del Norte,1369.07,48.21,NE
2018-09-23 11:00:00,Agusan del Norte,1343.92,46.67,NE
2018-09-23 14:00:00,Agusan del Norte,1319.72,44.41,NE
2018-09-23 17:00:00,Agusan del Norte,1297.22,42.75,NE
2018-09-23 20:00:00,Agusan del Norte,1268.73,40.68,NE
2018-09-23 23:00:00,Agusan del Norte,1252.43,37.48,NE
2018-09-24 02:00:00,Agusan del Norte,1246.53,34.6,NE
2018-09-24 05:00:00,Agusan del Norte,1234.63,32.0,NNE
2018-09-24 08:00:00,Agusan del Norte,1230.87,29.77,NNE
2018-09-24 11:00:00,Agusan del Norte,1224.02,27.11,NNE
2018-09-24 14:00:00,Agusan del Norte,1224.55,24.86,NNE
2018-09-24 17:00:00,Agusan del Norte,1227.03,22.63,NNE
2018-09-24 20:00:00,Agusan del Norte,1235.33,20.87,NNE
2018-09-24 23:00:00,Agusan del Norte,1244.82,19.13,NNE
2018-09-25 02:00:00,Agusan del Norte,1244.94,17.58,NNE
2018-09-25 05:00:00,Agusan del Norte,1238.47,16.66,NNE
2018-09-25 08:00:00,Agusan del Norte,1232.35,15.72,NNE
2018-09-25 11:00:00,Agusan del Norte,1246.01,16.04,NNE
2018-09-25 14:00:00,Agusan del Norte,1256.65,15.89,NNE
2018-09-25 17:00:00,Agusan del Norte,1270.33,16.2,NNE
2018-09-25 20:00:00,Agusan del Norte,1280.96,16.06,NNE
2018-09-25 23:00:00,Agusan del Norte,1302.26,15.77,NNE
2018-09-26 02:00:00,Agusan del Norte,1312.92,15.63,NNE
2018-09-26 05:00:00,Agusan del Norte,1334.26,15.36,NNE
2018-09-26 08:00:00,Agusan del Norte,1347.86,15.65,NNE
