Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2018-10-21 02:00:00,Abra,4465.58,98.11,E
2018-10-21 05:00:00,Abra,4413.13,98.34,E
2018-10-21 08:00:00,Abra,4350.23,98.63,E
2018-10-21 11:00:00,Abra,4294.45,98.72,E
2018-10-21 14:00:00,Abra,4242.09,98.96,E
2018-10-21 17:00:00,Abra,4186.34,99.05,E
2018-10-21 20:00:00,Abra,4144.48,99.25,E
2018-10-21 23:00:00,Abra,4099.21,99.3,E
2018-10-22 02:00:00,Abra,4040.08,99.23,E
2018-10-22 05:00:00,Abra,3980.99,99.16,E
2018-10-22 08:00:00,Abra,3921.93,99.09,E
2018-10-22 11:00:00,Abra,3866.8,98.63,E
2018-10-22 14:00:00,Abra,3801.45,98.21,E
2018-10-22 17:00:00,Abra,3736.38,97.77,E
2018-10-22 20:00:00,Abra,3664.12,97.54,E
2018-10-22 23:00:00,Abra,3592.0,97.3,E
2018-10-23 02:00:00,Abra,3522.97,97.24,E
2018-10-23 05:00:00,Abra,3461.6,96.93,E
2018-10-23 08:00:00,Abra,3395.59,97.04,E
2018-10-23 11:00:00,Abra,3337.26,96.91,E
2018-10-23 14:00:00,Abra,3281.81,96.96,E
2018-10-23 17:00:00,Abra,3229.22,97.22,E
2018-10-23 20:00:00,Abra,3170.96,97.08,E
2018-10-23 23:00:00,Abra,3131.08,96.62,E
2018-10-24 02:00:00,Abra,3080.9,96.2,E
2018-10-24 05:00:00,Abra,3030.94,95.76,E
2018-10-24 08:00:00,Abra,2970.67,95.36,E
2018-10-24 11:00:00,Abra,2910.65,94.94,E
2018-10-24 14:00:00,Abra,2859.19,94.23,E
2018-10-24 17:00:00,Abra,2810.36,93.72,E
2018-10-24 20:00:00,Abra,2749.26,93.0,E
2018-10-24 23:00:00,Abra,2701.16,92.45,E
2018-10-25 02:00:00,Abra,2642.8,91.92,E
2018-10-25 05:00:00,Abra,2574.19,91.39,E
2018-10-25 08:00:00,Abra,2507.46,91.09,E
2018-10-25 11:00:00,Abra,2452.96,91.0,E
