Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-11-10 02:00:00,Abra,1684.45,100.38,E
2019-11-10 05:00:00,Abra,1666.48,100.94,E
2019-11-10 08:00:00,Abra,1659.02,101.41,ESE
2019-11-10 11:00:00,Abra,1651.66,101.89,ESE
2019-11-10 14:00:00,Abra,1644.4,102.37,ESE
2019-11-10 17:00:00,Abra,1637.25,102.86,ESE
2019-11-10 20:00:00,Abra,1619.89,103.46,ESE
2019-11-10 23:00:00,Abra,1612.96,103.96,ESE
2019-11-11 02:00:00,Abra,1595.88,104.58,ESE
2019-11-11 05:00:00,Abra,1578.96,105.22,ESE
2019-11-11 08:00:00,Abra,1558.52,105.48,ESE
2019-11-11 11:00:00,Abra,1531.66,106.28,ESE
2019-11-11 14:00:00,Abra,1494.93,107.25,ESE
2019-11-11 17:00:00,Abra,1466.94,109.09,ESE
2019-11-11 20:00:00,Abra,1454.8,111.22,ESE
2019-11-11 23:00:00,Abra,1449.35,112.78,ESE
2019-11-12 02:00:00,Abra,1439.82,113.97,ESE
2019-11-12 05:00:00,Abra,1425.64,114.77,ESE
2019-11-12 08:00:00,Abra,1402.16,115.8,ESE
2019-11-12 11:00:00,Abra,1377.73,115.83,ESE
2019-11-12 14:00:00,Abra,1349.19,116.5,ESE
2019-11-12 17:00:00,Abra,1315.3,116.78,ESE
2019-11-12 20:00:00,Abra,1272.02,117.31,ESE
2019-11-12 23:00:00,Abra,1219.49,118.14,ESE
2019-11-13 02:00:00,Abra,1176.5,118.76,ESE
2019-11-13 05:00:00,Abra,1118.56,119.22,ESE
2019-11-13 08:00:00,Abra,1069.94,119.42,ESE
2019-11-13 11:00:00,Abra,1021.35,119.64,ESE
2019-11-13 14:00:00,Abra,987.89,120.08,ESE
2019-11-13 17:00:00,Abra,978.73,120.42,ESE
2019-11-13 20:00:00,Abra,963.63,120.21,ESE
2019-11-13 23:00:00,Abra,939.38,120.34,ESE
2019-11-14 02:00:00,Abra,900.06,120.25,ESE
2019-11-14 05:00:00,Abra,858.49,118.5,ESE
2019-11-14 08:00:00,Abra,797.91,115.53,ESE
2019-11-14 11:00:00,Abra,758.94,113.29,ESE
2019-11-14 14:00:00,Abra,721.31,110.8,ESE
2019-11-14 17:00:00,Abra,689.08,108.92,ESE
2019-11-14 20:00:00,Abra,661.33,107.77,ESE
2019-11-14 23:00:00,Abra,644.07,106.22,ESE
2019-11-15 02:00:00,Abra,620.32,105.85,ESE
2019-11-15 05:00:00,Abra,603.73,104.13,ESE
2019-11-15 08:00:00,Abra,587.72,102.32,ESE
2019-11-15 11:00:00,Abra,574.76,101.5,ESE
2019-11-15 14:00:00,Abra,587.72,102.32,ESE
2019-11-15 17:00:00,Abra,587.72,102.32,ESE
2019-11-15 20:00:00,Abra,598.08,102.08,ESE
2019-11-15 23:00:00,Abra,608.45,101.84,ESE
2019-11-16 02:00:00,Abra,611.14,102.86,ESE
2019-11-16 05:00:00,Abra,611.14,102.86,ESE
2019-11-16 08:00:00,Abra,617.08,104.86,ESE
2019-11-16 11:00:00,Abra,610.13,106.15,ESE
2019-11-16 14:00:00,Abra,613.61,107.14,ESE
2019-11-16 17:00:00,Abra,603.49,107.46,ESE
2019-11-16 20:00:00,Abra,593.39,107.8,ESE
2019-11-16 23:00:00,Abra,583.31,108.15,ESE
2019-11-17 02:00:00,Abra,563.21,108.88,ESE
2019-11-17 05:00:00,Abra,539.3,108.56,ESE
2019-11-17 08:00:00,Abra,515.43,108.21,ESE
2019-11-17 11:00:00,Abra,488.07,106.58,ESE
2019-11-17 14:00:00,Abra,461.18,104.76,ESE
2019-11-17 17:00:00,Abra,424.52,103.06,ESE
2019-11-17 20:00:00,Abra,390.84,102.62,ESE
2019-11-17 23:00:00,Abra,365.29,100.02,E
2019-11-18 02:00:00,Abra,340.65,97.02,E
2019-11-18 05:00:00,Abra,317.12,93.57,E
2019-11-18 08:00:00,Abra,295.26,91.74,E
2019-11-18 11:00:00,Abra,285.08,85.12,E
2019-11-18 14:00:00,Abra,268.62,77.68,ENE
2019-11-18 17:00:00,Abra,271.08,67.97,ENE
2019-11-18 20:00:00,Abra,275.61,60.69,ENE
2019-11-18 23:00:00,Abra,269.42,54.38,NE
2019-11-19 02:00:00,Abra,267.61,51.14,NE
2019-11-19 05:00:00,Abra,266.69,47.86,NE
2019-11-19 08:00:00,Abra,266.69,47.86,NE
2019-11-19 11:00:00,Abra,274.19,46.12,NE
2019-11-19 14:00:00,Abra,281.92,47.58,NE
2019-11-19 17:00:00,Abra,281.92,47.58,NE
2019-11-19 20:00:00,Abra,274.19,46.12,NE
2019-11-19 23:00:00,Abra,244.26,50.13,NE
2019-11-20 02:00:00,Abra,195.0,58.88,ENE
2019-11-20 05:00:00,Abra,153.03,72.89,ENE
2019-11-20 08:00:00,Abra,106.59,101.89,ESE
2019-11-20 11:00:00,Abra,106.39,136.92,SE
2019-11-20 14:00:00,Abra,123.85,170.94,S
2019-11-20 17:00:00,Abra,179.41,187.43,S
2019-11-20 20:00:00,Abra,242.59,195.82,SSW
2019-11-20 23:00:00,Abra,308.81,200.72,SSW
2019-11-21 02:00:00,Abra,370.86,206.13,SSW
2019-11-21 05:00:00,Abra,425.6,210.73,SSW
2019-11-21 08:00:00,Abra,482.43,214.28,SW
2019-11-21 11:00:00,Abra,538.35,218.73,SW
2019-11-21 14:00:00,Abra,598.24,220.86,SW
2019-11-21 17:00:00,Abra,658.82,222.62,SW
2019-11-21 20:00:00,Abra,728.11,223.5,SW
2019-11-21 23:00:00,Abra,789.46,224.79,SW
2019-11-22 02:00:00,Abra,859.15,225.38,SW
2019-11-22 05:00:00,Abra,928.96,225.9,SW
2019-11-22 08:00:00,Abra,998.87,226.36,SW
2019-11-22 11:00:00,Abra,1068.88,226.77,SW
2019-11-22 14:00:00,Abra,1146.78,227.52,SW
2019-11-22 17:00:00,Abra,1232.79,228.54,SW
2019-11-22 20:00:00,Abra,1319.17,229.44,SW
2019-11-10 02:00:00,Agusan del Norte,1285.7,61.46,ENE
2019-11-10 05:00:00,Agusan del Norte,1261.45,61.48,ENE
2019-11-10 08:00:00,Agusan del Norte,1246.86,61.72,ENE
2019-11-10 11:00:00,Agusan del Norte,1232.27,61.96,ENE
2019-11-10 14:00:00,Agusan del Norte,1217.71,62.21,ENE
2019-11-10 17:00:00,Agusan del Norte,1203.16,62.47,ENE
2019-11-10 20:00:00,Agusan del Norte,1178.87,62.5,ENE
2019-11-10 23:00:00,Agusan del Norte,1164.34,62.76,ENE
2019-11-11 02:00:00,Agusan del Norte,1140.04,62.8,ENE
2019-11-11 05:00:00,Agusan del Norte,1115.73,62.84,ENE
2019-11-11 08:00:00,Agusan del Norte,1096.22,62.36,ENE
2019-11-11 11:00:00,Agusan del Norte,1062.18,62.13,ENE
2019-11-11 14:00:00,Agusan del Norte,1018.47,61.61,ENE
2019-11-11 17:00:00,Agusan del Norte,964.8,62.22,ENE
2019-11-11 20:00:00,Agusan del Norte,916.27,63.82,ENE
2019-11-11 23:00:00,Agusan del Norte,882.81,65.19,ENE
2019-11-12 02:00:00,Agusan del Norte,854.08,65.98,ENE
2019-11-12 05:00:00,Agusan del Norte,829.72,66.11,ENE
2019-11-12 08:00:00,Agusan del Norte,795.31,65.94,ENE
2019-11-12 11:00:00,Agusan del Norte,779.8,64.57,ENE
2019-11-12 14:00:00,Agusan del Norte,750.17,63.54,ENE
2019-11-12 17:00:00,Agusan del Norte,725.85,61.64,ENE
2019-11-12 20:00:00,Agusan del Norte,692.95,59.16,ENE
2019-11-12 23:00:00,Agusan del Norte,652.4,55.93,NE
2019-11-13 02:00:00,Agusan del Norte,623.0,52.88,NE
2019-11-13 05:00:00,Agusan del Norte,594.53,48.04,NE
