Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-11-17 20:00:00,Abra,2595.23,104.36,ESE
2019-11-17 23:00:00,Abra,2505.5,104.57,ESE
2019-11-18 02:00:00,Abra,2415.82,104.79,ESE
2019-11-18 05:00:00,Abra,2336.46,104.93,ESE
2019-11-18 08:00:00,Abra,2232.85,104.99,ESE
2019-11-18 11:00:00,Abra,2133.14,105.33,ESE
2019-11-18 14:00:00,Abra,2029.7,105.39,ESE
2019-11-18 17:00:00,Abra,1944.22,105.97,ESE
2019-11-18 20:00:00,Abra,1844.81,106.38,ESE
2019-11-18 23:00:00,Abra,1749.51,107.17,ESE
2019-11-19 02:00:00,Abra,1640.32,107.82,ESE
2019-11-19 05:00:00,Abra,1531.35,108.53,ESE
2019-11-19 08:00:00,Abra,1416.98,109.93,ESE
2019-11-19 11:00:00,Abra,1309.88,109.81,ESE
2019-11-19 14:00:00,Abra,1212.93,109.45,ESE
2019-11-19 17:00:00,Abra,1122.2,108.28,ESE
2019-11-19 20:00:00,Abra,1046.12,107.26,ESE
2019-11-19 23:00:00,Abra,984.33,106.49,ESE
2019-11-20 02:00:00,Abra,933.05,105.4,ESE
2019-11-20 05:00:00,Abra,879.16,103.49,ESE
2019-11-20 08:00:00,Abra,823.97,100.56,E
2019-11-20 11:00:00,Abra,756.14,94.85,E
2019-11-20 14:00:00,Abra,708.18,88.09,E
2019-11-20 17:00:00,Abra,647.07,83.15,E
2019-11-20 20:00:00,Abra,592.09,77.23,ENE
2019-11-20 23:00:00,Abra,565.01,70.86,ENE
2019-11-21 02:00:00,Abra,550.9,65.44,ENE
2019-11-21 05:00:00,Abra,536.81,60.84,ENE
2019-11-21 08:00:00,Abra,520.56,57.06,ENE
2019-11-21 11:00:00,Abra,506.81,53.06,NE
2019-11-21 14:00:00,Abra,510.87,48.65,NE
2019-11-21 17:00:00,Abra,525.42,45.13,NE
2019-11-21 20:00:00,Abra,557.07,41.82,NE
2019-11-21 23:00:00,Abra,581.91,39.57,NE
2019-11-22 02:00:00,Abra,622.69,37.61,NE
2019-11-22 05:00:00,Abra,685.42,36.7,NE
2019-11-22 08:00:00,Abra,739.42,36.45,NE
2019-11-22 11:00:00,Abra,789.98,34.55,NE
2019-11-22 14:00:00,Abra,837.98,33.88,NE
2019-11-22 17:00:00,Abra,880.25,32.73,NNE
2019-11-22 20:00:00,Abra,922.82,31.68,NNE
2019-11-22 23:00:00,Abra,941.46,30.94,NNE
2019-11-23 02:00:00,Abra,960.25,30.22,NNE
2019-11-23 05:00:00,Abra,975.03,30.37,NNE
2019-11-23 08:00:00,Abra,989.8,30.53,NNE
2019-11-23 11:00:00,Abra,989.8,30.53,NNE
2019-11-23 14:00:00,Abra,1004.58,30.67,NNE
2019-11-23 17:00:00,Abra,1028.74,30.48,NNE
2019-11-23 20:00:00,Abra,1071.77,29.65,NNE
2019-11-23 23:00:00,Abra,1182.79,25.83,NNE
2019-11-24 02:00:00,Abra,1308.28,22.47,NNE
2019-11-24 05:00:00,Abra,1417.81,21.31,NNE
2019-11-24 08:00:00,Abra,1494.43,21.65,NNE
2019-11-24 11:00:00,Abra,1520.58,22.82,NNE
2019-11-24 14:00:00,Abra,1574.17,25.83,NNE
2019-11-24 17:00:00,Abra,1707.32,30.5,NNE
2019-11-24 20:00:00,Abra,1865.85,34.41,NE
2019-11-24 23:00:00,Abra,1977.66,36.82,NE
2019-11-25 02:00:00,Abra,2073.17,38.35,NE
2019-11-25 05:00:00,Abra,2192.47,39.47,NE
2019-11-25 08:00:00,Abra,2333.72,40.55,NE
2019-11-17 20:00:00,Agusan del Norte,1988.29,83.2,E
2019-11-17 23:00:00,Agusan del Norte,1902.74,82.35,E
2019-11-18 02:00:00,Agusan del Norte,1817.75,81.41,E
2019-11-18 05:00:00,Agusan del Norte,1744.25,80.42,E
2019-11-18 08:00:00,Agusan del Norte,1651.44,78.84,E
2019-11-18 11:00:00,Agusan del Norte,1558.25,77.48,ENE
2019-11-18 14:00:00,Agusan del Norte,1468.51,75.51,ENE
2019-11-18 17:00:00,Agusan del Norte,1386.12,74.3,ENE
2019-11-18 20:00:00,Agusan del Norte,1296.99,72.31,ENE
2019-11-18 23:00:00,Agusan del Norte,1206.43,70.54,ENE
2019-11-19 02:00:00,Agusan del Norte,1111.0,67.74,ENE
2019-11-19 05:00:00,Agusan del Norte,1018.97,64.41,ENE
2019-11-19 08:00:00,Agusan del Norte,916.55,60.71,ENE
2019-11-19 11:00:00,Agusan del Norte,855.56,54.99,NE
2019-11-19 14:00:00,Agusan del Norte,812.95,48.96,NE
2019-11-19 17:00:00,Agusan del Norte,796.03,42.37,NE
2019-11-19 20:00:00,Agusan del Norte,787.89,36.71,NE
2019-11-19 23:00:00,Agusan del Norte,784.1,32.09,NNE
2019-11-20 02:00:00,Agusan del Norte,790.68,28.15,NNE
2019-11-20 05:00:00,Agusan del Norte,811.11,23.97,NNE
2019-11-20 08:00:00,Agusan del Norte,846.15,19.75,NNE
2019-11-20 11:00:00,Agusan del Norte,914.69,14.67,NNE
2019-11-20 14:00:00,Agusan del Norte,991.58,10.94,N
2019-11-20 17:00:00,Agusan del Norte,1036.28,6.88,N
2019-11-20 20:00:00,Agusan del Norte,1085.89,3.18,N
2019-11-20 23:00:00,Agusan del Norte,1139.9,0.9,N
2019-11-21 02:00:00,Agusan del Norte,1184.31,359.34,N
2019-11-21 05:00:00,Agusan del Norte,1218.46,357.87,N
2019-11-21 08:00:00,Agusan del Norte,1242.3,356.46,N
2019-11-21 11:00:00,Agusan del Norte,1266.9,355.1,N
2019-11-21 14:00:00,Agusan del Norte,1302.13,354.32,N
2019-11-21 17:00:00,Agusan del Norte,1336.41,354.02,N
2019-11-21 20:00:00,Agusan del Norte,1380.62,354.23,N
