Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2019-12-19 20:00:00,Abra,3628.71,109.02,ESE
2019-12-19 23:00:00,Abra,3568.36,109.91,ESE
2019-12-20 02:00:00,Abra,3508.66,110.41,ESE
2019-12-20 05:00:00,Abra,3454.17,111.1,ESE
2019-12-20 08:00:00,Abra,3385.1,111.72,ESE
2019-12-20 11:00:00,Abra,3320.97,112.09,ESE
2019-12-20 14:00:00,Abra,3252.39,112.75,ESE
2019-12-20 17:00:00,Abra,3178.82,113.26,ESE
2019-12-20 20:00:00,Abra,3110.84,113.96,ESE
2019-12-20 23:00:00,Abra,3043.24,114.7,ESE
2019-12-21 02:00:00,Abra,2981.66,115.66,ESE
2019-12-21 05:00:00,Abra,2924.5,116.34,ESE
2019-12-21 08:00:00,Abra,2861.87,116.85,ESE
2019-12-21 11:00:00,Abra,2808.86,117.26,ESE
2019-12-21 14:00:00,Abra,2744.22,117.27,ESE
2019-12-21 17:00:00,Abra,2666.67,117.76,ESE
2019-12-21 20:00:00,Abra,2592.7,117.91,ESE
2019-12-21 23:00:00,Abra,2528.13,117.94,ESE
2019-12-22 02:00:00,Abra,2463.59,117.97,ESE
2019-12-22 05:00:00,Abra,2404.99,118.22,ESE
2019-12-22 08:00:00,Abra,2340.5,118.25,ESE
2019-12-22 11:00:00,Abra,2266.7,118.44,ESE
2019-12-22 14:00:00,Abra,2187.01,118.38,ESE
2019-12-22 17:00:00,Abra,2107.38,118.31,ESE
2019-12-22 20:00:00,Abra,2012.6,118.13,ESE
2019-12-22 23:00:00,Abra,1929.65,118.49,ESE
2019-12-23 02:00:00,Abra,1837.53,119.07,ESE
2019-12-23 05:00:00,Abra,1754.84,119.5,ESE
2019-12-23 08:00:00,Abra,1660.11,120.7,ESE
2019-12-23 11:00:00,Abra,1568.8,121.48,ESE
2019-12-23 14:00:00,Abra,1484.23,122.68,ESE
2019-12-23 17:00:00,Abra,1417.95,123.49,ESE
2019-12-23 20:00:00,Abra,1351.96,124.38,SE
2019-12-23 23:00:00,Abra,1284.55,126.03,SE
2019-12-24 02:00:00,Abra,1218.22,127.86,SE
2019-12-24 05:00:00,Abra,1160.62,130.3,SE
2019-12-24 08:00:00,Abra,1089.58,132.97,SE
2019-12-24 11:00:00,Abra,1029.27,136.41,SE
2019-12-24 14:00:00,Abra,962.46,138.91,SE
2019-12-24 17:00:00,Abra,897.64,141.76,SE
2019-12-24 20:00:00,Abra,829.23,145.66,SE
2019-12-24 23:00:00,Abra,765.13,150.22,SSE
2019-12-25 02:00:00,Abra,721.07,155.1,SSE
2019-12-25 05:00:00,Abra,690.05,158.86,SSE
2019-12-25 08:00:00,Abra,672.81,163.21,SSE
2019-12-25 11:00:00,Abra,635.53,168.3,SSE
2019-12-25 14:00:00,Abra,604.92,172.94,S
2019-12-25 17:00:00,Abra,578.28,179.11,S
2019-12-25 20:00:00,Abra,558.74,185.77,S
2019-12-25 23:00:00,Abra,555.67,191.47,SSW
2019-12-26 02:00:00,Abra,552.11,195.01,SSW
2019-12-26 05:00:00,Abra,543.62,200.03,SSW
2019-12-26 08:00:00,Abra,545.09,203.65,SSW
2019-12-26 11:00:00,Abra,548.66,207.23,SSW
2019-12-26 14:00:00,Abra,544.7,211.34,SSW
2019-12-26 17:00:00,Abra,537.4,214.54,SW
2019-12-26 20:00:00,Abra,516.41,217.6,SW
2019-12-26 23:00:00,Abra,512.43,221.02,SW
2019-12-27 02:00:00,Abra,510.26,224.49,SW
2019-12-27 05:00:00,Abra,509.92,227.97,SW
2019-12-27 08:00:00,Abra,510.44,229.71,SW
2019-12-27 11:00:00,Abra,512.85,233.17,SW
2019-12-27 14:00:00,Abra,529.97,234.6,SW
2019-12-27 17:00:00,Abra,547.39,235.94,SW
2019-12-27 20:00:00,Abra,565.09,237.2,WSW
2019-12-27 23:00:00,Abra,589.14,237.48,WSW
2019-12-28 02:00:00,Abra,616.2,239.15,WSW
2019-12-28 05:00:00,Abra,646.31,238.5,WSW
2019-12-28 08:00:00,Abra,682.84,240.47,WSW
2019-12-28 11:00:00,Abra,734.9,241.9,WSW
2019-12-28 14:00:00,Abra,801.17,244.59,WSW
2019-12-28 17:00:00,Abra,849.37,246.27,WSW
2019-12-28 20:00:00,Abra,888.36,247.48,WSW
2019-12-28 23:00:00,Abra,937.56,248.86,WSW
2019-12-29 02:00:00,Abra,973.03,250.47,WSW
2019-12-29 05:00:00,Abra,993.04,250.94,WSW
2019-12-29 08:00:00,Abra,1019.24,252.19,WSW
2019-12-29 11:00:00,Abra,1029.34,252.4,WSW
2019-12-29 14:00:00,Abra,1063.48,252.44,WSW
2019-12-19 20:00:00,Agusan del Norte,2887.96,97.0,E
2019-12-19 23:00:00,Agusan del Norte,2815.76,97.75,E
2019-12-20 02:00:00,Agusan del Norte,2750.48,98.01,E
2019-12-20 05:00:00,Agusan del Norte,2687.42,98.53,E
2019-12-20 08:00:00,Agusan del Norte,2611.42,98.88,E
2019-12-20 11:00:00,Agusan del Norte,2544.05,98.94,E
2019-12-20 14:00:00,Agusan del Norte,2468.14,99.31,E
2019-12-20 17:00:00,Agusan del Norte,2389.96,99.44,E
2019-12-20 20:00:00,Agusan del Norte,2314.16,99.84,E
2019-12-20 23:00:00,Agusan del Norte,2238.45,100.28,E
2019-12-21 02:00:00,Agusan del Norte,2165.39,101.03,E
