Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2020-05-08 14:00:00,Abra,1869.74,127.42,SE
2020-05-08 17:00:00,Abra,1860.22,128.14,SE
2020-05-08 20:00:00,Abra,1859.24,128.62,SE
2020-05-08 23:00:00,Abra,1841.98,129.58,SE
2020-05-09 02:00:00,Abra,1833.26,130.31,SE
2020-05-09 05:00:00,Abra,1832.82,130.81,SE
2020-05-09 08:00:00,Abra,1816.83,131.29,SE
2020-05-09 11:00:00,Abra,1808.88,131.54,SE
2020-05-09 14:00:00,Abra,1785.29,131.78,SE
2020-05-09 17:00:00,Abra,1753.95,131.76,SE
2020-05-09 20:00:00,Abra,1738.29,131.75,SE
2020-05-09 23:00:00,Abra,1714.73,132.0,SE
2020-05-10 02:00:00,Abra,1683.4,131.99,SE
2020-05-10 05:00:00,Abra,1659.88,132.25,SE
2020-05-10 08:00:00,Abra,1620.73,132.52,SE
2020-05-10 11:00:00,Abra,1581.62,132.79,SE
2020-05-10 14:00:00,Abra,1550.49,133.37,SE
2020-05-10 17:00:00,Abra,1527.15,133.68,SE
2020-05-10 20:00:00,Abra,1495.86,133.69,SE
2020-05-10 23:00:00,Abra,1472.57,134.01,SE
2020-05-11 02:00:00,Abra,1449.32,134.33,SE
2020-05-11 05:00:00,Abra,1434.24,134.97,SE
2020-05-11 08:00:00,Abra,1418.61,134.99,SE
2020-05-11 11:00:00,Abra,1395.5,135.34,SE
2020-05-11 14:00:00,Abra,1371.71,135.05,SE
2020-05-11 17:00:00,Abra,1348.62,135.42,SE
2020-05-11 20:00:00,Abra,1324.84,135.11,SE
2020-05-11 23:00:00,Abra,1308.64,134.44,SE
2020-05-12 02:00:00,Abra,1284.68,133.41,SE
2020-05-12 05:00:00,Abra,1261.14,132.34,SE
2020-05-12 08:00:00,Abra,1246.04,130.88,SE
2020-05-12 11:00:00,Abra,1239.93,129.05,SE
2020-05-12 14:00:00,Abra,1211.1,127.46,SE
2020-05-12 17:00:00,Abra,1205.56,126.31,SE
2020-05-12 20:00:00,Abra,1176.42,125.36,SE
2020-05-12 23:00:00,Abra,1154.27,124.81,SE
2020-05-13 02:00:00,Abra,1132.25,124.24,SE
2020-05-13 05:00:00,Abra,1108.13,124.45,SE
2020-05-13 08:00:00,Abra,1092.77,124.32,SE
2020-05-13 11:00:00,Abra,1075.33,125.01,SE
2020-05-13 14:00:00,Abra,1042.64,125.61,SE
2020-05-13 17:00:00,Abra,1018.63,125.86,SE
2020-05-13 20:00:00,Abra,984.61,127.41,SE
2020-05-13 23:00:00,Abra,944.08,128.56,SE
2020-05-14 02:00:00,Abra,911.34,130.34,SE
2020-05-14 05:00:00,Abra,887.21,132.76,SE
2020-05-14 08:00:00,Abra,856.59,134.79,SE
2020-05-14 11:00:00,Abra,827.07,136.97,SE
2020-05-14 14:00:00,Abra,783.28,139.41,SE
2020-05-14 17:00:00,Abra,756.41,141.96,SE
2020-05-14 20:00:00,Abra,721.93,144.19,SE
2020-05-14 23:00:00,Abra,679.24,146.12,SE
2020-05-15 02:00:00,Abra,641.55,149.66,SSE
2020-05-15 05:00:00,Abra,586.54,152.66,SSE
2020-05-15 08:00:00,Abra,527.66,154.69,SSE
2020-05-15 11:00:00,Abra,494.27,157.02,SSE
2020-05-15 14:00:00,Abra,437.22,160.02,SSE
2020-05-15 17:00:00,Abra,374.17,161.83,SSE
2020-05-15 20:00:00,Abra,308.95,166.25,SSE
2020-05-15 23:00:00,Abra,239.12,167.5,SSE
2020-05-16 02:00:00,Abra,167.03,176.96,S
2020-05-16 05:00:00,Abra,91.89,194.56,SSW
2020-05-16 08:00:00,Abra,55.93,258.61,WSW
2020-05-16 11:00:00,Abra,85.77,310.5,NW
2020-05-16 14:00:00,Abra,125.54,322.97,NW
2020-05-16 17:00:00,Abra,143.88,328.34,NNW
2020-05-16 20:00:00,Abra,187.76,332.79,NNW
2020-05-16 23:00:00,Abra,228.15,337.95,NNW
2020-05-17 02:00:00,Abra,277.33,344.32,NNW
2020-05-17 05:00:00,Abra,309.55,346.02,NNW
2020-05-17 08:00:00,Abra,337.98,350.83,N
2020-05-17 11:00:00,Abra,378.26,358.16,N
2020-05-17 14:00:00,Abra,414.52,6.94,N
2020-05-17 17:00:00,Abra,456.54,12.87,NNE
2020-05-17 20:00:00,Abra,481.61,18.57,NNE
2020-05-17 23:00:00,Abra,521.21,23.13,NNE
2020-05-18 02:00:00,Abra,563.71,27.02,NNE
2020-05-18 05:00:00,Abra,613.91,31.14,NNE
2020-05-18 08:00:00,Abra,681.92,34.76,NE
2020-05-18 11:00:00,Abra,821.13,37.43,NE
2020-05-18 14:00:00,Abra,1004.98,40.13,NE
2020-05-08 14:00:00,Agusan del Norte,957.52,102.47,ESE
2020-05-08 17:00:00,Agusan del Norte,938.83,103.46,ESE
2020-05-08 20:00:00,Agusan del Norte,931.04,104.29,ESE
2020-05-08 23:00:00,Agusan del Norte,902.27,105.54,ESE
2020-05-09 02:00:00,Agusan del Norte,884.43,106.64,ESE
2020-05-09 05:00:00,Agusan del Norte,877.39,107.55,ESE
2020-05-09 08:00:00,Agusan del Norte,856.48,108.02,ESE
2020-05-09 11:00:00,Agusan del Norte,846.04,108.27,ESE
2020-05-09 14:00:00,Agusan del Norte,821.52,108.04,ESE
2020-05-09 17:00:00,Agusan del Norte,793.52,107.04,ESE
2020-05-09 20:00:00,Agusan del Norte,779.62,106.51,ESE
2020-05-09 23:00:00,Agusan del Norte,755.24,106.21,ESE
2020-05-10 02:00:00,Agusan del Norte,727.75,105.04,ESE
