Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2020-10-25 14:00:00,Abra,2626.05,104.11,ESE
2020-10-25 17:00:00,Abra,2600.93,103.25,ESE
2020-10-25 20:00:00,Abra,2566.03,102.45,ESE
2020-10-25 23:00:00,Abra,2528.04,102.19,ESE
2020-10-26 02:00:00,Abra,2476.4,101.76,ESE
2020-10-26 05:00:00,Abra,2432.14,100.97,E
2020-10-26 08:00:00,Abra,2385.37,99.89,E
2020-10-26 11:00:00,Abra,2339.52,98.77,E
2020-10-26 14:00:00,Abra,2305.15,97.54,E
2020-10-26 17:00:00,Abra,2276.62,96.83,E
2020-10-26 20:00:00,Abra,2284.75,96.49,E
2020-10-26 23:00:00,Abra,2280.1,95.93,E
2020-10-27 02:00:00,Abra,2284.05,95.04,E
2020-10-27 05:00:00,Abra,2267.34,94.25,E
2020-10-27 08:00:00,Abra,2251.07,93.44,E
2020-10-27 11:00:00,Abra,2245.82,92.59,E
2020-10-27 14:00:00,Abra,2231.99,92.05,E
2020-10-27 17:00:00,Abra,2207.76,91.55,E
2020-10-27 20:00:00,Abra,2173.14,91.07,E
2020-10-27 23:00:00,Abra,2150.61,90.84,E
2020-10-28 02:00:00,Abra,2129.41,90.91,E
2020-10-28 05:00:00,Abra,2106.93,90.67,E
2020-10-28 08:00:00,Abra,2075.13,90.78,E
2020-10-28 11:00:00,Abra,2052.7,90.53,E
2020-10-28 14:00:00,Abra,2020.91,90.63,E
2020-10-28 17:00:00,Abra,1978.51,90.77,E
2020-10-28 20:00:00,Abra,1924.34,90.6,E
2020-10-28 23:00:00,Abra,1881.94,90.74,E
2020-10-29 02:00:00,Abra,1839.55,90.88,E
2020-10-29 05:00:00,Abra,1786.57,91.06,E
2020-10-29 08:00:00,Abra,1733.58,91.24,E
2020-10-29 11:00:00,Abra,1670.0,91.47,E
2020-10-29 14:00:00,Abra,1615.87,91.28,E
2020-10-29 17:00:00,Abra,1552.3,91.51,E
2020-10-29 20:00:00,Abra,1489.91,92.19,E
2020-10-29 23:00:00,Abra,1427.66,92.92,E
2020-10-30 02:00:00,Abra,1365.56,93.71,E
2020-10-30 05:00:00,Abra,1335.34,94.36,E
2020-10-30 08:00:00,Abra,1293.07,94.63,E
2020-10-30 11:00:00,Abra,1238.69,94.46,E
2020-10-30 14:00:00,Abra,1175.31,94.89,E
2020-10-30 17:00:00,Abra,1134.73,95.75,E
2020-10-30 20:00:00,Abra,1106.8,97.15,E
2020-10-30 23:00:00,Abra,1056.33,98.25,E
2020-10-31 02:00:00,Abra,1006.21,99.46,E
2020-10-31 05:00:00,Abra,961.85,102.08,ESE
2020-10-31 08:00:00,Abra,909.24,105.15,ESE
2020-10-31 11:00:00,Abra,859.26,108.56,ESE
2020-10-31 14:00:00,Abra,812.43,112.38,ESE
2020-10-31 17:00:00,Abra,778.84,116.26,ESE
2020-10-31 20:00:00,Abra,733.87,120.17,ESE
2020-10-31 23:00:00,Abra,690.5,125.84,SE
2020-11-01 02:00:00,Abra,638.9,132.13,SE
2020-11-01 05:00:00,Abra,594.42,137.92,SE
2020-11-01 08:00:00,Abra,556.69,144.56,SE
2020-11-01 11:00:00,Abra,502.46,151.97,SSE
2020-11-01 14:00:00,Abra,465.59,158.43,SSE
2020-11-01 17:00:00,Abra,424.65,165.52,SSE
2020-11-01 20:00:00,Abra,394.15,170.82,S
2020-11-01 23:00:00,Abra,367.16,181.97,S
2020-11-02 02:00:00,Abra,355.59,194.33,SSW
2020-11-02 05:00:00,Abra,366.32,204.61,SSW
2020-11-02 08:00:00,Abra,381.96,212.69,SSW
2020-11-02 11:00:00,Abra,388.97,219.81,SW
2020-11-02 14:00:00,Abra,401.62,226.59,SW
2020-11-02 17:00:00,Abra,443.15,233.45,SW
2020-11-02 20:00:00,Abra,486.79,237.31,WSW
2020-11-02 23:00:00,Abra,522.99,239.93,WSW
2020-11-03 02:00:00,Abra,556.33,240.68,WSW
2020-11-03 05:00:00,Abra,599.08,241.86,WSW
2020-11-03 08:00:00,Abra,623.25,241.94,WSW
2020-11-03 11:00:00,Abra,647.44,242.02,WSW
2020-11-03 14:00:00,Abra,662.28,241.64,WSW
2020-11-03 17:00:00,Abra,681.02,242.55,WSW
