Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2021-08-07 08:00:00,Abra,7889.25,87.76,E
2021-08-07 11:00:00,Abra,7843.82,87.77,E
2021-08-07 14:00:00,Abra,7801.45,87.88,E
2021-08-07 17:00:00,Abra,7769.68,87.97,E
2021-08-07 20:00:00,Abra,7731.8,87.85,E
2021-08-07 23:00:00,Abra,7698.52,87.5,E
2021-08-08 02:00:00,Abra,7665.35,87.14,E
2021-08-08 05:00:00,Abra,7632.31,86.79,E
2021-08-08 08:00:00,Abra,7581.17,86.59,E
2021-08-08 11:00:00,Abra,7522.43,86.52,E
2021-08-08 14:00:00,Abra,7453.17,86.48,E
2021-08-08 17:00:00,Abra,7376.24,86.57,E
2021-08-08 20:00:00,Abra,7302.17,86.76,E
2021-08-08 23:00:00,Abra,7256.99,86.77,E
2021-08-09 02:00:00,Abra,7230.15,86.61,E
2021-08-09 05:00:00,Abra,7219.57,86.64,E
2021-08-09 08:00:00,Abra,7171.61,86.53,E
2021-08-09 11:00:00,Abra,7051.95,86.27,E
2021-08-09 14:00:00,Abra,6922.03,86.02,E
2021-08-09 17:00:00,Abra,6853.25,85.96,E
2021-08-09 20:00:00,Abra,6779.23,86.14,E
2021-08-09 23:00:00,Abra,6636.49,86.27,E
2021-08-10 02:00:00,Abra,6506.96,86.47,E
2021-08-10 05:00:00,Abra,6440.91,86.52,E
2021-08-10 08:00:00,Abra,6409.17,86.6,E
2021-08-10 11:00:00,Abra,6366.85,86.71,E
2021-08-10 14:00:00,Abra,6324.52,86.81,E
2021-08-10 17:00:00,Abra,6282.18,86.92,E
2021-08-10 20:00:00,Abra,6250.43,87.0,E
2021-08-10 23:00:00,Abra,6218.68,87.08,E
2021-08-11 02:00:00,Abra,6184.39,87.04,E
2021-08-11 05:00:00,Abra,6139.54,87.03,E
2021-08-11 08:00:00,Abra,6086.61,87.17,E
2021-08-11 11:00:00,Abra,6054.85,87.25,E
2021-08-11 14:00:00,Abra,6020.6,87.21,E
2021-08-11 17:00:00,Abra,5980.74,87.44,E
2021-08-11 20:00:00,Abra,5951.47,87.64,E
2021-08-11 23:00:00,Abra,5909.1,87.75,E
2021-08-12 02:00:00,Abra,5864.25,87.74,E
2021-08-12 05:00:00,Abra,5819.42,87.72,E
2021-08-12 08:00:00,Abra,5764.01,87.74,E
2021-08-12 11:00:00,Abra,5698.04,87.78,E
2021-08-12 14:00:00,Abra,5632.08,87.81,E
2021-08-12 17:00:00,Abra,5557.93,88.0,E
2021-08-12 20:00:00,Abra,5483.78,88.2,E
2021-08-12 23:00:00,Abra,5441.41,88.31,E
2021-08-13 02:00:00,Abra,5388.43,88.45,E
2021-08-13 05:00:00,Abra,5293.07,88.7,E
2021-08-13 08:00:00,Abra,5208.3,88.93,E
2021-08-13 11:00:00,Abra,5136.49,89.26,E
2021-08-13 14:00:00,Abra,5083.5,89.41,E
2021-08-13 17:00:00,Abra,4998.71,89.65,E
2021-08-13 20:00:00,Abra,4911.55,89.74,E
2021-08-13 23:00:00,Abra,4839.73,90.1,E
2021-08-14 02:00:00,Abra,4778.53,90.42,E
2021-08-14 05:00:00,Abra,4691.35,90.53,E
2021-08-14 08:00:00,Abra,4606.56,90.78,E
2021-08-14 11:00:00,Abra,4532.38,91.0,E
2021-08-14 14:00:00,Abra,4458.2,91.23,E
2021-08-14 17:00:00,Abra,4386.44,91.61,E
2021-08-14 20:00:00,Abra,4309.86,91.69,E
2021-08-14 23:00:00,Abra,4227.54,92.12,E
2021-08-15 02:00:00,Abra,4132.22,92.44,E
2021-08-15 05:00:00,Abra,4023.89,92.64,E
2021-08-15 08:00:00,Abra,3936.77,92.76,E
2021-08-15 11:00:00,Abra,3860.25,92.85,E
2021-08-15 14:00:00,Abra,3802.54,92.69,E
2021-08-15 17:00:00,Abra,3728.44,92.95,E
2021-08-15 20:00:00,Abra,3654.35,93.22,E
2021-08-15 23:00:00,Abra,3586.13,93.08,E
2021-08-16 02:00:00,Abra,3505.14,92.8,E
2021-08-16 05:00:00,Abra,3426.56,92.68,E
2021-08-16 08:00:00,Abra,3339.66,92.79,E
2021-08-16 11:00:00,Abra,3242.2,92.94,E
2021-08-16 14:00:00,Abra,3146.95,93.3,E
2021-08-16 17:00:00,Abra,3072.89,93.59,E
2021-08-16 20:00:00,Abra,2988.28,93.92,E
2021-08-16 23:00:00,Abra,2895.42,94.54,E
2021-08-17 02:00:00,Abra,2794.54,95.47,E
2021-08-17 05:00:00,Abra,2723.17,96.06,E
2021-08-17 08:00:00,Abra,2667.66,97.1,E
2021-08-17 11:00:00,Abra,2580.9,97.32,E
2021-08-17 14:00:00,Abra,2496.85,97.8,E
2021-08-17 17:00:00,Abra,2412.89,98.3,E
2021-08-17 20:00:00,Abra,2326.27,98.56,E
2021-08-17 23:00:00,Abra,2236.96,98.56,E
2021-08-18 02:00:00,Abra,2158.21,98.47,E
2021-08-18 05:00:00,Abra,2079.53,98.37,E
2021-08-18 08:00:00,Abra,2011.42,98.18,E
2021-08-18 11:00:00,Abra,1966.91,98.15,E
2021-08-18 14:00:00,Abra,1932.92,98.05,E
2021-08-18 17:00:00,Abra,1886.01,97.68,E
2021-08-18 20:00:00,Abra,1857.99,96.8,E
2021-08-18 23:00:00,Abra,1828.41,95.56,E
2021-08-19 02:00:00,Abra,1768.05,94.44,E
2021-08-19 05:00:00,Abra,1666.23,93.44,E
2021-08-19 08:00:00,Abra,1574.65,91.84,E
2021-08-19 11:00:00,Abra,1484.8,90.04,E
2021-08-19 14:00:00,Abra,1408.01,88.44,E
2021-08-19 17:00:00,Abra,1343.69,87.6,E
2021-08-19 20:00:00,Abra,1300.98,86.66,E
2021-08-19 23:00:00,Abra,1248.17,85.64,E
2021-08-20 02:00:00,Abra,1206.44,84.55,E
2021-08-20 05:00:00,Abra,1175.8,83.41,E
2021-08-20 08:00:00,Abra,1134.4,82.73,E
2021-08-20 11:00:00,Abra,1093.23,81.99,E
2021-08-20 14:00:00,Abra,1040.76,81.74,E
2021-08-20 17:00:00,Abra,1011.66,80.32,E
2021-08-20 20:00:00,Abra,984.96,78.16,ENE
2021-08-20 23:00:00,Abra,970.1,76.02,ENE
2021-08-21 02:00:00,Abra,962.09,72.51,ENE
2021-08-21 05:00:00,Abra,931.86,67.71,ENE
2021-08-21 08:00:00,Abra,904.31,61.7,ENE
2021-08-21 11:00:00,Abra,888.3,57.94,ENE
2021-08-21 14:00:00,Abra,879.01,55.04,NE
2021-08-21 17:00:00,Abra,878.65,51.5,NE
2021-08-21 20:00:00,Abra,889.68,48.4,NE
2021-08-21 23:00:00,Abra,888.28,45.47,NE
2021-08-22 02:00:00,Abra,889.32,42.54,NE
2021-08-22 05:00:00,Abra,894.47,38.66,NE
2021-08-22 08:00:00,Abra,918.81,34.95,NE
2021-08-22 11:00:00,Abra,943.3,32.34,NNE
2021-08-22 14:00:00,Abra,964.47,29.36,NNE
2021-08-22 17:00:00,Abra,993.03,27.03,NNE
2021-08-22 20:00:00,Abra,1037.61,25.06,NNE
2021-08-22 23:00:00,Abra,1079.19,22.78,NNE
2021-08-23 02:00:00,Abra,1150.55,21.17,NNE
2021-08-23 05:00:00,Abra,1244.02,20.84,NNE
2021-08-23 08:00:00,Abra,1358.02,20.17,NNE
2021-08-23 11:00:00,Abra,1475.45,18.71,NNE
2021-08-23 14:00:00,Abra,1607.27,17.66,NNE
2021-08-23 17:00:00,Abra,1738.35,17.75,NNE
2021-08-23 20:00:00,Abra,1896.35,19.0,NNE
2021-08-23 23:00:00,Abra,2072.4,20.34,NNE
2021-08-24 02:00:00,Abra,2232.94,21.84,NNE
2021-08-24 05:00:00,Abra,2362.54,22.73,NNE
2021-08-24 08:00:00,Abra,2464.49,23.36,NNE
2021-08-24 11:00:00,Abra,2558.03,23.56,NNE
2021-08-24 14:00:00,Abra,2633.23,23.51,NNE
2021-08-24 17:00:00,Abra,2694.38,23.41,NNE
2021-08-24 20:00:00,Abra,2763.86,23.62,NNE
2021-08-24 23:00:00,Abra,2832.34,24.23,NNE
2021-08-25 02:00:00,Abra,2910.05,25.09,NNE
2021-08-25 05:00:00,Abra,2965.29,25.99,NNE
2021-08-25 08:00:00,Abra,3021.42,26.85,NNE
2021-08-25 11:00:00,Abra,3077.6,27.27,NNE
2021-08-25 14:00:00,Abra,3133.93,27.67,NNE
2021-08-25 17:00:00,Abra,3194.31,27.8,NNE
2021-08-25 20:00:00,Abra,3268.39,27.91,NNE
2021-08-25 23:00:00,Abra,3323.54,27.88,NNE
2021-08-26 02:00:00,Abra,3401.08,27.73,NNE
2021-08-26 05:00:00,Abra,3501.85,27.77,NNE
2021-08-26 08:00:00,Abra,3612.07,27.99,NNE
2021-08-26 11:00:00,Abra,3718.4,28.38,NNE
2021-08-26 14:00:00,Abra,3816.22,28.83,NNE
2021-08-26 17:00:00,Abra,3893.48,28.88,NNE
2021-08-26 20:00:00,Abra,3957.11,28.93,NNE
2021-08-26 23:00:00,Abra,4030.84,29.15,NNE
2021-08-27 02:00:00,Abra,4109.64,29.42,NNE
2021-08-27 05:00:00,Abra,4146.39,29.97,NNE
2021-08-27 08:00:00,Abra,4186.12,30.32,NNE
2021-08-27 11:00:00,Abra,4213.03,30.7,NNE
2021-08-27 14:00:00,Abra,4251.2,31.22,NNE
2021-08-27 17:00:00,Abra,4338.15,31.91,NNE
2021-08-27 20:00:00,Abra,4438.79,32.5,NNE
2021-08-27 23:00:00,Abra,4505.52,32.65,NNE
2021-08-28 02:00:00,Abra,4578.97,32.68,NNE
2021-08-28 05:00:00,Abra,4663.53,32.8,NNE
2021-08-28 08:00:00,Abra,4747.75,32.9,NNE
2021-08-28 11:00:00,Abra,4807.78,32.94,NNE
2021-08-28 14:00:00,Abra,4861.15,33.08,NNE
2021-08-28 17:00:00,Abra,4896.51,33.23,NNE
2021-08-28 20:00:00,Abra,4938.19,33.25,NNE
2021-08-28 23:00:00,Abra,4961.5,33.45,NNE
2021-08-29 02:00:00,Abra,4996.93,33.58,NNE
2021-08-29 05:00:00,Abra,5032.39,33.71,NNE
2021-08-29 08:00:00,Abra,5061.96,33.78,NE
2021-08-29 11:00:00,Abra,5073.76,33.88,NE
2021-08-29 14:00:00,Abra,5097.43,33.9,NE
2021-08-29 17:00:00,Abra,5127.08,34.13,NE
2021-08-29 20:00:00,Abra,5168.88,34.45,NE
2021-08-29 23:00:00,Abra,5198.94,34.67,NE
2021-08-30 02:00:00,Abra,5241.29,34.97,NE
2021-08-30 05:00:00,Abra,5290.9,35.46,NE
2021-08-30 08:00:00,Abra,5358.9,35.89,NE
2021-08-30 11:00:00,Abra,5403.83,36.32,NE
2021-08-30 14:00:00,Abra,5443.09,36.7,NE
2021-08-30 17:00:00,Abra,5525.87,37.16,NE
2021-08-30 20:00:00,Abra,5633.24,37.56,NE
2021-08-30 23:00:00,Abra,5725.84,37.72,NE
2021-08-31 02:00:00,Abra,5818.32,37.86,NE
2021-08-31 05:00:00,Abra,5913.48,38.12,NE
2021-08-31 08:00:00,Abra,6002.32,38.33,NE
2021-08-31 11:00:00,Abra,6084.73,38.49,NE
2021-08-31 14:00:00,Abra,6167.22,38.64,NE
2021-08-31 17:00:00,Abra,6263.03,38.8,NE
2021-08-31 20:00:00,Abra,6365.59,38.96,NE
2021-08-07 08:00:00,Agusan del Norte,7414.01,85.42,E
2021-08-07 11:00:00,Agusan del Norte,7368.97,85.36,E
2021-08-07 14:00:00,Agusan del Norte,7325.18,85.41,E
2021-08-07 17:00:00,Agusan del Norte,7292.33,85.45,E
2021-08-07 20:00:00,Agusan del Norte,7257.05,85.26,E
2021-08-07 23:00:00,Agusan del Norte,7230.43,84.85,E
2021-08-08 02:00:00,Agusan del Norte,7203.98,84.43,E
2021-08-08 05:00:00,Agusan del Norte,7177.71,84.01,E
2021-08-08 08:00:00,Agusan del Norte,7130.83,83.72,E
