Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2022-08-27 08:00:00,Abra,3116.11,76.73,ENE
2022-08-27 11:00:00,Abra,3148.98,76.13,ENE
2022-08-27 14:00:00,Abra,3182.79,75.33,ENE
2022-08-27 17:00:00,Abra,3206.73,74.53,ENE
2022-08-27 20:00:00,Abra,3219.85,73.93,ENE
2022-08-27 23:00:00,Abra,3223.08,73.31,ENE
2022-08-28 02:00:00,Abra,3206.37,72.65,ENE
2022-08-28 05:00:00,Abra,3195.92,71.16,ENE
2022-08-28 08:00:00,Abra,3175.81,69.84,ENE
2022-08-28 11:00:00,Abra,3135.69,68.64,ENE
2022-08-28 14:00:00,Abra,3104.76,67.66,ENE
2022-08-28 17:00:00,Abra,3067.63,66.41,ENE
2022-08-28 20:00:00,Abra,3026.87,65.55,ENE
2022-08-28 23:00:00,Abra,2967.86,64.57,ENE
2022-08-29 02:00:00,Abra,2897.51,63.71,ENE
2022-08-29 05:00:00,Abra,2824.89,63.02,ENE
2022-08-29 08:00:00,Abra,2749.49,62.52,ENE
2022-08-29 11:00:00,Abra,2659.39,61.6,ENE
2022-08-29 14:00:00,Abra,2557.23,60.77,ENE
2022-08-29 17:00:00,Abra,2465.11,59.94,ENE
2022-08-29 20:00:00,Abra,2369.47,59.28,ENE
2022-08-29 23:00:00,Abra,2274.3,58.55,ENE
2022-08-30 02:00:00,Abra,2179.65,57.74,ENE
2022-08-30 05:00:00,Abra,2080.71,57.11,ENE
2022-08-30 08:00:00,Abra,1995.99,56.25,NE
2022-08-30 11:00:00,Abra,1917.25,54.99,NE
2022-08-30 14:00:00,Abra,1831.25,53.45,NE
2022-08-30 17:00:00,Abra,1749.38,52.24,NE
2022-08-30 20:00:00,Abra,1668.54,50.88,NE
2022-08-30 23:00:00,Abra,1588.92,49.38,NE
2022-08-31 02:00:00,Abra,1511.78,48.26,NE
2022-08-31 05:00:00,Abra,1435.35,47.0,NE
2022-08-31 08:00:00,Abra,1359.77,45.59,NE
2022-08-31 11:00:00,Abra,1292.59,44.29,NE
2022-08-31 14:00:00,Abra,1225.78,43.53,NE
2022-08-31 17:00:00,Abra,1159.18,42.67,NE
2022-08-31 20:00:00,Abra,1077.84,41.71,NE
2022-08-31 23:00:00,Abra,988.68,41.0,NE
2022-09-01 02:00:00,Abra,906.43,40.59,NE
2022-09-01 05:00:00,Abra,829.82,41.64,NE
2022-09-01 08:00:00,Abra,760.6,43.41,NE
2022-09-01 11:00:00,Abra,722.34,45.34,NE
2022-09-01 14:00:00,Abra,692.27,46.78,NE
2022-09-01 17:00:00,Abra,670.6,48.92,NE
2022-09-01 20:00:00,Abra,656.69,50.42,NE
2022-09-01 23:00:00,Abra,656.69,50.42,NE
2022-09-02 02:00:00,Abra,656.69,50.42,NE
2022-09-02 05:00:00,Abra,663.59,49.66,NE
2022-09-02 08:00:00,Abra,662.64,48.35,NE
2022-09-02 11:00:00,Abra,661.84,45.72,NE
2022-09-02 14:00:00,Abra,662.47,43.09,NE
2022-09-02 17:00:00,Abra,656.32,41.12,NE
2022-09-02 20:00:00,Abra,666.13,39.17,NE
2022-09-02 23:00:00,Abra,674.61,38.56,NE
2022-09-03 02:00:00,Abra,691.81,37.37,NE
2022-09-03 05:00:00,Abra,709.28,36.24,NE
2022-09-03 08:00:00,Abra,735.97,34.65,NE
2022-09-03 11:00:00,Abra,763.19,33.18,NNE
2022-09-03 14:00:00,Abra,800.2,31.36,NNE
2022-09-03 17:00:00,Abra,833.79,30.71,NNE
2022-09-03 20:00:00,Abra,862.21,29.52,NNE
2022-09-03 23:00:00,Abra,895.67,27.49,NNE
2022-09-04 02:00:00,Abra,930.21,25.62,NNE
2022-09-04 05:00:00,Abra,970.02,24.42,NNE
2022-09-04 08:00:00,Abra,1020.33,23.05,NNE
2022-09-04 11:00:00,Abra,1071.15,21.81,NNE
2022-09-04 14:00:00,Abra,1126.21,21.15,NNE
2022-09-04 17:00:00,Abra,1163.73,19.85,NNE
2022-09-04 20:00:00,Abra,1194.85,19.26,NNE
2022-09-04 23:00:00,Abra,1236.53,18.52,NNE
2022-09-05 02:00:00,Abra,1292.14,18.08,NNE
2022-09-05 05:00:00,Abra,1358.3,17.51,NNE
2022-09-05 08:00:00,Abra,1424.54,16.99,NNE
2022-09-05 11:00:00,Abra,1483.38,17.01,NNE
2022-09-05 14:00:00,Abra,1572.66,17.74,NNE
2022-09-05 17:00:00,Abra,1658.8,18.06,NNE
2022-09-05 20:00:00,Abra,1751.69,18.91,NNE
2022-09-05 23:00:00,Abra,1868.98,19.66,NNE
2022-09-06 02:00:00,Abra,1990.1,20.52,NNE
2022-09-06 05:00:00,Abra,2133.17,21.78,NNE
2022-09-06 08:00:00,Abra,2304.98,22.97,NNE
2022-09-06 11:00:00,Abra,2510.65,23.71,NNE
2022-09-06 14:00:00,Abra,2767.15,24.22,NNE
2022-09-06 17:00:00,Abra,3059.12,24.41,NNE
2022-09-06 20:00:00,Abra,3325.92,24.12,NNE
2022-09-06 23:00:00,Abra,3535.84,23.7,NNE
2022-09-07 02:00:00,Abra,3751.32,22.42,NNE
2022-09-07 05:00:00,Abra,3983.93,20.02,NNE
2022-09-07 08:00:00,Abra,4192.5,17.76,NNE
2022-09-07 11:00:00,Abra,4326.03,16.93,NNE
2022-09-07 14:00:00,Abra,4416.71,16.66,NNE
2022-09-07 17:00:00,Abra,4472.63,16.14,NNE
2022-09-07 20:00:00,Abra,4524.79,15.86,NNE
2022-09-07 23:00:00,Abra,4594.28,16.03,NNE
2022-09-08 02:00:00,Abra,4672.56,16.39,NNE
2022-09-08 05:00:00,Abra,4760.52,16.65,NNE
2022-09-08 08:00:00,Abra,4851.37,16.93,NNE
2022-09-08 11:00:00,Abra,4914.01,17.41,NNE
2022-09-08 14:00:00,Abra,4955.48,17.95,NNE
2022-09-08 17:00:00,Abra,5006.83,18.4,NNE
2022-09-08 20:00:00,Abra,5071.06,18.81,NNE
2022-09-08 23:00:00,Abra,5147.88,19.15,NNE
2022-09-09 02:00:00,Abra,5229.93,19.33,NNE
2022-09-09 05:00:00,Abra,5318.33,18.72,NNE
2022-09-09 08:00:00,Abra,5411.98,17.99,NNE
2022-08-27 08:00:00,Agusan del Norte,2984.94,58.82,ENE
2022-08-27 11:00:00,Agusan del Norte,3027.0,58.48,ENE
2022-08-27 14:00:00,Agusan del Norte,3073.75,57.94,ENE
2022-08-27 17:00:00,Agusan del Norte,3111.34,57.34,ENE
2022-08-27 20:00:00,Agusan del Norte,3135.06,56.85,ENE
2022-08-27 23:00:00,Agusan del Norte,3149.79,56.28,ENE
2022-08-28 02:00:00,Agusan del Norte,3146.65,55.54,NE
2022-08-28 05:00:00,Agusan del Norte,3165.1,54.06,NE
2022-08-28 08:00:00,Agusan del Norte,3171.25,52.68,NE
2022-08-28 11:00:00,Agusan del Norte,3156.29,51.3,NE
2022-08-28 14:00:00,Agusan del Norte,3145.79,50.18,NE
2022-08-28 17:00:00,Agusan del Norte,3134.51,48.78,NE
2022-08-28 20:00:00,Agusan del Norte,3112.45,47.71,NE
2022-08-28 23:00:00,Agusan del Norte,3075.69,46.41,NE
2022-08-29 02:00:00,Agusan del Norte,3026.22,45.13,NE
2022-08-29 05:00:00,Agusan del Norte,2971.53,43.97,NE
2022-08-29 08:00:00,Agusan del Norte,2911.09,42.94,NE
2022-08-29 11:00:00,Agusan del Norte,2844.72,41.42,NE
2022-08-29 14:00:00,Agusan del Norte,2766.04,39.84,NE
2022-08-29 17:00:00,Agusan del Norte,2696.79,38.32,NE
2022-08-29 20:00:00,Agusan del Norte,2621.6,36.87,NE
2022-08-29 23:00:00,Agusan del Norte,2548.46,35.34,NE
2022-08-30 02:00:00,Agusan del Norte,2477.56,33.7,NNE
2022-08-30 05:00:00,Agusan del Norte,2400.11,32.12,NNE
2022-08-30 08:00:00,Agusan del Norte,2339.66,30.47,NNE
2022-08-30 11:00:00,Agusan del Norte,2290.93,28.58,NNE
2022-08-30 14:00:00,Agusan del Norte,2240.24,26.37,NNE
2022-08-30 17:00:00,Agusan del Norte,2188.04,24.44,NNE
2022-08-30 20:00:00,Agusan del Norte,2138.75,22.4,NNE
2022-08-30 23:00:00,Agusan del Norte,2092.6,20.26,NNE
2022-08-31 02:00:00,Agusan del Norte,2042.8,18.4,NNE
2022-08-31 05:00:00,Agusan del Norte,1995.5,16.43,NNE
2022-08-31 08:00:00,Agusan del Norte,1950.89,14.37,NNE
2022-08-31 11:00:00,Agusan del Norte,1911.51,12.5,NNE
2022-08-31 14:00:00,Agusan del Norte,1865.61,10.92,N
2022-08-31 17:00:00,Agusan del Norte,1821.32,9.25,N
2022-08-31 20:00:00,Agusan del Norte,1766.36,7.22,N
2022-08-31 23:00:00,Agusan del Norte,1702.89,5.08,N
2022-09-01 02:00:00,Agusan del Norte,1642.73,3.13,N
2022-09-01 05:00:00,Agusan del Norte,1574.2,1.77,N
2022-09-01 08:00:00,Agusan del Norte,1506.8,0.67,N
2022-09-01 11:00:00,Agusan del Norte,1462.23,0.29,N
2022-09-01 14:00:00,Agusan del Norte,1428.86,359.87,N
2022-09-01 17:00:00,Agusan del Norte,1395.5,359.87,N
2022-09-01 20:00:00,Agusan del Norte,1373.26,359.87,N
2022-09-01 23:00:00,Agusan del Norte,1373.26,359.87,N
2022-09-02 02:00:00,Agusan del Norte,1373.26,359.87,N
2022-09-02 05:00:00,Agusan del Norte,1384.38,359.87,N
2022-09-02 08:00:00,Agusan del Norte,1395.57,359.44,N
2022-09-02 11:00:00,Agusan del Norte,1418.17,358.61,N
2022-09-02 14:00:00,Agusan del Norte,1441.09,357.81,N
2022-09-02 17:00:00,Agusan del Norte,1453.19,357.01,N
2022-09-02 20:00:00,Agusan del Norte,1476.0,356.65,N
2022-09-02 23:00:00,Agusan del Norte,1487.1,356.68,N
2022-09-03 02:00:00,Agusan del Norte,1509.29,356.73,N
2022-09-03 05:00:00,Agusan del Norte,1531.49,356.78,N
2022-09-03 08:00:00,Agusan del Norte,1564.79,356.86,N
