Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2023-04-11 08:00:00,Abra,782.34,122.8,ESE
2023-04-11 11:00:00,Abra,731.8,124.48,SE
2023-04-11 14:00:00,Abra,673.44,126.95,SE
2023-04-11 17:00:00,Abra,623.85,130.64,SE
2023-04-11 20:00:00,Abra,592.65,134.93,SE
2023-04-11 23:00:00,Abra,570.6,137.27,SE
2023-04-12 02:00:00,Abra,571.9,138.82,SE
2023-04-12 05:00:00,Abra,560.34,142.09,SE
2023-04-12 08:00:00,Abra,538.54,143.21,SE
2023-04-12 11:00:00,Abra,526.13,145.12,SE
2023-04-12 14:00:00,Abra,510.87,145.42,SE
2023-04-12 17:00:00,Abra,495.63,145.74,SE
2023-04-12 20:00:00,Abra,474.58,147.17,SSE
2023-04-12 23:00:00,Abra,463.44,149.43,SSE
2023-04-13 02:00:00,Abra,438.2,152.37,SSE
2023-04-13 05:00:00,Abra,424.41,156.27,SSE
2023-04-13 08:00:00,Abra,398.66,161.33,SSE
2023-04-13 11:00:00,Abra,368.12,165.02,SSE
2023-04-13 14:00:00,Abra,339.35,169.34,S
2023-04-11 08:00:00,Agusan del Norte,543.35,13.47,NNE
2023-04-11 11:00:00,Agusan del Norte,544.22,7.65,N
2023-04-11 14:00:00,Agusan del Norte,550.47,0.79,N
2023-04-11 17:00:00,Agusan del Norte,553.44,354.06,N
2023-04-11 20:00:00,Agusan del Norte,550.85,348.34,NNW
2023-04-11 23:00:00,Agusan del Norte,558.43,345.08,NNW
2023-04-12 02:00:00,Agusan del Norte,550.69,343.69,NNW
2023-04-12 05:00:00,Agusan del Norte,550.38,340.12,NNW
2023-04-12 08:00:00,Agusan del Norte,568.53,338.46,NNW
2023-04-12 11:00:00,Agusan del Norte,576.95,336.47,NNW
2023-04-12 14:00:00,Agusan del Norte,591.52,335.95,NNW
2023-04-12 17:00:00,Agusan del Norte,606.14,335.45,NNW
2023-04-12 20:00:00,Agusan del Norte,625.52,334.09,NNW
2023-04-12 23:00:00,Agusan del Norte,635.42,332.35,NNW
2023-04-13 02:00:00,Agusan del Norte,660.93,330.33,NNW
2023-04-13 05:00:00,Agusan del Norte,677.84,327.96,NNW
2023-04-13 08:00:00,Agusan del Norte,711.17,325.52,NW
2023-04-13 11:00:00,Agusan del Norte,748.11,324.48,NW
2023-04-13 14:00:00,Agusan del Norte,785.27,323.54,NW
2023-04-11 08:00:00,Agusan del Sur,573.49,8.49,N
2023-04-11 11:00:00,Agusan del Sur,579.04,3.03,N
2023-04-11 14:00:00,Agusan del Sur,590.35,356.67,N
2023-04-11 17:00:00,Agusan del Sur,597.75,350.45,N
2023-04-11 20:00:00,Agusan del Sur,598.5,345.17,NNW
2023-04-11 23:00:00,Agusan del Sur,607.77,342.21,NNW
2023-04-12 02:00:00,Agusan del Sur,600.72,340.9,NNW
2023-04-12 05:00:00,Agusan del Sur,602.02,337.63,NNW
2023-04-12 08:00:00,Agusan del Sur,620.84,336.19,NNW
2023-04-12 11:00:00,Agusan del Sur,630.03,334.4,NNW
2023-04-12 14:00:00,Agusan del Sur,644.79,333.97,NNW
2023-04-12 17:00:00,Agusan del Sur,659.58,333.56,NNW
2023-04-12 20:00:00,Agusan del Sur,679.43,332.36,NNW
2023-04-12 23:00:00,Agusan del Sur,689.9,330.78,NNW
2023-04-13 02:00:00,Agusan del Sur,716.01,328.97,NNW
2023-04-13 05:00:00,Agusan del Sur,733.54,326.82,NNW
2023-04-13 08:00:00,Agusan del Sur,767.43,324.61,NW
2023-04-13 11:00:00,Agusan del Sur,804.58,323.68,NW
2023-04-13 14:00:00,Agusan del Sur,841.92,322.85,NW
2023-04-11 08:00:00,Aklan,519.95,64.21,ENE
2023-04-11 11:00:00,Aklan,476.77,60.26,ENE
2023-04-11 14:00:00,Aklan,427.45,54.74,NE
2023-04-11 17:00:00,Aklan,375.95,49.12,NE
2023-04-11 20:00:00,Aklan,328.68,44.5,NE
2023-04-11 23:00:00,Aklan,306.66,40.21,NE
2023-04-12 02:00:00,Aklan,291.19,40.02,NE
2023-04-12 05:00:00,Aklan,262.31,36.2,NE
2023-04-12 08:00:00,Aklan,259.51,30.89,NNE
2023-04-12 11:00:00,Aklan,249.02,26.63,NNE
2023-04-12 14:00:00,Aklan,254.49,23.33,NNE
2023-04-12 17:00:00,Aklan,260.77,20.17,NNE
2023-04-12 20:00:00,Aklan,264.79,14.95,NNE
2023-04-12 23:00:00,Aklan,260.02,10.35,N
2023-04-13 02:00:00,Aklan,267.26,3.08,N
2023-04-13 05:00:00,Aklan,267.48,356.14,N
2023-04-13 08:00:00,Aklan,284.7,347.6,NNW
2023-04-13 11:00:00,Aklan,314.57,342.73,NNW
2023-04-13 14:00:00,Aklan,346.33,338.73,NNW
2023-04-11 08:00:00,Albay,327.43,78.5,ENE
2023-04-11 11:00:00,Albay,277.29,74.13,ENE
2023-04-11 14:00:00,Albay,219.56,66.83,ENE
2023-04-11 17:00:00,Albay,161.81,57.91,ENE
2023-04-11 20:00:00,Albay,111.73,48.09,NE
2023-04-11 23:00:00,Albay,90.19,34.25,NE
2023-04-12 02:00:00,Albay,74.96,32.23,NNE
2023-04-12 05:00:00,Albay,52.81,8.24,N
2023-04-12 08:00:00,Albay,64.92,347.51,NNW
2023-04-12 11:00:00,Albay,72.74,330.65,NNW
2023-04-12 14:00:00,Albay,87.82,328.08,NNW
2023-04-12 17:00:00,Albay,103.03,326.27,NNW
2023-04-12 20:00:00,Albay,124.84,320.88,NW
2023-04-12 23:00:00,Albay,139.51,314.01,NW
2023-04-13 02:00:00,Albay,171.18,309.2,NW
2023-04-13 05:00:00,Albay,197.41,303.3,WNW
2023-04-13 08:00:00,Albay,240.08,299.93,WNW
2023-04-13 11:00:00,Albay,279.19,300.65,WNW
2023-04-13 14:00:00,Albay,318.29,301.2,WNW
2023-04-11 08:00:00,Antique,611.55,57.08,ENE
2023-04-11 11:00:00,Antique,572.88,53.27,NE
2023-04-11 14:00:00,Antique,529.01,48.17,NE
2023-04-11 17:00:00,Antique,482.11,43.09,NE
2023-04-11 20:00:00,Antique,437.91,38.98,NE
2023-04-11 23:00:00,Antique,418.05,35.55,NE
2023-04-12 02:00:00,Antique,402.71,35.24,NE
2023-04-12 05:00:00,Antique,375.31,32.21,NNE
2023-04-12 08:00:00,Antique,373.82,28.49,NNE
2023-04-12 11:00:00,Antique,363.9,25.51,NNE
2023-04-12 14:00:00,Antique,369.5,23.25,NNE
2023-04-12 17:00:00,Antique,375.66,21.06,NNE
2023-04-12 20:00:00,Antique,378.95,17.4,NNE
2023-04-12 23:00:00,Antique,372.99,14.24,NNE
2023-04-13 02:00:00,Antique,377.26,9.05,N
2023-04-13 05:00:00,Antique,373.49,4.14,N
2023-04-13 08:00:00,Antique,383.97,357.58,N
2023-04-13 11:00:00,Antique,408.79,353.19,N
2023-04-13 14:00:00,Antique,435.76,349.32,N
2023-04-11 08:00:00,Apayao,733.19,127.68,SE
2023-04-11 11:00:00,Apayao,684.73,129.82,SE
2023-04-11 14:00:00,Apayao,629.51,132.93,SE
2023-04-11 17:00:00,Apayao,584.67,137.35,SE
2023-04-11 20:00:00,Apayao,559.1,142.25,SE
2023-04-11 23:00:00,Apayao,540.26,145.01,SE
2023-04-12 02:00:00,Apayao,543.59,146.61,SSE
2023-04-12 05:00:00,Apayao,536.48,150.17,SSE
2023-04-12 08:00:00,Apayao,516.41,151.66,SSE
2023-04-12 11:00:00,Apayao,506.71,153.83,SSE
2023-04-12 14:00:00,Apayao,492.03,154.4,SSE
2023-04-12 17:00:00,Apayao,477.41,155.01,SSE
2023-04-12 20:00:00,Apayao,458.59,156.89,SSE
2023-04-12 23:00:00,Apayao,450.71,159.43,SSE
2023-04-13 02:00:00,Apayao,429.92,162.97,SSE
2023-04-13 05:00:00,Apayao,421.73,167.18,SSE
2023-04-13 08:00:00,Apayao,403.4,172.83,S
2023-04-13 11:00:00,Apayao,378.48,177.27,S
2023-04-13 14:00:00,Apayao,356.11,182.3,S
2023-04-11 08:00:00,Aurora,597.89,111.94,ESE
2023-04-11 11:00:00,Aurora,543.98,113.1,ESE
2023-04-11 14:00:00,Aurora,480.62,115.06,ESE
2023-04-11 17:00:00,Aurora,423.38,118.91,ESE
2023-04-11 20:00:00,Aurora,383.75,124.36,SE
2023-04-11 23:00:00,Aurora,357.72,127.35,SE
2023-04-12 02:00:00,Aurora,356.39,129.83,SE
2023-04-12 05:00:00,Aurora,340.21,134.8,SE
2023-04-12 08:00:00,Aurora,317.2,136.17,SE
2023-04-12 11:00:00,Aurora,302.78,139.15,SE
2023-04-12 14:00:00,Aurora,287.32,139.35,SE
2023-04-12 17:00:00,Aurora,271.86,139.57,SE
2023-04-12 20:00:00,Aurora,249.63,141.73,SE
2023-04-12 23:00:00,Aurora,236.98,145.84,SE
2023-04-13 02:00:00,Aurora,210.73,151.47,SSE
2023-04-13 05:00:00,Aurora,197.44,159.77,SSE
2023-04-13 08:00:00,Aurora,176.03,171.8,S
2023-04-13 11:00:00,Aurora,152.17,182.72,S
2023-04-13 14:00:00,Aurora,135.61,196.93,SSW
2023-04-11 08:00:00,Basilan,934.58,33.24,NNE
2023-04-11 11:00:00,Basilan,914.99,30.03,NNE
2023-04-11 14:00:00,Basilan,893.56,26.08,NNE
2023-04-11 17:00:00,Basilan,866.43,22.24,NNE
2023-04-11 20:00:00,Basilan,836.55,19.11,NNE
2023-04-11 23:00:00,Basilan,826.28,16.99,NNE
2023-04-12 02:00:00,Basilan,812.47,16.49,NNE
2023-04-12 05:00:00,Basilan,792.93,14.48,NNE
2023-04-12 08:00:00,Basilan,798.52,12.77,NNE
2023-04-12 11:00:00,Basilan,793.92,11.25,N
2023-04-12 14:00:00,Basilan,802.77,10.33,N
2023-04-12 17:00:00,Basilan,811.82,9.44,N
2023-04-12 20:00:00,Basilan,819.49,7.81,N
2023-04-12 23:00:00,Basilan,816.78,6.31,N
2023-04-13 02:00:00,Basilan,824.88,3.98,N
2023-04-13 05:00:00,Basilan,823.23,1.73,N
2023-04-13 08:00:00,Basilan,834.17,358.74,N
2023-04-13 11:00:00,Basilan,857.74,356.61,N
2023-04-13 14:00:00,Basilan,882.45,354.6,N
2023-04-11 08:00:00,Bataan,672.81,98.56,E
2023-04-11 11:00:00,Bataan,617.7,98.41,E
2023-04-11 14:00:00,Bataan,551.97,98.41,E
2023-04-11 17:00:00,Bataan,488.23,99.68,E
2023-04-11 20:00:00,Bataan,437.76,102.42,ESE
2023-04-11 23:00:00,Bataan,406.31,103.48,ESE
2023-04-12 02:00:00,Bataan,398.83,105.41,ESE
