Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2024-09-09 02:00:00,Abra,3091.82,100.82,E
2024-09-09 05:00:00,Abra,3084.82,101.09,E
2024-09-09 08:00:00,Abra,3064.03,101.22,E
2024-09-09 11:00:00,Abra,3043.24,101.36,ESE
2024-09-09 14:00:00,Abra,3015.57,101.77,ESE
2024-09-09 17:00:00,Abra,2998.37,102.11,ESE
2024-09-09 20:00:00,Abra,2988.01,102.18,ESE
2024-09-09 23:00:00,Abra,2963.72,102.11,ESE
2024-09-10 02:00:00,Abra,2960.19,101.9,ESE
2024-09-10 05:00:00,Abra,2932.45,101.61,ESE
2024-09-10 08:00:00,Abra,2901.41,101.1,E
2024-09-10 11:00:00,Abra,2856.92,100.43,E
2024-09-10 14:00:00,Abra,2816.0,99.96,E
2024-09-10 17:00:00,Abra,2769.26,99.02,E
2024-09-10 20:00:00,Abra,2715.65,98.34,E
2024-09-10 23:00:00,Abra,2654.75,97.93,E
2024-09-11 02:00:00,Abra,2583.56,97.56,E
2024-09-11 05:00:00,Abra,2491.57,97.29,E
2024-09-11 08:00:00,Abra,2423.34,97.13,E
2024-09-11 11:00:00,Abra,2360.86,96.36,E
2024-09-11 14:00:00,Abra,2320.05,95.44,E
2024-09-11 17:00:00,Abra,2260.83,94.86,E
2024-09-11 20:00:00,Abra,2212.54,94.21,E
2024-09-11 23:00:00,Abra,2173.43,93.18,E
2024-09-12 02:00:00,Abra,2132.15,91.52,E
2024-09-12 05:00:00,Abra,2091.73,89.48,E
2024-09-12 08:00:00,Abra,2054.1,87.36,E
2024-09-12 11:00:00,Abra,2029.67,84.52,E
2024-09-12 14:00:00,Abra,2009.78,81.95,E
2024-09-12 17:00:00,Abra,1971.44,79.93,E
2024-09-12 20:00:00,Abra,1913.88,78.11,ENE
2024-09-12 23:00:00,Abra,1867.46,76.56,ENE
2024-09-13 02:00:00,Abra,1822.68,74.93,ENE
2024-09-13 05:00:00,Abra,1802.14,73.0,ENE
2024-09-13 08:00:00,Abra,1766.41,70.52,ENE
2024-09-13 11:00:00,Abra,1724.6,67.84,ENE
2024-09-13 14:00:00,Abra,1677.56,64.91,ENE
2024-09-13 17:00:00,Abra,1616.98,61.54,ENE
2024-09-13 20:00:00,Abra,1567.13,58.46,ENE
2024-09-13 23:00:00,Abra,1534.65,55.93,NE
2024-09-14 02:00:00,Abra,1514.14,53.5,NE
2024-09-14 05:00:00,Abra,1494.87,50.44,NE
2024-09-14 08:00:00,Abra,1487.34,46.97,NE
2024-09-14 11:00:00,Abra,1478.25,43.81,NE
2024-09-14 14:00:00,Abra,1474.1,40.63,NE
2024-09-14 17:00:00,Abra,1466.55,37.74,NE
2024-09-14 20:00:00,Abra,1460.52,35.4,NE
2024-09-14 23:00:00,Abra,1460.44,32.49,NNE
2024-09-15 02:00:00,Abra,1469.76,29.91,NNE
2024-09-15 05:00:00,Abra,1482.27,27.38,NNE
2024-09-15 08:00:00,Abra,1502.38,25.23,NNE
2024-09-15 11:00:00,Abra,1496.36,22.85,NNE
2024-09-15 14:00:00,Abra,1496.95,20.8,NNE
2024-09-15 17:00:00,Abra,1482.51,18.21,NNE
2024-09-15 20:00:00,Abra,1471.48,15.58,NNE
2024-09-15 23:00:00,Abra,1463.92,12.91,NNE
2024-09-16 02:00:00,Abra,1468.96,9.77,N
2024-09-16 05:00:00,Abra,1469.04,7.1,N
2024-09-16 08:00:00,Abra,1483.71,4.4,N
2024-09-16 11:00:00,Abra,1513.04,1.76,N
2024-09-16 14:00:00,Abra,1545.76,359.23,N
2024-09-16 17:00:00,Abra,1558.4,357.48,N
2024-09-16 20:00:00,Abra,1573.44,355.41,N
2024-09-16 23:00:00,Abra,1590.7,353.39,N
2024-09-17 02:00:00,Abra,1632.03,351.56,N
2024-09-17 05:00:00,Abra,1662.37,350.07,N
2024-09-17 08:00:00,Abra,1693.91,348.64,NNW
2024-09-17 11:00:00,Abra,1735.06,347.67,NNW
2024-09-17 14:00:00,Abra,1763.58,346.96,NNW
2024-09-17 17:00:00,Abra,1779.18,346.46,NNW
2024-09-17 20:00:00,Abra,1784.25,345.88,NNW
2024-09-17 23:00:00,Abra,1800.18,345.4,NNW
2024-09-18 02:00:00,Abra,1829.62,344.76,NNW
2024-09-18 05:00:00,Abra,1835.29,344.2,NNW
2024-09-18 08:00:00,Abra,1851.7,343.75,NNW
2024-09-18 11:00:00,Abra,1854.69,343.48,NNW
2024-09-18 14:00:00,Abra,1847.23,343.09,NNW
2024-09-18 17:00:00,Abra,1822.19,342.18,NNW
2024-09-18 20:00:00,Abra,1787.67,342.08,NNW
2024-09-09 02:00:00,Agusan del Norte,2512.24,83.9,E
2024-09-09 05:00:00,Agusan del Norte,2500.91,84.15,E
2024-09-09 08:00:00,Agusan del Norte,2479.06,84.14,E
2024-09-09 11:00:00,Agusan del Norte,2457.21,84.12,E
2024-09-09 14:00:00,Agusan del Norte,2424.04,84.36,E
2024-09-09 17:00:00,Agusan del Norte,2401.82,84.61,E
2024-09-09 20:00:00,Agusan del Norte,2390.89,84.6,E
2024-09-09 23:00:00,Agusan del Norte,2369.38,84.31,E
2024-09-10 02:00:00,Agusan del Norte,2369.8,84.04,E
2024-09-10 05:00:00,Agusan del Norte,2348.96,83.46,E
2024-09-10 08:00:00,Agusan del Norte,2329.06,82.59,E
2024-09-10 11:00:00,Agusan del Norte,2299.74,81.41,E
2024-09-10 14:00:00,Agusan del Norte,2270.3,80.48,E
2024-09-10 17:00:00,Agusan del Norte,2244.2,78.95,E
2024-09-10 20:00:00,Agusan del Norte,2207.33,77.64,ENE
2024-09-10 23:00:00,Agusan del Norte,2159.12,76.52,ENE
2024-09-11 02:00:00,Agusan del Norte,2101.23,75.3,ENE
2024-09-11 05:00:00,Agusan del Norte,2023.34,73.88,ENE
2024-09-11 08:00:00,Agusan del Norte,1965.26,72.82,ENE
2024-09-11 11:00:00,Agusan del Norte,1924.26,71.12,ENE
2024-09-11 14:00:00,Agusan del Norte,1905.69,69.55,ENE
2024-09-11 17:00:00,Agusan del Norte,1864.69,68.06,ENE
2024-09-11 20:00:00,Agusan del Norte,1835.2,66.62,ENE
2024-09-11 23:00:00,Agusan del Norte,1821.04,64.94,ENE
2024-09-12 02:00:00,Agusan del Norte,1817.5,62.58,ENE
2024-09-12 05:00:00,Agusan del Norte,1822.07,59.9,ENE
2024-09-12 08:00:00,Agusan del Norte,1830.63,57.23,ENE
2024-09-12 11:00:00,Agusan del Norte,1863.91,54.19,NE
2024-09-12 14:00:00,Agusan del Norte,1895.77,51.54,NE
2024-09-12 17:00:00,Agusan del Norte,1901.38,49.13,NE
2024-09-12 20:00:00,Agusan del Norte,1887.31,46.6,NE
2024-09-12 23:00:00,Agusan del Norte,1877.37,44.51,NE
2024-09-13 02:00:00,Agusan del Norte,1870.13,42.4,NE
2024-09-13 05:00:00,Agusan del Norte,1887.91,40.5,NE
2024-09-13 08:00:00,Agusan del Norte,1902.51,37.95,NE
2024-09-13 11:00:00,Agusan del Norte,1914.66,35.21,NE
2024-09-13 14:00:00,Agusan del Norte,1925.51,32.26,NNE
2024-09-13 17:00:00,Agusan del Norte,1931.04,28.85,NNE
2024-09-13 20:00:00,Agusan del Norte,1938.85,25.9,NNE
2024-09-13 23:00:00,Agusan del Norte,1950.81,23.68,NNE
2024-09-14 02:00:00,Agusan del Norte,1969.93,21.77,NNE
2024-09-14 05:00:00,Agusan del Norte,1998.0,19.51,NNE
2024-09-14 08:00:00,Agusan del Norte,2039.84,17.22,NNE
2024-09-14 11:00:00,Agusan del Norte,2074.39,15.12,NNE
2024-09-14 14:00:00,Agusan del Norte,2111.84,13.11,NNE
2024-09-14 17:00:00,Agusan del Norte,2141.17,11.25,N
2024-09-14 20:00:00,Agusan del Norte,2163.82,9.76,N
2024-09-14 23:00:00,Agusan del Norte,2197.46,8.0,N
2024-09-15 02:00:00,Agusan del Norte,2234.52,6.56,N
2024-09-15 05:00:00,Agusan del Norte,2273.09,5.17,N
