Timestamp,Province,Distance_KM,Bearing_Degrees,Direction
2024-11-08 02:00:00,Abra,5217.28,92.28,E
2024-11-08 05:00:00,Abra,5092.48,92.25,E
2024-11-08 08:00:00,Abra,4981.1,92.32,E
2024-11-08 11:00:00,Abra,4896.21,92.0,E
2024-11-08 14:00:00,Abra,4814.18,91.82,E
2024-11-08 17:00:00,Abra,4719.16,91.51,E
2024-11-08 20:00:00,Abra,4639.96,91.45,E
2024-11-08 23:00:00,Abra,4539.65,91.45,E
2024-11-09 02:00:00,Abra,4447.6,91.26,E
2024-11-09 05:00:00,Abra,4351.1,90.75,E
2024-11-09 08:00:00,Abra,4252.99,90.06,E
2024-11-09 11:00:00,Abra,4178.94,89.44,E
2024-11-09 14:00:00,Abra,4118.03,88.93,E
2024-11-09 17:00:00,Abra,4059.37,88.58,E
2024-11-09 20:00:00,Abra,4011.56,88.18,E
2024-11-09 23:00:00,Abra,3953.41,87.8,E
2024-11-10 02:00:00,Abra,3886.56,87.61,E
2024-11-10 05:00:00,Abra,3832.0,87.56,E
2024-11-10 08:00:00,Abra,3779.06,87.68,E
2024-11-10 11:00:00,Abra,3747.28,87.75,E
2024-11-10 14:00:00,Abra,3727.69,87.98,E
2024-11-10 17:00:00,Abra,3695.91,88.06,E
2024-11-10 20:00:00,Abra,3653.54,88.16,E
2024-11-10 23:00:00,Abra,3612.78,88.45,E
2024-11-11 02:00:00,Abra,3563.1,88.95,E
2024-11-11 05:00:00,Abra,3513.53,89.47,E
2024-11-11 08:00:00,Abra,3464.07,89.99,E
2024-11-11 11:00:00,Abra,3435.93,90.47,E
2024-11-11 14:00:00,Abra,3418.53,90.92,E
2024-11-11 17:00:00,Abra,3390.66,91.41,E
2024-11-11 20:00:00,Abra,3350.29,91.74,E
2024-11-11 23:00:00,Abra,3288.78,92.15,E
2024-11-12 02:00:00,Abra,3216.74,92.61,E
2024-11-12 05:00:00,Abra,3142.63,92.88,E
2024-11-12 08:00:00,Abra,3057.96,93.2,E
2024-11-12 11:00:00,Abra,2971.17,93.31,E
2024-11-12 14:00:00,Abra,2897.11,93.61,E
2024-11-12 17:00:00,Abra,2835.83,94.09,E
2024-11-12 20:00:00,Abra,2776.92,94.83,E
2024-11-12 23:00:00,Abra,2720.71,95.83,E
2024-11-13 02:00:00,Abra,2667.66,97.1,E
2024-11-13 05:00:00,Abra,2626.07,98.36,E
2024-11-13 08:00:00,Abra,2585.44,99.65,E
2024-11-13 11:00:00,Abra,2536.32,100.24,E
2024-11-13 14:00:00,Abra,2476.96,100.92,E
2024-11-13 17:00:00,Abra,2397.1,101.8,ESE
